p (GeV)        dN/dp          error          
0.00293827     5.95588e-05    2.25111e-05    
0.00881482     0.000808298    8.29295e-05    
0.0146914      0.00216964     0.000135867    
0.0205679      0.00405        0.000185629    
0.0264444      0.00743634     0.000251533    
0.032321       0.0108993      0.000304515    
0.0381975      0.0145068      0.000351311    
0.0440741      0.0205988      0.000418619    
0.0499506      0.0255933      0.00046661     
0.0558272      0.032451       0.000525408    
0.0617037      0.0402873      0.000585529    
0.0675803      0.0467537      0.000630741    
0.0734568      0.0559257      0.000689907    
0.0793333      0.064817       0.000742677    
0.0852099      0.0753419      0.000800743    
0.0910864      0.0841141      0.00084611     
0.096963       0.0959067      0.00090332     
0.10284        0.108601       0.000961256    
0.108716       0.12173        0.00101763     
0.114593       0.131982       0.00105963     
0.120469       0.144396       0.0011086      
0.126346       0.15955        0.00116483     
0.132222       0.175307       0.00122139     
0.138099       0.190188       0.00127183     
0.143975       0.207001       0.00132735     
0.149852       0.2252         0.00138441     
0.155728       0.23889        0.0014256      
0.161605       0.258579       0.00148307     
0.167482       0.274736       0.0015291      
0.173358       0.29474        0.0015835      
0.179235       0.312616       0.00163096     
0.185111       0.330237       0.0016766      
0.190988       0.349644       0.00172512     
0.196864       0.366482       0.00176578     
0.202741       0.392841       0.00182838     
0.208617       0.414614       0.00187813     
0.214494       0.436668       0.00192708     
0.22037        0.453711       0.00196496     
0.226247       0.475952       0.00201228     
0.232123       0.498882       0.00206055     
0.238          0.519583       0.00210284     
0.243877       0.541781       0.00214751     
0.249753       0.561078       0.00218447     
0.25563        0.591189       0.00224286     
0.261506       0.612741       0.00228375     
0.267383       0.632327       0.00231925     
0.273259       0.659537       0.00236897     
0.279136       0.682144       0.00240891     
0.285012       0.70915        0.00245643     
0.290889       0.733033       0.00249731     
0.296765       0.756023       0.00253618     
0.302642       0.778502       0.00257341     
0.308519       0.804503       0.00261571     
0.314395       0.826149       0.00265114     
0.320272       0.851529       0.00269095     
0.326148       0.876051       0.00273029     
0.332025       0.900214       0.0027673      
0.337901       0.922753       0.0028022      
0.343778       0.945837       0.00283682     
0.349654       0.979343       0.00288668     
0.355531       0.998886       0.00291558     
0.361407       1.01885        0.00294478     
0.367284       1.04384        0.00297979     
0.373161       1.07437        0.00302359     
0.379037       1.09926        0.0030588      
0.384914       1.11875        0.00308579     
0.39079        1.14126        0.00311572     
