p (GeV)        dN/dp          error          
0.00293956     6.80373e-05    2.40548e-05    
0.00881869     0.00135224     0.000107239    
0.0146978      0.00368252     0.000176969    
0.020577       0.00734803     0.00024998     
0.0264561      0.0117194      0.000315694    
0.0323352      0.0181319      0.00039267     
0.0382143      0.0240427      0.000452157    
0.0440935      0.0327259      0.000527512    
0.0499726      0.0431016      0.000605489    
0.0558517      0.0531541      0.000672247    
0.0617309      0.064848       0.000742593    
0.06761        0.077554       0.000812132    
0.0734891      0.0902344      0.000876037    
0.0793683      0.106733       0.000952906    
0.0852474      0.120171       0.00101095     
0.0911265      0.140403       0.00109242     
0.0970056      0.157608       0.00115772     
0.102885       0.176591       0.00122563     
0.108764       0.199179       0.00130142     
0.114643       0.215823       0.00135464     
0.120522       0.241907       0.00143423     
0.126401       0.264095       0.00149829     
0.13228        0.287815       0.0015645      
0.13816        0.314409       0.00163437     
0.144039       0.339472       0.00169911     
0.149918       0.365819       0.00176368     
0.155797       0.391716       0.00182506     
0.161676       0.421814       0.0018941      
0.167555       0.450926       0.00195822     
0.173434       0.480131       0.00202071     
0.179313       0.513673       0.00209077     
0.185193       0.544468       0.00215158     
0.191072       0.567899       0.00219737     
0.196951       0.609648       0.00227682     
0.20283        0.640146       0.00233361     
0.208709       0.675704       0.00239737     
0.214588       0.706831       0.00245202     
0.220467       0.744583       0.00251644     
0.226347       0.781136       0.00257738     
0.232226       0.811634       0.0026273      
0.238105       0.853859       0.00269415     
0.243984       0.891875       0.00275434     
0.249863       0.929236       0.00281083     
0.255742       0.963918       0.00286282     
0.261621       1.00044        0.00291649     
0.2675         1.04129        0.0029753      
0.27338        1.07633        0.00302547     
0.279259       1.11936        0.00308428     
0.285138       1.15149        0.0031296      
0.291017       1.19447        0.0031875      
0.296896       1.23617        0.00324229     
0.302775       1.27999        0.00329925     
0.308654       1.31186        0.003341       
0.314533       1.35636        0.00339657     
0.320413       1.40094        0.00345177     
0.326292       1.43363        0.00349049     
0.332171       1.47187        0.00353809     
0.33805        1.51146        0.00358439     
0.343929       1.54879        0.0036293      
0.349808       1.59092        0.00367947     
0.355687       1.62658        0.00371922     
0.361566       1.6705         0.00376898     
0.367446       1.71287        0.00381671     
0.373325       1.75024        0.00385782     
0.379204       1.79203        0.00390385     
0.385083       1.82527        0.00393968     
0.390962       1.86938        0.00398757     
0.396841       1.90263        0.00402301     
0.40272        1.94281        0.00406357     
0.4086         1.97631        0.00410108     
0.414479       2.013          0.00413845     
0.420358       2.04718        0.0041736      
0.426237       2.08845        0.00421486     
0.432116       2.12228        0.00424858     
0.437995       2.15234        0.00427964     
0.443874       2.19701        0.00432314     
0.449753       2.23728        0.00436128     
0.455633       2.2667         0.00439122     
0.461512       2.29793        0.00442062     
0.467391       2.33162        0.00445347     
0.47327        2.36367        0.00448406     
0.479149       2.39569        0.00451358     
0.485028       2.42492        0.00454167     
0.490907       2.46408        0.00457773     
0.496786       2.49083        0.00460233     
0.502666       2.51934        0.00462832     
0.508545       2.55369        0.00465987     
0.514424       2.57875        0.0046835      
0.520303       2.60618        0.00470718     
0.526182       2.63087        0.00473039     
0.532061       2.65504        0.0047524      
0.53794        2.68651        0.00478031     
0.54382        2.70805        0.00480003     
0.549699       2.73841        0.0048261      
0.555578       2.7566         0.00484142     
0.561457       2.78292        0.00486506     
0.567336       2.80254        0.00488076     
0.573215       2.82979        0.00490636     
0.579094       2.84392        0.00491744     
0.584973       2.87397        0.00494462     
0.590853       2.885          0.00495437     
0.596732       2.89793        0.00496505     
0.602611       2.91805        0.00498189     
0.60849        2.94049        0.0050008      
0.614369       2.95642        0.00501406     
0.620248       2.9699         0.00502542     
0.626127       2.98103        0.00503446     
0.632006       3.00704        0.00505586     
0.637886       3.02174        0.00506956     
0.643765       3.03228        0.00507634     
0.649644       3.04842        0.00509047     
0.655523       3.06792        0.00510701     
0.661402       3.06865        0.00510919     
0.667281       3.08126        0.00511918     
0.67316        3.08614        0.00512123     
0.67904        3.10779        0.00514147     
0.684919       3.10755        0.00514216     
0.690798       3.12083        0.00515303     
0.696677       3.12506        0.00515495     
0.702556       3.13674        0.00516548     
0.708435       3.14043        0.00516718     
0.714314       3.13718        0.00516485     
0.720193       3.15353        0.00517751     
0.726073       3.16328        0.00518702     
0.731952       3.15018        0.00517711     
0.737831       3.16331        0.00518797     
0.74371        3.15594        0.00518089     
0.749589       3.17179        0.00519224     
0.755468       3.17281        0.00519357     
0.761347       3.16364        0.00518715     
0.767226       3.16345        0.00518494     
0.773106       3.15988        0.00518411     
0.778985       3.16668        0.00519063     
0.784864       3.15692        0.00518199     
0.790743       3.17126        0.0051939      
0.796622       3.15749        0.00518221     
0.802501       3.15233        0.00517727     
0.80838        3.15181        0.0051766      
0.81426        3.14286        0.00517029     
0.820139       3.13507        0.00516347     
0.826018       3.13186        0.00515963     
0.831897       3.13196        0.00516143     
0.837776       3.12135        0.00515486     
0.843655       3.10853        0.00514441     
