pT (GeV)       dN/dpt         error          
0.00393827     0.0442707      0.000530105    
0.0118148      0.129543       0.000906719    
0.0196914      0.217957       0.00117635     
0.0275679      0.304556       0.00139068     
0.0354444      0.391739       0.00157704     
0.043321       0.480274       0.00174577     
0.0511975      0.5662         0.00189606     
0.0590741      0.6496         0.00203082     
0.0669506      0.737182       0.00216393     
0.0748272      0.824124       0.0022876      
0.0827037      0.906584       0.00239904     
0.0905803      0.988486       0.00250466     
0.0984568      1.073          0.00261083     
0.106333       1.15506        0.00270741     
0.11421        1.23213        0.00279614     
0.122086       1.31904        0.00289347     
0.129963       1.39825        0.00297872     
0.13784        1.47779        0.00306315     
0.145716       1.55189        0.00313937     
0.153593       1.62559        0.00321179     
0.161469       1.70004        0.00328467     
0.169346       1.78135        0.00336332     
0.177222       1.84326        0.00341993     
0.185099       1.91876        0.00349007     
0.192975       1.97906        0.00354431     
0.200852       2.05075        0.00360765     
0.208728       2.12573        0.0036735      
0.216605       2.18437        0.0037232      
0.224482       2.25765        0.00378599     
0.232358       2.32527        0.00384213     
0.240235       2.37863        0.00388547     
0.248111       2.44621        0.00394022     
0.255988       2.49131        0.00397771     
0.263864       2.54783        0.00402245     
0.271741       2.60294        0.00406446     
0.279617       2.66268        0.0041119      
0.287494       2.70525        0.00414325     
0.29537        2.7637         0.00418932     
0.303247       2.80805        0.00422168     
0.311123       2.84936        0.00425329     
0.319          2.89908        0.00429022     
0.326877       2.93664        0.00431827     
0.334753       2.99057        0.00435715     
0.34263        3.02909        0.00438443     
0.350506       3.05799        0.00440648     
0.358383       3.105          0.00444011     
0.366259       3.12668        0.00445579     
0.374136       3.1647         0.00448169     
0.382012       3.18798        0.00449801     
0.389889       3.22681        0.00452564     
0.397765       3.25118        0.0045427      
0.405642       3.26777        0.00455511     
0.413519       3.30017        0.00457713     
0.421395       3.3207         0.00459088     
0.429272       3.35165        0.00461254     
0.437148       3.37128        0.0046243      
0.445025       3.37364        0.00462748     
0.452901       3.38492        0.00463677     
0.460778       3.41866        0.00465764     
0.468654       3.42424        0.004663       
0.476531       3.43651        0.00466972     
0.484407       3.44315        0.00467444     
0.492284       3.4557         0.00468591     
0.500161       3.46591        0.00469182     
0.508037       3.47023        0.00469224     
0.515914       3.46678        0.00469179     
0.52379        3.47616        0.00469769     
0.531667       3.47686        0.00469792     
0.539543       3.47931        0.00469863     
0.54742        3.4801         0.00470078     
0.555296       3.47093        0.00469267     
0.563173       3.46898        0.00469104     
0.571049       3.46572        0.00468973     
0.578926       3.46588        0.00469005     
0.586803       3.44759        0.00467782     
0.594679       3.43884        0.00467223     
0.602556       3.43803        0.00467171     
0.610432       3.41609        0.00465729     
0.618309       3.40782        0.00465115     
0.626185       3.39339        0.00464194     
0.634062       3.38704        0.00463537     
0.641938       3.37279        0.00462736     
0.649815       3.36107        0.00461695     
0.657691       3.33396        0.00460085     
0.665568       3.32047        0.00459184     
0.673445       3.30954        0.00458351     
0.681321       3.27852        0.00456224     
0.689198       3.25914        0.00454718     
0.697074       3.23981        0.00453473     
0.704951       3.23279        0.00453076     
0.712827       3.21039        0.00451358     
0.720704       3.17141        0.00448749     
0.72858        3.16261        0.00448114     
0.736457       3.13088        0.00445797     
0.744333       3.11164        0.00444531     
0.75221        3.08496        0.00442516     
0.760086       3.05734        0.00440593     
0.767963       3.04218        0.00439331     
0.77584        3.00113        0.004364       
0.783716       2.97083        0.00434229     
0.791593       2.96345        0.00433742     
0.799469       2.93429        0.00431505     
0.807346       2.90753        0.0042965      
0.815222       2.87163        0.00427014     
0.823099       2.84536        0.00424902     
0.830975       2.81457        0.00422758     
0.838852       2.7901         0.004208       
0.846728       2.76094        0.00418707     
0.854605       2.72474        0.00415924     
0.862482       2.70802        0.00414687     
0.870358       2.67911        0.00412437     
0.878235       2.65085        0.00410268     
0.886111       2.61698        0.00407669     
0.893988       2.57655        0.00404401     
0.901864       2.55667        0.0040286      
0.909741       2.52144        0.00400077     
0.917617       2.49156        0.00397679     
0.925494       2.45989        0.00395291     
0.93337        2.4355         0.00393251     
0.941247       2.41092        0.00391201     
0.949124       2.37571        0.00388365     
0.957          2.34503        0.00385747     
0.964877       2.32395        0.00384032     
0.972753       2.2896         0.00381284     
0.98063        2.2485         0.003778       
0.988506       2.22342        0.0037569      
0.996383       2.19361        0.0037309      
1.00426        2.16309        0.00370634     
1.01214        2.13389        0.00368078     
1.02001        2.10123        0.0036524      
1.02789        2.06885        0.00362356     
1.03577        2.04867        0.00360651     
1.04364        2.01378        0.00357497     
1.05152        1.99143        0.00355557     
1.0594         1.96254        0.00353024     
1.06727        1.93007        0.00350016     
1.07515        1.90308        0.0034756      
1.08302        1.87271        0.00344726     
1.0909         1.84011        0.00341836     
1.09878        1.8174         0.00339632     
1.10665        1.79156        0.00337158     
1.11453        1.75554        0.00333917     
1.12241        1.74534        0.00332925     
1.13028        1.71111        0.00329652     
1.13816        1.68656        0.00327171     
1.14604        1.66077        0.00324743     
1.15391        1.63163        0.00321811     
1.16179        1.60624        0.00319273     
1.16967        1.57403        0.00316181     
1.17754        1.54556        0.00313291     
1.18542        1.52407        0.00311057     
1.1933         1.50084        0.00308591     
1.20117        1.47346        0.00305808     
1.20905        1.45245        0.00303618     
1.21693        1.42806        0.00301095     
1.2248         1.40341        0.00298479     
1.23268        1.37876        0.00295852     
1.24056        1.36071        0.00293875     
1.24843        1.33426        0.00290921     
1.25631        1.30743        0.00288132     
1.26419        1.28504        0.00285584     
1.27206        1.26902        0.0028383      
1.27994        1.24259        0.00280866     
1.28781        1.22255        0.00278596     
1.29569        1.19873        0.00275822     
1.30357        1.17583        0.00273173     
1.31144        1.15521        0.00270836     
1.31932        1.13706        0.00268671     
1.3272         1.11619        0.00266251     
1.33507        1.09805        0.00264032     
1.34295        1.07385        0.00261133     
1.35083        1.05943        0.00259353     
1.3587         1.03499        0.00256277     
1.36658        1.02088        0.00254577     
1.37446        1.00171        0.00252155     
1.38233        0.978837       0.00249271     
1.39021        0.960904       0.00246937     
1.39809        0.943631       0.00244734     
1.40596        0.92578        0.00242437     
1.41384        0.906876       0.00239942     
