p (GeV)        dN/dp          error          
0.00480892     0              0              
0.0144268      0              0              
0.0240446      0              0              
0.0336624      0              0              
0.0432803      0              0              
0.0528981      0              0              
0.062516       0              0              
0.0721338      0              0              
0.0817516      0              0              
0.0913695      0              0              
0.100987       0              0              
0.110605       0              0              
0.120223       0              0              
0.129841       0              0              
0.139459       0              0              
0.149077       0              0              
0.158694       0              0              
0.168312       0              0              
0.17793        0              0              
0.187548       0              0              
0.197166       0              0              
0.206784       5.19867e-06    5.19867e-06    
0.216401       0              0              
0.226019       5.19867e-06    5.19867e-06    
0.235637       0              0              
0.245255       0              0              
0.254873       0              0              
0.264491       0              0              
0.274108       0              0              
0.283726       5.19867e-06    5.19867e-06    
0.293344       0              0              
0.302962       0              0              
0.31258        0              0              
0.322198       0              0              
0.331815       0              0              
0.341433       0              0              
0.351051       0              0              
0.360669       0              0              
0.370287       0              0              
0.379905       0              0              
0.389523       0              0              
0.39914        0              0              
0.408758       0              0              
0.418376       0              0              
0.427994       0              0              
0.437612       0              0              
0.44723        0              0              
0.456847       0              0              
0.466465       0              0              
0.476083       5.19867e-06    5.19867e-06    
0.485701       5.19867e-06    5.19867e-06    
0.495319       0              0              
0.504937       0              0              
0.514554       0              0              
0.524172       5.19867e-06    5.19867e-06    
0.53379        5.19867e-06    5.19867e-06    
0.543408       0              0              
0.553026       0              0              
0.562644       5.19867e-06    5.19867e-06    
0.572261       0              0              
0.581879       0              0              
0.591497       0              0              
0.601115       5.19867e-06    5.19867e-06    
0.610733       0              0              
0.620351       5.19867e-06    5.19867e-06    
0.629969       5.19867e-06    5.19867e-06    
0.639586       1.03973e-05    7.35203e-06    
0.649204       5.19867e-06    5.19867e-06    
0.658822       1.5596e-05     9.00436e-06    
0.66844        1.03973e-05    7.35203e-06    
0.678058       0              0              
0.687676       1.03973e-05    7.35203e-06    
0.697293       1.03973e-05    7.35203e-06    
0.706911       2.07947e-05    1.03973e-05    
0.716529       0              0              
0.726147       5.19867e-06    5.19867e-06    
0.735765       0              0              
0.745383       1.03973e-05    7.35203e-06    
0.755          1.5596e-05     9.00436e-06    
0.764618       1.5596e-05     9.00436e-06    
0.774236       0              0              
0.783854       0              0              
0.793472       2.59934e-05    1.16246e-05    
0.80309        1.03973e-05    7.35203e-06    
0.812707       1.5596e-05     9.00436e-06    
0.822325       3.1192e-05     1.27341e-05    
0.831943       1.5596e-05     9.00436e-06    
0.841561       5.19867e-06    5.19867e-06    
0.851179       1.03973e-05    7.35203e-06    
0.860797       1.03973e-05    7.35203e-06    
0.870415       2.07947e-05    1.03973e-05    
0.880032       1.03973e-05    7.35203e-06    
