pT (GeV)       dN/dpt         error          
0.00580839     0              0              
0.0174252      4.30412e-06    4.30412e-06    
0.029042       0              0              
0.0406587      0              0              
0.0522755      8.60824e-06    6.08694e-06    
0.0638923      4.30412e-06    4.30412e-06    
0.0755091      0              0              
0.0871259      4.30412e-06    4.30412e-06    
0.0987426      4.30412e-06    4.30412e-06    
0.110359       4.30412e-06    4.30412e-06    
0.121976       1.29124e-05    7.45495e-06    
0.133593       4.30412e-06    4.30412e-06    
0.14521        4.30412e-06    4.30412e-06    
0.156827       8.60824e-06    6.08694e-06    
0.168443       8.60824e-06    6.08694e-06    
0.18006        8.60824e-06    6.08694e-06    
0.191677       4.30412e-06    4.30412e-06    
0.203294       4.30412e-06    4.30412e-06    
0.21491        4.30412e-06    4.30412e-06    
0.226527       8.60824e-06    6.08694e-06    
0.238144       0              0              
0.249761       1.29124e-05    7.45495e-06    
0.261378       0              0              
0.272994       0              0              
0.284611       1.72165e-05    8.60824e-06    
0.296228       8.60824e-06    6.08694e-06    
0.307845       8.60824e-06    6.08694e-06    
0.319461       1.29124e-05    7.45495e-06    
0.331078       1.29124e-05    7.45495e-06    
0.342695       0              0              
0.354312       4.30412e-06    4.30412e-06    
0.365929       4.30412e-06    4.30412e-06    
0.377545       4.30412e-06    4.30412e-06    
0.389162       8.60824e-06    6.08694e-06    
0.400779       4.30412e-06    4.30412e-06    
0.412396       2.15206e-05    9.6243e-06     
0.424012       0              0              
0.435629       1.72165e-05    8.60824e-06    
0.447246       1.29124e-05    7.45495e-06    
0.458863       3.01288e-05    1.13876e-05    
0.47048        1.29124e-05    7.45495e-06    
0.482096       2.15206e-05    9.6243e-06     
0.493713       1.29124e-05    7.45495e-06    
0.50533        1.72165e-05    8.60824e-06    
0.516947       1.29124e-05    7.45495e-06    
0.528563       1.72165e-05    8.60824e-06    
0.54018        3.44329e-05    1.21739e-05    
0.551797       8.60824e-06    6.08694e-06    
0.563414       4.73453e-05    1.42751e-05    
0.575031       2.58247e-05    1.05429e-05    
0.586647       2.58247e-05    1.05429e-05    
0.598264       3.01288e-05    1.13876e-05    
0.609881       3.44329e-05    1.21739e-05    
0.621498       2.15206e-05    9.6243e-06     
0.633115       2.58247e-05    1.05429e-05    
0.644731       3.01288e-05    1.13876e-05    
0.656348       3.44329e-05    1.21739e-05    
0.667965       2.15206e-05    9.6243e-06     
0.679582       2.58247e-05    1.05429e-05    
0.691198       1.29124e-05    7.45495e-06    
0.702815       1.72165e-05    8.60824e-06    
0.714432       2.58247e-05    1.05429e-05    
0.726049       8.60824e-06    6.08694e-06    
0.737666       2.15206e-05    9.6243e-06     
0.749282       2.58247e-05    1.05429e-05    
0.760899       2.58247e-05    1.05429e-05    
0.772516       3.01288e-05    1.13876e-05    
0.784133       2.58247e-05    1.05429e-05    
0.795749       3.87371e-05    1.29124e-05    
0.807366       3.44329e-05    1.21739e-05    
0.818983       1.72165e-05    8.60824e-06    
0.8306         2.15206e-05    9.6243e-06     
0.842217       2.15206e-05    9.6243e-06     
0.853833       2.15206e-05    9.6243e-06     
0.86545        3.44329e-05    1.21739e-05    
0.877067       2.58247e-05    1.05429e-05    
0.888684       4.73453e-05    1.42751e-05    
0.9003         3.01288e-05    1.13876e-05    
0.911917       3.01288e-05    1.13876e-05    
0.923534       3.44329e-05    1.21739e-05    
0.935151       3.44329e-05    1.21739e-05    
0.946768       4.30412e-05    1.36108e-05    
0.958384       3.01288e-05    1.13876e-05    
0.970001       4.30412e-05    1.36108e-05    
0.981618       4.30412e-05    1.36108e-05    
0.993235       4.73453e-05    1.42751e-05    
1.00485        2.15206e-05    9.6243e-06     
1.01647        3.44329e-05    1.21739e-05    
1.02809        3.44329e-05    1.21739e-05    
1.0397         5.16494e-05    1.49099e-05    
1.05132        4.30412e-05    1.36108e-05    
1.06294        1.72165e-05    8.60824e-06    
1.07455        3.01288e-05    1.13876e-05    
1.08617        3.44329e-05    1.21739e-05    
1.09779        2.58247e-05    1.05429e-05    
1.1094         3.44329e-05    1.21739e-05    
1.12102        3.44329e-05    1.21739e-05    
1.13264        3.44329e-05    1.21739e-05    
1.14425        3.87371e-05    1.29124e-05    
1.15587        3.87371e-05    1.29124e-05    
1.16749        3.87371e-05    1.29124e-05    
1.1791         2.15206e-05    9.6243e-06     
1.19072        8.60824e-06    6.08694e-06    
1.20234        4.30412e-05    1.36108e-05    
1.21395        3.01288e-05    1.13876e-05    
1.22557        3.01288e-05    1.13876e-05    
1.23719        7.74741e-05    1.82608e-05    
1.2488         3.44329e-05    1.21739e-05    
1.26042        5.59535e-05    1.55187e-05    
1.27204        5.16494e-05    1.49099e-05    
1.28365        1.29124e-05    7.45495e-06    
1.29527        2.15206e-05    9.6243e-06     
1.30689        5.16494e-05    1.49099e-05    
1.3185         6.02577e-05    1.61045e-05    
1.33012        3.87371e-05    1.29124e-05    
1.34174        4.30412e-05    1.36108e-05    
1.35335        4.30412e-05    1.36108e-05    
1.36497        6.02577e-05    1.61045e-05    
1.37659        4.30412e-05    1.36108e-05    
1.38821        3.44329e-05    1.21739e-05    
1.39982        3.01288e-05    1.13876e-05    
1.41144        3.44329e-05    1.21739e-05    
1.42306        2.15206e-05    9.6243e-06     
1.43467        2.58247e-05    1.05429e-05    
1.44629        5.16494e-05    1.49099e-05    
1.45791        2.15206e-05    9.6243e-06     
1.46952        4.73453e-05    1.42751e-05    
1.48114        3.01288e-05    1.13876e-05    
1.49276        2.15206e-05    9.6243e-06     
1.50437        2.58247e-05    1.05429e-05    
1.51599        2.15206e-05    9.6243e-06     
1.52761        3.01288e-05    1.13876e-05    
1.53922        3.87371e-05    1.29124e-05    
1.55084        4.30412e-05    1.36108e-05    
1.56246        5.16494e-05    1.49099e-05    
1.57407        3.01288e-05    1.13876e-05    
1.58569        3.01288e-05    1.13876e-05    
1.59731        5.16494e-05    1.49099e-05    
1.60892        6.02577e-05    1.61045e-05    
1.62054        3.87371e-05    1.29124e-05    
1.63216        3.87371e-05    1.29124e-05    
1.64377        5.59535e-05    1.55187e-05    
1.65539        1.72165e-05    8.60824e-06    
1.66701        4.30412e-05    1.36108e-05    
1.67862        4.30412e-05    1.36108e-05    
1.69024        5.16494e-05    1.49099e-05    
1.70186        3.44329e-05    1.21739e-05    
1.71348        3.44329e-05    1.21739e-05    
1.72509        2.15206e-05    9.6243e-06     
1.73671        3.01288e-05    1.13876e-05    
1.74833        4.30412e-05    1.36108e-05    
1.75994        3.44329e-05    1.21739e-05    
1.77156        2.58247e-05    1.05429e-05    
1.78318        4.73453e-05    1.42751e-05    
1.79479        2.15206e-05    9.6243e-06     
1.80641        1.29124e-05    7.45495e-06    
1.81803        4.73453e-05    1.42751e-05    
1.82964        1.72165e-05    8.60824e-06    
1.84126        4.73453e-05    1.42751e-05    
1.85288        1.72165e-05    8.60824e-06    
1.86449        1.72165e-05    8.60824e-06    
1.87611        3.01288e-05    1.13876e-05    
1.88773        8.60824e-06    6.08694e-06    
1.89934        3.44329e-05    1.21739e-05    
1.91096        2.15206e-05    9.6243e-06     
1.92258        3.44329e-05    1.21739e-05    
1.93419        3.44329e-05    1.21739e-05    
1.94581        3.01288e-05    1.13876e-05    
1.95743        3.01288e-05    1.13876e-05    
1.96904        2.15206e-05    9.6243e-06     
1.98066        2.58247e-05    1.05429e-05    
1.99228        3.44329e-05    1.21739e-05    
2.00389        3.87371e-05    1.29124e-05    
2.01551        3.87371e-05    1.29124e-05    
2.02713        3.87371e-05    1.29124e-05    
2.03874        2.15206e-05    9.6243e-06     
2.05036        3.87371e-05    1.29124e-05    
2.06198        2.58247e-05    1.05429e-05    
2.0736         1.72165e-05    8.60824e-06    
2.08521        2.58247e-05    1.05429e-05    
2.09683        2.58247e-05    1.05429e-05    
2.10845        1.72165e-05    8.60824e-06    
2.12006        3.44329e-05    1.21739e-05    
2.13168        1.72165e-05    8.60824e-06    
2.1433         4.30412e-05    1.36108e-05    
2.15491        2.58247e-05    1.05429e-05    
2.16653        3.44329e-05    1.21739e-05    
2.17815        1.72165e-05    8.60824e-06    
2.18976        2.58247e-05    1.05429e-05    
2.20138        2.15206e-05    9.6243e-06     
2.213          3.87371e-05    1.29124e-05    
2.22461        8.60824e-06    6.08694e-06    
2.23623        8.60824e-06    6.08694e-06    
2.24785        3.01288e-05    1.13876e-05    
2.25946        8.60824e-06    6.08694e-06    
2.27108        1.72165e-05    8.60824e-06    
2.2827         1.72165e-05    8.60824e-06    
2.29431        3.01288e-05    1.13876e-05    
2.30593        1.72165e-05    8.60824e-06    
2.31755        2.58247e-05    1.05429e-05    
2.32916        2.15206e-05    9.6243e-06     
2.34078        2.15206e-05    9.6243e-06     
2.3524         1.72165e-05    8.60824e-06    
2.36401        3.01288e-05    1.13876e-05    
2.37563        2.58247e-05    1.05429e-05    
2.38725        2.15206e-05    9.6243e-06     
2.39887        1.29124e-05    7.45495e-06    
2.41048        1.72165e-05    8.60824e-06    
2.4221         8.60824e-06    6.08694e-06    
2.43372        1.72165e-05    8.60824e-06    
2.44533        4.30412e-06    4.30412e-06    
2.45695        8.60824e-06    6.08694e-06    
2.46857        8.60824e-06    6.08694e-06    
2.48018        1.72165e-05    8.60824e-06    
2.4918         3.01288e-05    1.13876e-05    
2.50342        2.15206e-05    9.6243e-06     
2.51503        2.15206e-05    9.6243e-06     
2.52665        1.29124e-05    7.45495e-06    
2.53827        8.60824e-06    6.08694e-06    
2.54988        3.01288e-05    1.13876e-05    
2.5615         2.58247e-05    1.05429e-05    
2.57312        1.29124e-05    7.45495e-06    
2.58473        3.44329e-05    1.21739e-05    
2.59635        1.29124e-05    7.45495e-06    
2.60797        1.72165e-05    8.60824e-06    
2.61958        8.60824e-06    6.08694e-06    
2.6312         2.58247e-05    1.05429e-05    
2.64282        8.60824e-06    6.08694e-06    
2.65443        4.30412e-06    4.30412e-06    
2.66605        1.29124e-05    7.45495e-06    
2.67767        4.30412e-06    4.30412e-06    
2.68928        1.29124e-05    7.45495e-06    
2.7009         8.60824e-06    6.08694e-06    
2.71252        4.30412e-06    4.30412e-06    
2.72413        0              0              
2.73575        2.58247e-05    1.05429e-05    
2.74737        4.30412e-06    4.30412e-06    
2.75899        8.60824e-06    6.08694e-06    
2.7706         8.60824e-06    6.08694e-06    
2.78222        0              0              
2.79384        8.60824e-06    6.08694e-06    
2.80545        8.60824e-06    6.08694e-06    
2.81707        8.60824e-06    6.08694e-06    
2.82869        1.29124e-05    7.45495e-06    
2.8403         4.30412e-06    4.30412e-06    
2.85192        8.60824e-06    6.08694e-06    
2.86354        8.60824e-06    6.08694e-06    
2.87515        1.72165e-05    8.60824e-06    
2.88677        1.72165e-05    8.60824e-06    
2.89839        3.01288e-05    1.13876e-05    
2.91           1.72165e-05    8.60824e-06    
2.92162        0              0              
2.93324        1.29124e-05    7.45495e-06    
2.94485        4.30412e-06    4.30412e-06    
