pT (GeV)       dN/dpt         error          
0.00580892     0              0              
0.0174268      0              0              
0.0290446      0              0              
0.0406624      0              0              
0.0522803      0              0              
0.0638981      0              0              
0.075516       0              0              
0.0871338      4.30373e-06    4.30373e-06    
0.0987516      4.30373e-06    4.30373e-06    
0.110369       4.30373e-06    4.30373e-06    
0.121987       8.60745e-06    6.08639e-06    
0.133605       4.30373e-06    4.30373e-06    
0.145223       0              0              
0.156841       4.30373e-06    4.30373e-06    
0.168459       4.30373e-06    4.30373e-06    
0.180077       4.30373e-06    4.30373e-06    
0.191694       4.30373e-06    4.30373e-06    
0.203312       8.60745e-06    6.08639e-06    
0.21493        4.30373e-06    4.30373e-06    
0.226548       0              0              
0.238166       8.60745e-06    6.08639e-06    
0.249784       4.30373e-06    4.30373e-06    
0.261401       8.60745e-06    6.08639e-06    
0.273019       8.60745e-06    6.08639e-06    
0.284637       1.29112e-05    7.45427e-06    
0.296255       4.30373e-06    4.30373e-06    
0.307873       0              0              
0.319491       8.60745e-06    6.08639e-06    
0.331108       8.60745e-06    6.08639e-06    
0.342726       1.72149e-05    8.60745e-06    
0.354344       4.30373e-06    4.30373e-06    
0.365962       1.29112e-05    7.45427e-06    
0.37758        1.29112e-05    7.45427e-06    
0.389198       4.30373e-06    4.30373e-06    
0.400815       1.29112e-05    7.45427e-06    
0.412433       8.60745e-06    6.08639e-06    
0.424051       1.29112e-05    7.45427e-06    
0.435669       8.60745e-06    6.08639e-06    
0.447287       2.15186e-05    9.62342e-06    
0.458905       3.01261e-05    1.13866e-05    
0.470523       1.72149e-05    8.60745e-06    
0.48214        1.29112e-05    7.45427e-06    
0.493758       1.72149e-05    8.60745e-06    
0.505376       2.58224e-05    1.05419e-05    
0.516994       3.01261e-05    1.13866e-05    
0.528612       8.60745e-06    6.08639e-06    
0.54023        1.29112e-05    7.45427e-06    
0.551847       1.29112e-05    7.45427e-06    
0.563465       8.60745e-06    6.08639e-06    
0.575083       8.60745e-06    6.08639e-06    
0.586701       3.87335e-05    1.29112e-05    
0.598319       1.72149e-05    8.60745e-06    
0.609937       3.01261e-05    1.13866e-05    
0.621554       2.15186e-05    9.62342e-06    
0.633172       4.30373e-06    4.30373e-06    
0.64479        3.44298e-05    1.21728e-05    
0.656408       1.72149e-05    8.60745e-06    
0.668026       1.72149e-05    8.60745e-06    
0.679644       1.72149e-05    8.60745e-06    
0.691261       3.01261e-05    1.13866e-05    
0.702879       4.7341e-05     1.42738e-05    
0.714497       2.15186e-05    9.62342e-06    
0.726115       3.44298e-05    1.21728e-05    
0.737733       3.44298e-05    1.21728e-05    
0.749351       3.01261e-05    1.13866e-05    
0.760969       1.29112e-05    7.45427e-06    
0.772586       1.72149e-05    8.60745e-06    
0.784204       3.44298e-05    1.21728e-05    
0.795822       3.01261e-05    1.13866e-05    
0.80744        1.72149e-05    8.60745e-06    
0.819058       2.15186e-05    9.62342e-06    
0.830676       2.15186e-05    9.62342e-06    
0.842293       2.15186e-05    9.62342e-06    
0.853911       3.01261e-05    1.13866e-05    
0.865529       3.01261e-05    1.13866e-05    
0.877147       3.01261e-05    1.13866e-05    
0.888765       4.7341e-05     1.42738e-05    
0.900383       3.01261e-05    1.13866e-05    
0.912          1.72149e-05    8.60745e-06    
0.923618       3.01261e-05    1.13866e-05    
0.935236       3.01261e-05    1.13866e-05    
0.946854       1.72149e-05    8.60745e-06    
0.958472       4.30373e-05    1.36096e-05    
0.97009        3.87335e-05    1.29112e-05    
0.981707       3.44298e-05    1.21728e-05    
0.993325       6.02522e-05    1.61031e-05    
1.00494        2.15186e-05    9.62342e-06    
1.01656        3.87335e-05    1.29112e-05    
1.02818        5.16447e-05    1.49085e-05    
1.0398         4.7341e-05     1.42738e-05    
1.05141        3.01261e-05    1.13866e-05    
1.06303        3.87335e-05    1.29112e-05    
1.07465        1.72149e-05    8.60745e-06    
1.08627        3.87335e-05    1.29112e-05    
1.09789        3.44298e-05    1.21728e-05    
1.1095         2.58224e-05    1.05419e-05    
1.12112        3.44298e-05    1.21728e-05    
1.13274        2.58224e-05    1.05419e-05    
1.14436        2.58224e-05    1.05419e-05    
1.15598        4.7341e-05     1.42738e-05    
1.16759        3.87335e-05    1.29112e-05    
1.17921        4.30373e-05    1.36096e-05    
1.19083        5.16447e-05    1.49085e-05    
1.20245        2.58224e-05    1.05419e-05    
1.21406        2.58224e-05    1.05419e-05    
1.22568        5.16447e-05    1.49085e-05    
1.2373         3.01261e-05    1.13866e-05    
1.24892        4.30373e-05    1.36096e-05    
1.26054        3.44298e-05    1.21728e-05    
1.27215        3.01261e-05    1.13866e-05    
1.28377        3.44298e-05    1.21728e-05    
1.29539        3.87335e-05    1.29112e-05    
1.30701        5.59484e-05    1.55173e-05    
1.31862        3.01261e-05    1.13866e-05    
1.33024        3.01261e-05    1.13866e-05    
1.34186        4.30373e-05    1.36096e-05    
1.35348        3.87335e-05    1.29112e-05    
1.3651         4.7341e-05     1.42738e-05    
1.37671        3.01261e-05    1.13866e-05    
1.38833        7.31633e-05    1.77447e-05    
1.39995        3.44298e-05    1.21728e-05    
1.41157        2.58224e-05    1.05419e-05    
1.42319        2.58224e-05    1.05419e-05    
1.4348         6.88596e-05    1.72149e-05    
1.44642        5.16447e-05    1.49085e-05    
1.45804        3.87335e-05    1.29112e-05    
1.46966        4.7341e-05     1.42738e-05    
1.48127        3.01261e-05    1.13866e-05    
1.49289        2.58224e-05    1.05419e-05    
1.50451        6.45559e-05    1.66683e-05    
1.51613        3.01261e-05    1.13866e-05    
1.52775        2.58224e-05    1.05419e-05    
1.53936        3.01261e-05    1.13866e-05    
1.55098        5.59484e-05    1.55173e-05    
1.5626         6.02522e-05    1.61031e-05    
1.57422        3.87335e-05    1.29112e-05    
1.58584        5.59484e-05    1.55173e-05    
1.59745        3.87335e-05    1.29112e-05    
1.60907        4.7341e-05     1.42738e-05    
1.62069        3.01261e-05    1.13866e-05    
1.63231        6.45559e-05    1.66683e-05    
1.64392        2.15186e-05    9.62342e-06    
1.65554        2.58224e-05    1.05419e-05    
1.66716        4.30373e-05    1.36096e-05    
1.67878        3.01261e-05    1.13866e-05    
1.6904         3.87335e-05    1.29112e-05    
1.70201        4.30373e-05    1.36096e-05    
1.71363        3.87335e-05    1.29112e-05    
1.72525        3.01261e-05    1.13866e-05    
1.73687        4.7341e-05     1.42738e-05    
1.74848        5.59484e-05    1.55173e-05    
1.7601         3.01261e-05    1.13866e-05    
1.77172        3.44298e-05    1.21728e-05    
1.78334        3.01261e-05    1.13866e-05    
1.79496        3.44298e-05    1.21728e-05    
1.80657        3.87335e-05    1.29112e-05    
1.81819        4.30373e-05    1.36096e-05    
1.82981        1.72149e-05    8.60745e-06    
1.84143        3.44298e-05    1.21728e-05    
1.85305        3.01261e-05    1.13866e-05    
1.86466        2.58224e-05    1.05419e-05    
1.87628        4.30373e-05    1.36096e-05    
1.8879         4.30373e-05    1.36096e-05    
1.89952        2.15186e-05    9.62342e-06    
1.91113        2.15186e-05    9.62342e-06    
1.92275        3.87335e-05    1.29112e-05    
1.93437        4.30373e-05    1.36096e-05    
1.94599        4.30373e-05    1.36096e-05    
1.95761        1.29112e-05    7.45427e-06    
1.96922        5.59484e-05    1.55173e-05    
1.98084        3.01261e-05    1.13866e-05    
1.99246        3.01261e-05    1.13866e-05    
2.00408        2.15186e-05    9.62342e-06    
2.0157         4.7341e-05     1.42738e-05    
2.02731        3.87335e-05    1.29112e-05    
2.03893        2.15186e-05    9.62342e-06    
2.05055        2.15186e-05    9.62342e-06    
2.06217        3.87335e-05    1.29112e-05    
2.07378        2.15186e-05    9.62342e-06    
2.0854         3.44298e-05    1.21728e-05    
2.09702        3.01261e-05    1.13866e-05    
2.10864        3.44298e-05    1.21728e-05    
2.12026        2.58224e-05    1.05419e-05    
2.13187        1.72149e-05    8.60745e-06    
2.14349        2.58224e-05    1.05419e-05    
2.15511        1.72149e-05    8.60745e-06    
2.16673        2.15186e-05    9.62342e-06    
2.17835        1.29112e-05    7.45427e-06    
2.18996        2.15186e-05    9.62342e-06    
2.20158        3.44298e-05    1.21728e-05    
2.2132         1.72149e-05    8.60745e-06    
2.22482        1.29112e-05    7.45427e-06    
2.23643        3.44298e-05    1.21728e-05    
2.24805        3.87335e-05    1.29112e-05    
2.25967        3.01261e-05    1.13866e-05    
2.27129        2.15186e-05    9.62342e-06    
2.28291        2.58224e-05    1.05419e-05    
2.29452        1.72149e-05    8.60745e-06    
2.30614        2.15186e-05    9.62342e-06    
2.31776        1.72149e-05    8.60745e-06    
2.32938        1.29112e-05    7.45427e-06    
2.34099        2.15186e-05    9.62342e-06    
2.35261        2.58224e-05    1.05419e-05    
2.36423        4.30373e-05    1.36096e-05    
2.37585        2.15186e-05    9.62342e-06    
2.38747        8.60745e-06    6.08639e-06    
2.39908        2.58224e-05    1.05419e-05    
2.4107         3.01261e-05    1.13866e-05    
2.42232        3.44298e-05    1.21728e-05    
2.43394        2.58224e-05    1.05419e-05    
2.44556        0              0              
2.45717        1.29112e-05    7.45427e-06    
2.46879        3.01261e-05    1.13866e-05    
2.48041        2.15186e-05    9.62342e-06    
2.49203        3.01261e-05    1.13866e-05    
2.50364        8.60745e-06    6.08639e-06    
2.51526        8.60745e-06    6.08639e-06    
2.52688        1.72149e-05    8.60745e-06    
2.5385         1.72149e-05    8.60745e-06    
2.55012        2.58224e-05    1.05419e-05    
2.56173        1.72149e-05    8.60745e-06    
2.57335        0              0              
2.58497        1.29112e-05    7.45427e-06    
2.59659        1.29112e-05    7.45427e-06    
2.60821        2.58224e-05    1.05419e-05    
2.61982        3.01261e-05    1.13866e-05    
2.63144        4.30373e-06    4.30373e-06    
2.64306        2.58224e-05    1.05419e-05    
2.65468        2.15186e-05    9.62342e-06    
2.66629        4.30373e-06    4.30373e-06    
2.67791        1.29112e-05    7.45427e-06    
2.68953        1.29112e-05    7.45427e-06    
2.70115        1.72149e-05    8.60745e-06    
2.71277        2.15186e-05    9.62342e-06    
2.72438        1.72149e-05    8.60745e-06    
2.736          2.15186e-05    9.62342e-06    
2.74762        1.29112e-05    7.45427e-06    
2.75924        1.72149e-05    8.60745e-06    
2.77085        2.58224e-05    1.05419e-05    
2.78247        1.29112e-05    7.45427e-06    
2.79409        1.72149e-05    8.60745e-06    
2.80571        4.30373e-06    4.30373e-06    
2.81733        1.29112e-05    7.45427e-06    
2.82894        1.72149e-05    8.60745e-06    
2.84056        1.29112e-05    7.45427e-06    
2.85218        0              0              
2.8638         1.29112e-05    7.45427e-06    
2.87542        2.15186e-05    9.62342e-06    
2.88703        4.30373e-06    4.30373e-06    
2.89865        4.30373e-06    4.30373e-06    
2.91027        8.60745e-06    6.08639e-06    
2.92189        1.29112e-05    7.45427e-06    
2.9335         8.60745e-06    6.08639e-06    
2.94512        1.29112e-05    7.45427e-06    
2.95674        4.30373e-06    4.30373e-06    
2.96836        4.30373e-06    4.30373e-06    
2.97998        1.29112e-05    7.45427e-06    
2.99159        8.60745e-06    6.08639e-06    
3.00321        4.30373e-06    4.30373e-06    
3.01483        0              0              
3.02645        4.30373e-06    4.30373e-06    
3.03807        4.30373e-06    4.30373e-06    
3.04968        4.30373e-06    4.30373e-06    
3.0613         8.60745e-06    6.08639e-06    
3.07292        0              0              
3.08454        8.60745e-06    6.08639e-06    
3.09615        8.60745e-06    6.08639e-06    
3.10777        8.60745e-06    6.08639e-06    
3.11939        0              0              
3.13101        8.60745e-06    6.08639e-06    
3.14263        4.30373e-06    4.30373e-06    
3.15424        4.30373e-06    4.30373e-06    
3.16586        8.60745e-06    6.08639e-06    
3.17748        1.72149e-05    8.60745e-06    
3.1891         8.60745e-06    6.08639e-06    
3.20071        8.60745e-06    6.08639e-06    
3.21233        1.29112e-05    7.45427e-06    
3.22395        4.30373e-06    4.30373e-06    
3.23557        4.30373e-06    4.30373e-06    
3.24719        4.30373e-06    4.30373e-06    
3.2588         0              0              
3.27042        8.60745e-06    6.08639e-06    
3.28204        1.29112e-05    7.45427e-06    
3.29366        4.30373e-06    4.30373e-06    
3.30528        0              0              
3.31689        0              0              
3.32851        4.30373e-06    4.30373e-06    
3.34013        4.30373e-06    4.30373e-06    
3.35175        8.60745e-06    6.08639e-06    
3.36336        4.30373e-06    4.30373e-06    
3.37498        0              0              
3.3866         4.30373e-06    4.30373e-06    
3.39822        8.60745e-06    6.08639e-06    
3.40984        8.60745e-06    6.08639e-06    
3.42145        8.60745e-06    6.08639e-06    
3.43307        8.60745e-06    6.08639e-06    
3.44469        4.30373e-06    4.30373e-06    
3.45631        4.30373e-06    4.30373e-06    
3.46793        0              0              
3.47954        4.30373e-06    4.30373e-06    
3.49116        4.30373e-06    4.30373e-06    
