p (GeV)        dN/dp          error          
0.00293956     0.000187103    3.98904e-05    
0.00881869     0.00107159     9.54643e-05    
0.0146978      0.00274701     0.000152846    
0.020577       0.00574065     0.000220954    
0.0264561      0.00973784     0.000287771    
0.0323352      0.0137946      0.000342503    
0.0382143      0.0199349      0.000411728    
0.0440935      0.0263985      0.000473788    
0.0499726      0.0339251      0.000537223    
0.0558517      0.0423617      0.000600393    
0.0617309      0.0513086      0.000660587    
0.06761        0.0601024      0.000714822    
0.0734891      0.0719579      0.000782217    
0.0793683      0.0832011      0.000841068    
0.0852474      0.0962217      0.000904682    
0.0911265      0.108392       0.000960043    
0.0970056      0.124253       0.00102802     
0.102885       0.140165       0.00109176     
0.108764       0.155397       0.00114971     
0.114643       0.172117       0.00121004     
0.120522       0.188582       0.00126629     
0.126401       0.206264       0.00132453     
0.13228        0.227925       0.00139243     
0.13816        0.2449         0.00144335     
0.144039       0.264776       0.00150031     
0.149918       0.287798       0.00156437     
0.155797       0.308872       0.0016204      
0.161676       0.331605       0.00167891     
0.167555       0.353998       0.00173473     
0.173434       0.376969       0.00179081     
0.179313       0.401182       0.00184723     
0.185193       0.424451       0.00189998     
0.191072       0.455339       0.00196773     
0.196951       0.474526       0.00200887     
0.20283        0.503722       0.00206969     
0.208709       0.52933        0.00212198     
0.214588       0.554215       0.0021704      
0.220467       0.587374       0.00223542     
0.226347       0.612514       0.00228241     
0.232226       0.643718       0.0023399      
0.238105       0.668653       0.00238499     
0.243984       0.699228       0.00243918     
0.249863       0.727905       0.00248803     
0.255742       0.760971       0.00254391     
0.261621       0.791214       0.00259394     
0.2675         0.818233       0.00263742     
0.27338        0.849148       0.00268788     
0.279259       0.881406       0.00273761     
0.285138       0.909046       0.00278003     
0.291017       0.941806       0.00283044     
0.296896       0.971054       0.00287414     
0.302775       1.00452        0.00292299     
0.308654       1.03355        0.00296466     
0.314533       1.06074        0.00300328     
0.320413       1.10019        0.00305849     
0.326292       1.12264        0.00309029     
0.332171       1.16337        0.00314583     
0.33805        1.19297        0.00318507     
0.343929       1.22019        0.00322125     
0.349808       1.25673        0.00326829     
0.355687       1.28573        0.00330663     
0.361566       1.31512        0.00334309     
0.367446       1.34033        0.00337545     
0.373325       1.37792        0.00342242     
0.379204       1.41055        0.00346382     
0.385083       1.43443        0.00349277     
0.390962       1.46347        0.00352867     
0.396841       1.49639        0.00356747     
0.40272        1.53332        0.00361135     
0.4086         1.55593        0.00363753     
0.414479       1.58596        0.00367155     
0.420358       1.61375        0.00370408     
0.426237       1.64268        0.00373796     
0.432116       1.67606        0.00377428     
0.437995       1.69937        0.00380163     
0.443874       1.72575        0.00383109     
0.449753       1.75218        0.00386036     
0.455633       1.78154        0.00389331     
0.461512       1.80906        0.00392211     
0.467391       1.83042        0.00394524     
0.47327        1.86625        0.00398493     
0.479149       1.8853         0.00400386     
0.485028       1.91647        0.00403683     
0.490907       1.9363         0.00405763     
0.496786       1.96663        0.00409056     
0.502666       1.97747        0.00410059     
0.508545       2.00496        0.00412962     
0.514424       2.02635        0.0041517      
0.520303       2.04686        0.00417208     
0.526182       2.06887        0.00419531     
0.532061       2.09634        0.00422351     
0.53794        2.11013        0.00423582     
0.54382        2.12848        0.00425568     
0.549699       2.1473         0.00427238     
0.555578       2.16984        0.00429588     
0.561457       2.18807        0.00431467     
0.567336       2.21381        0.00433866     
0.573215       2.2225         0.00434776     
0.579094       2.23823        0.00436258     
0.584973       2.26144        0.00438617     
0.590853       2.27133        0.00439608     
0.596732       2.28566        0.00440795     
0.602611       2.29863        0.00442197     
0.60849        2.31859        0.00443994     
0.614369       2.33254        0.00445444     
0.620248       2.33684        0.00445814     
0.626127       2.35811        0.00447792     
0.632006       2.36788        0.00448716     
0.637886       2.37596        0.0044937      
0.643765       2.38984        0.00450899     
0.649644       2.40246        0.0045195      
0.655523       2.40089        0.00451805     
0.661402       2.41411        0.0045307      
0.667281       2.43084        0.00454696     
0.67316        2.43164        0.00454807     
0.67904        2.44211        0.00455792     
0.684919       2.44256        0.004557       
0.690798       2.44614        0.0045602      
0.696677       2.4583         0.004573       
0.702556       2.47256        0.00458547     
0.708435       2.46297        0.00457587     
0.714314       2.47035        0.00458417     
0.720193       2.47441        0.00458802     
0.726073       2.48345        0.00459583     
0.731952       2.47321        0.00458545     
0.737831       2.47675        0.00458979     
0.74371        2.49242        0.00460347     
0.749589       2.48177        0.00459508     
0.755468       2.4924         0.00460415     
0.761347       2.48606        0.00459745     
0.767226       2.49254        0.00460466     
0.773106       2.49701        0.00460834     
0.778985       2.49304        0.00460356     
0.784864       2.4944         0.00460613     
0.790743       2.48615        0.00459813     
0.796622       2.48974        0.00460042     
0.802501       2.48033        0.00459383     
0.80838        2.47632        0.00458906     
0.81426        2.48106        0.00459408     
0.820139       2.47682        0.00458872     
0.826018       2.47346        0.00458496     
0.831897       2.45501        0.00457032     
0.837776       2.45524        0.00457033     
0.843655       2.44964        0.00456437     
0.849534       2.44136        0.00455616     
0.855413       2.44616        0.0045613      
0.861293       2.43555        0.00455187     
0.867172       2.42835        0.00454546     
0.873051       2.41815        0.00453463     
0.87893        2.41253        0.00453083     
0.884809       2.40411        0.00452089     
0.890688       2.39778        0.00451541     
0.896567       2.39114        0.0045101      
0.902446       2.37764        0.00449622     
0.908326       2.36852        0.00448771     
0.914205       2.36386        0.00448408     
0.920084       2.35005        0.00447008     
0.925963       2.33528        0.00445586     
0.931842       2.33284        0.00445463     
0.937721       2.3187         0.00444121     
0.9436         2.31783        0.00443979     
0.949479       2.29878        0.00442162     
0.955359       2.28017        0.00440371     
0.961238       2.27317        0.0043965      
0.967117       2.27451        0.00439893     
0.972996       2.2537         0.00437901     
0.978875       2.24359        0.00436788     
0.984754       2.23346        0.00435812     
0.990633       2.21562        0.00434038     
0.996513       2.21179        0.00433741     
1.00239        2.1915         0.00431819     
1.00827        2.18349        0.004309       
1.01415        2.16961        0.00429501     
1.02003        2.1509         0.00427619     
1.02591        2.13607        0.00426251     
1.03179        2.13202        0.00425779     
1.03767        2.11183        0.0042379      
1.04355        2.10057        0.00422556     
1.04942        2.08203        0.00420835     
1.0553         2.06651        0.00419186     
1.06118        2.05405        0.00417905     
1.06706        2.04397        0.00416859     
1.07294        2.02813        0.00415358     
1.07882        2.00853        0.00413268     
1.0847         1.99138        0.00411575     
1.09058        1.98765        0.00411161     
1.09646        1.96812        0.00409115     
1.10234        1.951          0.00407432     
1.10822        1.95053        0.00407282     
1.1141         1.92647        0.00404669     
1.11997        1.91359        0.00403339     
1.12585        1.89579        0.00401445     
1.13173        1.88049        0.00400003     
1.13761        1.86499        0.00398277     
1.14349        1.84703        0.00396338     
1.14937        1.84194        0.00395819     
1.15525        1.81104        0.00392429     
1.16113        1.80866        0.00392204     
1.16701        1.79369        0.00390569     
1.17289        1.77175        0.00388276     
1.17877        1.75863        0.00386634     
1.18464        1.74448        0.00385216     
1.19052        1.72999        0.00383525     
1.1964         1.70743        0.00381095     
1.20228        1.69442        0.00379694     
1.20816        1.68419        0.00378428     
1.21404        1.667          0.00376555     
1.21992        1.64974        0.00374473     
1.2258         1.63777        0.00373195     
1.23168        1.62305        0.00371576     
1.23756        1.60577        0.00369475     
1.24344        1.59341        0.00368092     
1.24932        1.57262        0.00365666     
1.25519        1.55964        0.00364196     
1.26107        1.54442        0.00362327     
1.26695        1.53118        0.00360906     
1.27283        1.51429        0.0035896      
1.27871        1.49296        0.00356317     
1.28459        1.48584        0.003555       
1.29047        1.47524        0.00354145     
1.29635        1.45853        0.00352228     
1.30223        1.4422         0.00350357     
1.30811        1.4195         0.0034734      
1.31399        1.41075        0.00346486     
1.31986        1.39357        0.00344224     
1.32574        1.38487        0.00343189     
1.33162        1.3675         0.00340944     
1.3375         1.35254        0.0033912      
1.34338        1.33821        0.00337323     
1.34926        1.32805        0.00336157     
1.35514        1.31147        0.00333967     
1.36102        1.29274        0.00331626     
1.3669         1.28368        0.00330491     
1.37278        1.26546        0.00328041     
1.37866        1.2548         0.0032671      
1.38454        1.2407         0.00324745     
1.39041        1.22746        0.00323144     
1.39629        1.20951        0.00320676     
1.40217        1.19536        0.00318795     
1.40805        1.18735        0.00317814     
1.41393        1.17346        0.00315944     
1.41981        1.15334        0.00313218     
1.42569        1.14694        0.00312419     
1.43157        1.13721        0.00311013     
1.43745        1.11431        0.00307822     
1.44333        1.11093        0.00307381     
1.44921        1.08978        0.00304476     
1.45508        1.079          0.00302853     
1.46096        1.06235        0.00300569     
1.46684        1.05688        0.00299838     
1.47272        1.04317        0.002979       
1.4786         1.03055        0.00296022     
1.48448        1.01836        0.00294322     
1.49036        1.00386        0.0029213      
1.49624        0.989704       0.00290116     
1.50212        0.979116       0.0028858      
1.508          0.965806       0.0028664      
1.51388        0.95606        0.00285141     
1.51976        0.948763       0.00284073     
1.52563        0.934798       0.00282024     
1.53151        0.927008       0.00280762     
1.53739        0.907481       0.00277839     
1.54327        0.901256       0.00276921     
1.54915        0.886806       0.00274575     
1.55503        0.882069       0.00273871     
1.56091        0.866327       0.00271479     
1.56679        0.854718       0.00269646     
1.57267        0.845312       0.00268146     
1.57855        0.838593       0.00267019     
1.58443        0.817834       0.00263686     
1.5903         0.81023        0.00262557     
1.59618        0.804243       0.00261526     
1.60206        0.790823       0.00259408     
1.60794        0.778874       0.00257497     
1.61382        0.769646       0.00255779     
1.6197         0.765683       0.00255213     
1.62558        0.753411       0.00253101     
1.63146        0.742627       0.00251331     
1.63734        0.730593       0.00249147     
1.64322        0.721          0.0024765      
1.6491         0.71633        0.0024691      
1.65498        0.704883       0.00244852     
1.66085        0.692135       0.00242536     
1.66673        0.686624       0.00241615     
1.67261        0.674819       0.0023959      
1.67849        0.665932       0.00237972     
1.68437        0.656254       0.00236262     
1.69025        0.649263       0.00235031     
1.69613        0.639908       0.00233311     
1.70201        0.631343       0.00231685     
1.70789        0.629336       0.00231332     
1.71377        0.612778       0.00228262     
1.71965        0.606824       0.00227132     
1.72552        0.60071        0.00226028     
1.7314         0.589509       0.00223874     
1.73728        0.580162       0.00222111     
1.74316        0.573282       0.00220795     
1.74904        0.561129       0.00218468     
1.75492        0.560916       0.00218364     
1.7608         0.547419       0.00215774     
1.76668        0.538005       0.00213902     
1.77256        0.533497       0.00212972     
1.77844        0.527918       0.00211845     
1.78432        0.518163       0.00209904     
1.7902         0.509752       0.00208259     
1.79607        0.502898       0.002068       
1.80195        0.495311       0.00205257     
1.80783        0.48935        0.00203966     
1.81371        0.483498       0.0020281      
1.81959        0.476406       0.0020134      
1.82547        0.471022       0.00200141     
1.83135        0.463453       0.0019851      
1.83723        0.457474       0.0019721      
1.84311        0.448604       0.00195309     
1.84899        0.44436        0.00194395     
1.85487        0.438509       0.00193062     
1.86074        0.429434       0.00191119     
1.86662        0.423549       0.00189789     
1.8725         0.419722       0.00188984     
1.87838        0.412314       0.00187268     
1.88426        0.405511       0.00185704     
1.89014        0.397822       0.00183908     
1.89602        0.39391        0.00183022     
1.9019         0.387319       0.00181559     
1.90778        0.382191       0.00180339     
1.91366        0.379223       0.00179576     
1.91954        0.372113       0.0017788      
1.92542        0.365522       0.00176284     
1.93129        0.360232       0.00174976     
1.93717        0.353938       0.00173479     
1.94305        0.350392       0.00172636     
1.94893        0.343682       0.00170923     
1.95481        0.340671       0.00170235     
1.96069        0.334029       0.00168574     
1.96657        0.328271       0.00167065     
1.97245        0.325745       0.00166441     
1.97833        0.322633       0.00165612     
1.98421        0.316365       0.00164067     
1.99009        0.310811       0.00162618     
1.99596        0.303931       0.00160743     
2.00184        0.299653       0.00159648     
2.00772        0.29694        0.00158912     
2.0136         0.290978       0.00157305     
2.01948        0.286692       0.00156151     
2.02536        0.28318        0.00155208     
2.03124        0.276835       0.00153443     
2.03712        0.273774       0.00152604     
2.043          0.266255       0.00150492     
2.04888        0.26634        0.00150492     
2.05476        0.263747       0.00149735     
2.06064        0.25656        0.00147725     
2.06651        0.255242       0.00147322     
2.07239        0.249816       0.00145787     
2.07827        0.245257       0.0014446      
2.08415        0.242434       0.00143634     
2.09003        0.240929       0.00143118     
2.09591        0.235188       0.00141443     
2.10179        0.231931       0.00140442     
2.10767        0.225875       0.00138607     
2.11355        0.224506       0.00138208     
2.11943        0.22056        0.00136944     
2.12531        0.214411       0.00135048     
2.13118        0.214921       0.00135198     
2.13706        0.209028       0.00133341     
2.14294        0.206978       0.00132682     
2.14882        0.203125       0.00131439     
2.1547         0.199545       0.00130273     
2.16058        0.194459       0.00128594     
2.16646        0.193166       0.00128173     
2.17234        0.190955       0.00127445     
2.17822        0.188174       0.0012651      
2.1841         0.184432       0.00125231     
2.18998        0.182791       0.00124708     
2.19586        0.179993       0.00123735     
2.20173        0.175256       0.00122046     
2.20761        0.173606       0.00121507     
2.21349        0.171088       0.00120649     
2.21937        0.168435       0.00119724     
2.22525        0.167448       0.00119337     
2.23113        0.163383       0.00117889     
2.23701        0.159284       0.00116403     
2.24289        0.158144       0.00115993     
2.24877        0.154691       0.00114698     
2.25465        0.15123        0.00113384     
2.26053        0.148568       0.00112409     
2.2664         0.148041       0.00112197     
2.27228        0.144018       0.00110658     
2.27816        0.142921       0.00110269     
2.28404        0.141467       0.00109694     
2.28992        0.139561       0.00108928     
2.2958         0.135683       0.00107399     
2.30168        0.134569       0.00106991     
2.30756        0.132179       0.00106012     
2.31344        0.12842        0.00104516     
2.31932        0.125554       0.00103317     
2.3252         0.125826       0.00103429     
2.33108        0.123794       0.00102619     
2.33695        0.121744       0.00101789     
2.34283        0.120732       0.00101337     
2.34871        0.117781       0.00100071     
2.35459        0.118376       0.00100309     
2.36047        0.113427       0.000982136    
2.36635        0.111998       0.00097579     
2.37223        0.109863       0.000966754    
2.37811        0.108247       0.000959403    
2.38399        0.106325       0.000950933    
2.38987        0.103706       0.000939084    
2.39575        0.101095       0.000927044    
2.40162        0.100755       0.000925641    
2.4075         0.101359       0.000928641    
2.41338        0.0991898      0.000918511    
2.41926        0.0966129      0.000906437    
2.42514        0.0942912      0.000895329    
2.43102        0.0926328      0.000887834    
2.4369         0.0908468      0.000878918    
2.44278        0.0898602      0.000874303    
2.44866        0.0891969      0.000871074    
2.45454        0.0888312      0.000869206    
2.46042        0.0831586      0.000841197    
2.4663         0.0843577      0.000846975    
2.47217        0.0822656      0.000836502    
2.47805        0.0825717      0.000837797    
2.48393        0.0796036      0.000823136    
2.48981        0.0801224      0.000825459    
2.49569        0.076695       0.000807626    
2.50157        0.0755129      0.000801474    
2.50745        0.0741011      0.000793955    
2.51333        0.0727659      0.000786869    
2.51921        0.0716773      0.000780598    
2.52509        0.0700614      0.000772315    
2.53097        0.0706397      0.000775024    
2.53684        0.0681648      0.000761335    
2.54272        0.0677141      0.00075872     
2.5486         0.0659536      0.000748796    
2.55448        0.0662513      0.000750772    
2.56036        0.063887       0.000737172    
2.56624        0.0639295      0.000737221    
2.57212        0.0622286      0.00072755     
