pT (GeV)       dN/dpt         error          
0.00393956     0.0341916      0.000465744    
0.0118187      0.10154        0.000802652    
0.0196978      0.171662       0.00104382     
0.027577       0.239703       0.00123319     
0.0354561      0.307369       0.00139648     
0.0433352      0.375168       0.0015427      
0.0512143      0.441096       0.001673       
0.0590935      0.506198       0.00179237     
0.0669726      0.574638       0.00190889     
0.0748517      0.642876       0.00201983     
0.0827309      0.704615       0.00211489     
0.09061        0.771031       0.00221253     
0.0984891      0.837777       0.002306       
0.106368       0.89777        0.0023871      
0.114247       0.96411        0.00247357     
0.122127       1.02372        0.00254914     
0.130006       1.09062        0.00263008     
0.137885       1.15228        0.0027045      
0.145764       1.21214        0.00277423     
0.153643       1.26358        0.00283234     
0.161522       1.32406        0.00289937     
0.169401       1.38472        0.00296438     
0.17728        1.44212        0.00302485     
0.18516        1.49801        0.0030824      
0.193039       1.54711        0.00313356     
0.200918       1.60155        0.00318915     
0.208797       1.65056        0.00323514     
0.216676       1.71047        0.00329445     
0.224555       1.75846        0.00334048     
0.232434       1.80354        0.00338321     
0.240313       1.85534        0.00343155     
0.248193       1.89992        0.0034723      
0.256072       1.94504        0.00351371     
0.263951       1.99564        0.00356007     
0.27183        2.03637        0.00359431     
0.279709       2.06855        0.00362282     
0.287588       2.11752        0.00366611     
0.295467       2.1593         0.00370266     
0.303347       2.19583        0.0037331      
0.311226       2.2255         0.00375838     
0.319105       2.26316        0.00378812     
0.326984       2.29622        0.00381662     
0.334863       2.32979        0.0038451      
0.342742       2.35893        0.00387004     
0.350621       2.38865        0.00389347     
0.3585         2.41808        0.00391645     
0.36638        2.44277        0.00393674     
0.374259       2.47614        0.00396433     
0.382138       2.49427        0.00397801     
0.390017       2.51276        0.00399358     
0.397896       2.54785        0.00402018     
0.405775       2.56009        0.00403129     
0.413654       2.58169        0.00404736     
0.421533       2.60225        0.00406309     
0.429413       2.61292        0.00407119     
0.437292       2.62478        0.00408174     
0.445171       2.64095        0.00409394     
0.45305        2.65137        0.00410181     
0.460929       2.66755        0.00411431     
0.468808       2.6666         0.0041137      
0.476687       2.68391        0.00412805     
0.484566       2.69643        0.00413485     
0.492446       2.69541        0.00413583     
0.500325       2.70659        0.00414387     
0.508204       2.70397        0.0041424      
0.516083       2.71988        0.00415396     
0.523962       2.71427        0.00415136     
0.531841       2.71555        0.0041515      
0.53972        2.72011        0.00415378     
0.5476         2.71186        0.00414869     
0.555479       2.71785        0.00415235     
0.563358       2.70805        0.00414462     
0.571237       2.71458        0.00415009     
0.579116       2.6999         0.00413821     
0.586995       2.69129        0.00413242     
0.594874       2.69818        0.00413743     
0.602753       2.68148        0.00412456     
0.610633       2.68166        0.00412484     
0.618512       2.66479        0.00411276     
0.626391       2.65614        0.00410532     
0.63427        2.64181        0.00409401     
0.642149       2.63398        0.00408862     
0.650028       2.61384        0.00407264     
0.657907       2.60725        0.00406693     
0.665786       2.58723        0.00405159     
0.673666       2.57688        0.00404335     
0.681545       2.56389        0.00403261     
0.689424       2.54473        0.00401904     
0.697303       2.53231        0.00400856     
0.705182       2.51646        0.00399612     
0.713061       2.4935         0.00397831     
0.72094        2.47996        0.00396638     
0.72882        2.46343        0.00395393     
0.736699       2.45269        0.00394559     
0.744578       2.42903        0.00392538     
0.752457       2.41226        0.00391301     
0.760336       2.3934         0.00389669     
0.768215       2.36564        0.003875       
0.776094       2.35046        0.00386278     
0.783973       2.32533        0.0038414      
0.791853       2.30581        0.0038259      
0.799732       2.28549        0.00380885     
0.807611       2.27194        0.00379693     
0.81549        2.24834        0.00377735     
0.823369       2.22603        0.00375779     
0.831248       2.19717        0.00373412     
0.839127       2.17734        0.00371732     
0.847006       2.15391        0.0036968      
0.854886       2.13345        0.00368035     
0.862765       2.11653        0.00366502     
0.870644       2.09029        0.00364122     
0.878523       2.06012        0.00361582     
0.886402       2.03897        0.00359699     
0.894281       2.00561        0.003568       
0.90216        1.99352        0.00355675     
0.91004        1.97677        0.00354214     
0.917919       1.94791        0.00351599     
0.925798       1.92615        0.00349522     
0.933677       1.90031        0.00347286     
0.941556       1.87826        0.00345282     
0.949435       1.85469        0.00342972     
0.957314       1.83158        0.00341        
0.965193       1.80964        0.00338926     
0.973073       1.78822        0.00336892     
0.980952       1.75801        0.0033402      
0.988831       1.73857        0.0033219      
0.99671        1.71655        0.00330017     
1.00459        1.69288        0.00327799     
1.01247        1.66944        0.00325452     
1.02035        1.64709        0.0032327      
1.02823        1.62284        0.00320874     
1.03611        1.59387        0.00318091     
1.04398        1.5737         0.00315991     
1.05186        1.55449        0.0031407      
1.05974        1.52755        0.00311402     
1.06762        1.5095         0.0030951      
1.0755         1.48415        0.00306812     
1.08338        1.46894        0.00305385     
1.09126        1.44383        0.00302712     
1.09914        1.41957        0.00300106     
1.10702        1.40119        0.00298225     
1.1149         1.37788        0.00295712     
1.12278        1.359          0.00293755     
1.13066        1.33679        0.0029129      
1.13853        1.31508        0.00288868     
1.14641        1.29436        0.00286577     
1.15429        1.27306        0.00284134     
1.16217        1.25638        0.00282369     
1.17005        1.2299         0.00279358     
1.17793        1.20987        0.00277097     
1.18581        1.19285        0.00275177     
1.19369        1.17562        0.0027315      
1.20157        1.15096        0.00270235     
1.20945        1.13697        0.00268547     
1.21733        1.1137         0.00265793     
1.2252         1.09833        0.00264002     
1.23308        1.08065        0.00261832     
1.24096        1.05338        0.00258438     
1.24884        1.04036        0.00256897     
1.25672        1.02402        0.00255003     
1.2646         1.00327        0.00252269     
1.27248        0.991854       0.00250839     
1.28036        0.967277       0.00247745     
1.28824        0.955118       0.0024629      
1.29612        0.935509       0.00243663     
1.304          0.92264        0.00242038     
1.31188        0.903152       0.00239384     
1.31975        0.888182       0.00237357     
1.32763        0.874957       0.00235624     
1.33551        0.857506       0.00233282     
1.34339        0.840042       0.00230892     
1.35127        0.822604       0.00228406     
1.35915        0.810946       0.0022688      
1.36703        0.796617       0.00224855     
1.37491        0.779655       0.00222408     
1.38279        0.767807       0.00220743     
1.39067        0.75483        0.00218839     
1.39855        0.739327       0.00216597     
1.40642        0.72112        0.0021394      
1.4143         0.710903       0.00212416     
1.42218        0.698199       0.00210449     
1.43006        0.682753       0.00208218     
1.43794        0.673209       0.0020669      
1.44582        0.659419       0.00204594     
1.4537         0.648098       0.00202752     
1.46158        0.630546       0.00200047     
1.46946        0.620354       0.00198342     
1.47734        0.612447       0.00197159     
1.48522        0.597915       0.00194821     
1.4931         0.587616       0.00193087     
1.50097        0.574067       0.00190856     
1.50885        0.565018       0.00189365     
1.51673        0.55178        0.00187064     
1.52461        0.541494       0.00185337     
1.53249        0.529519       0.00183345     
1.54037        0.519423       0.00181533     
1.54825        0.508241       0.00179557     
1.55613        0.498088       0.00177766     
1.56401        0.489845       0.00176257     
1.57189        0.4807         0.00174613     
1.57977        0.467615       0.00172303     
1.58764        0.461104       0.00171014     
1.59552        0.449529       0.00168895     
1.6034         0.444662       0.00167994     
1.61128        0.432986       0.00165763     
1.61916        0.424844       0.00164198     
1.62704        0.414709       0.00162218     
1.63492        0.407716       0.00160826     
1.6428         0.396839       0.00158656     
1.65068        0.392169       0.00157733     
1.65856        0.381298       0.00155547     
1.66644        0.375936       0.00154472     
1.67432        0.36657        0.00152486     
1.68219        0.360757       0.00151327     
1.69007        0.35061        0.00149148     
1.69795        0.344518       0.00147875     
1.70583        0.335088       0.00145876     
1.71371        0.33128        0.00144967     
1.72159        0.322834       0.00143135     
1.72947        0.317008       0.00141822     
1.73735        0.309209       0.00140046     
1.74523        0.302756       0.00138615     
1.75311        0.295033       0.00136847     
1.76099        0.287602       0.0013511      
1.76886        0.283134       0.00134043     
1.77674        0.27484        0.00132074     
1.78462        0.270722       0.00131064     
1.7925         0.266546       0.00130069     
1.80038        0.258188       0.00127991     
1.80826        0.253791       0.00126907     
1.81614        0.246544       0.00125102     
1.82402        0.24219        0.00123964     
1.8319         0.238897       0.00123109     
1.83978        0.234601       0.00122027     
1.84766        0.226891       0.00120013     
1.85554        0.225678       0.00119723     
1.86341        0.217829       0.00117563     
1.87129        0.212568       0.00116129     
1.87917        0.208342       0.00114966     
1.88705        0.204826       0.00114009     
1.89493        0.198226       0.00112152     
1.90281        0.19532        0.00111362     
1.91069        0.191956       0.00110373     
1.91857        0.186911       0.00108929     
1.92645        0.18358        0.00107946     
1.93433        0.177627       0.00106164     
1.94221        0.175121       0.00105426     
1.95008        0.170888       0.00104147     
1.95796        0.16538        0.00102421     
1.96584        0.163673       0.0010192      
1.97372        0.158317       0.00100235     
1.9816         0.154198       0.000989621    
1.98948        0.152796       0.000984962    
1.99736        0.147396       0.000966909    
2.00524        0.14461        0.000957913    
2.01312        0.142186       0.000949826    
2.021          0.138657       0.000937949    
2.02888        0.137693       0.000934816    
2.03676        0.131271       0.000912762    
2.04463        0.129304       0.000905778    
2.05251        0.126873       0.000897106    
2.06039        0.123668       0.000885859    
2.06827        0.121765       0.000878981    
2.07615        0.118319       0.000866663    
2.08403        0.114213       0.000851337    
2.09191        0.111675       0.000841745    
2.09979        0.110076       0.00083585     
2.10767        0.107962       0.000827901    
