pT (GeV)       dN/dpt         error          
0.00487561     0.000153827    2.80848e-05    
0.0146268      0.000415333    4.6148e-05     
0.024378       0.000635818    5.7098e-05     
0.0341293      0.000784517    6.34242e-05    
0.0438805      0.00108704     7.46581e-05    
0.0536317      0.00155878     8.94014e-05    
0.0633829      0.00176388     9.51013e-05    
0.0731341      0.00192284     9.92939e-05    
0.0828854      0.00218947     0.000105955    
0.0926366      0.00246123     0.000112338    
0.102388       0.00271761     0.000118044    
0.112139       0.00296373     0.000123273    
0.12189        0.00337394     0.000131528    
0.131641       0.00340983     0.000132225    
0.141393       0.00396361     0.000142558    
0.151144       0.00406103     0.0001443      
0.160895       0.00439945     0.000150192    
0.170646       0.00472249     0.000155608    
0.180398       0.00480965     0.000157037    
0.190149       0.00490195     0.000158537    
0.1999         0.00523011     0.000163757    
0.209651       0.00567109     0.000170521    
0.219402       0.00590183     0.000173955    
0.229154       0.00611718     0.0001771      
0.238905       0.00592746     0.000174483    
0.248656       0.0066966      0.000185297    
0.258407       0.00654277     0.000183157    
0.268159       0.00696836     0.000189019    
0.27791        0.0074606      0.000195581    
0.287661       0.0077016      0.000198715    
0.297412       0.00762981     0.000197786    
0.307163       0.0084092      0.000207642    
0.316915       0.00839895     0.000207515    
0.326666       0.0083528      0.000206945    
0.336417       0.00893222     0.000214001    
0.346168       0.00909117     0.000215897    
0.35592        0.00954752     0.000221249    
0.365671       0.0095424      0.000221308    
0.375422       0.00978852     0.000224023    
0.385173       0.00960905     0.00022196     
0.394924       0.00983467     0.000224551    
0.404676       0.0106089      0.000233222    
0.414427       0.0107166      0.000234402    
0.424178       0.0105884      0.000232996    
0.433929       0.0111114      0.000238681    
0.443681       0.011455       0.00024245     
0.453432       0.011655       0.000244448    
0.463183       0.0117421      0.000245467    
0.472934       0.0118498      0.000246482    
0.482685       0.0121882      0.000249977    
0.492437       0.0125779      0.000253941    
0.502188       0.0123626      0.000251758    
0.511939       0.012542       0.000253579    
0.52169        0.0124856      0.000253008    
0.531441       0.0127881      0.000256054    
0.541193       0.0131368      0.000259521    
0.550944       0.0132753      0.000260885    
0.560695       0.013588       0.00026404     
0.570446       0.013706       0.000265083    
0.580198       0.0136957      0.000264984    
0.589949       0.0142905      0.000270773    
0.5997         0.0140444      0.000268335    
0.609451       0.0141675      0.000269508    
0.619202       0.0140444      0.000268335    
0.628954       0.0141111      0.000268971    
0.638705       0.0147981      0.000275441    
0.648456       0.0147417      0.000274915    
0.658207       0.0151622      0.000278902    
0.667959       0.0144649      0.000272322    
0.67771        0.0151878      0.000279137    
0.687461       0.015475       0.000281762    
0.697212       0.0152699      0.00027989     
0.706963       0.015475       0.000281762    
0.716715       0.0160031      0.000286434    
0.726466       0.0155314      0.000282181    
0.736217       0.0162339      0.000288491    
0.745968       0.0158749      0.000285284    
0.75572        0.016239       0.000288536    
0.765471       0.0159877      0.000286296    
0.775222       0.0162492      0.000288628    
0.784973       0.01608        0.000287121    
0.794724       0.016562       0.000291392    
0.804476       0.01628        0.000288901    
0.814227       0.0161928      0.000288126    
0.823978       0.0166389      0.000292067    
0.833729       0.0164595      0.000290488    
0.843481       0.0168543      0.000293951    
0.853232       0.016844       0.000293862    
0.862983       0.016921       0.000294532    
0.872734       0.0172132      0.000297064    
0.882485       0.016921       0.000294532    
0.892237       0.0171876      0.000296843    
0.901988       0.0171312      0.000296356    
0.911739       0.0165364      0.000291256    
0.92149        0.0170645      0.000295867    
0.931242       0.0167466      0.000293011    
