p (GeV)        dN/dp          error          
0.00293956     0.000153084    3.60822e-05    
0.00881869     0.00103757     9.39368e-05    
0.0146978      0.00307018     0.000161587    
0.020577       0.00588522     0.000223719    
0.0264561      0.00938064     0.0002827      
0.0323352      0.0145004      0.000351156    
0.0382143      0.0194927      0.000407136    
0.0440935      0.0249101      0.000460241    
0.0499726      0.0335934      0.000534592    
0.0558517      0.0413752      0.000593124    
0.0617309      0.0496587      0.000649997    
0.06761        0.0610464      0.000720412    
0.0734891      0.0717793      0.000781339    
0.0793683      0.0833116      0.000842056    
0.0852474      0.0962217      0.000904442    
0.0911265      0.108945       0.000962711    
0.0970056      0.124117       0.00102725     
0.102885       0.13815        0.00108383     
0.108764       0.156664       0.00115407     
0.114643       0.170723       0.00120502     
0.120522       0.188718       0.00126669     
0.126401       0.208679       0.00133252     
0.13228        0.226743       0.00138893     
0.13816        0.242961       0.00143734     
0.144039       0.263415       0.00149646     
0.149918       0.287355       0.00156321     
0.155797       0.307367       0.00161673     
0.161676       0.328663       0.00167177     
0.167555       0.353598       0.00173459     
0.173434       0.379937       0.00179781     
0.179313       0.400212       0.00184516     
0.185193       0.42815        0.0019077      
0.191072       0.450662       0.00195762     
0.196951       0.476508       0.00201275     
0.20283        0.504156       0.00207106     
0.208709       0.530631       0.00212444     
0.214588       0.556962       0.00217664     
0.220467       0.58302        0.00222692     
0.226347       0.612769       0.0022826      
0.232226       0.640792       0.00233437     
0.238105       0.672055       0.00239073     
0.243984       0.703055       0.0024457      
0.249863       0.726468       0.00248483     
0.255742       0.755818       0.0025355      
0.261621       0.78913        0.002591       
0.2675         0.815869       0.00263449     
0.27338        0.85164        0.0026917      
0.279259       0.885301       0.00274299     
0.285138       0.908          0.00277847     
0.291017       0.931702       0.00281511     
0.296896       0.974362       0.00287852     
0.302775       1.00121        0.00291741     
0.308654       1.03865        0.00297273     
0.314533       1.0624         0.00300613     
0.320413       1.09646        0.0030543      
0.326292       1.12482        0.00309243     
0.332171       1.16284        0.00314458     
0.33805        1.18839        0.00317965     
0.343929       1.22268        0.00322541     
0.349808       1.25831        0.00327208     
0.355687       1.28811        0.00330985     
0.361566       1.31445        0.00334336     
0.367446       1.3473         0.00338524     
0.373325       1.36922        0.00341159     
0.379204       1.41001        0.00346363     
0.385083       1.4392         0.00349951     
0.390962       1.46767        0.00353161     
0.396841       1.49172        0.00356344     
0.40272        1.52159        0.00359722     
0.4086         1.55194        0.00363299     
0.414479       1.58897        0.00367553     
0.420358       1.61404        0.00370596     
0.426237       1.64216        0.00373617     
0.432116       1.66994        0.00376905     
0.437995       1.69773        0.00380046     
0.443874       1.72933        0.00383504     
0.449753       1.75444        0.00386301     
0.455633       1.78216        0.00389292     
0.461512       1.81138        0.00392432     
0.467391       1.84108        0.00395672     
0.47327        1.86028        0.00397629     
0.479149       1.88278        0.00400089     
0.485028       1.91225        0.00403276     
0.490907       1.93052        0.00405227     
0.496786       1.96282        0.00408624     
0.502666       1.98015        0.00410366     
0.508545       2.00468        0.00412921     
0.514424       2.0276         0.00415257     
0.520303       2.03985        0.00416529     
0.526182       2.06549        0.0041905      
0.532061       2.08701        0.00421247     
0.53794        2.11027        0.00423748     
0.54382        2.13068        0.00425684     
0.549699       2.14786        0.00427406     
0.555578       2.17946        0.00430555     
0.561457       2.18759        0.00431402     
0.567336       2.20764        0.00433296     
0.573215       2.22034        0.00434507     
