pT (GeV)       dN/dpt         error          
0.00393827     0.0339108      0.000464078    
0.0118148      0.103351       0.000809801    
0.0196914      0.172988       0.0010482      
0.0275679      0.239502       0.00123297     
0.0354444      0.306759       0.00139521     
0.043321       0.378307       0.00154949     
0.0511975      0.443253       0.001678       
0.0590741      0.512655       0.0018039      
0.0669506      0.57783        0.0019155      
0.0748272      0.650349       0.00203229     
0.0827037      0.709588       0.00212274     
0.0905803      0.776876       0.00222102     
0.0984568      0.842533       0.00231233     
0.106333       0.906235       0.002399       
0.11421        0.968388       0.00247938     
0.122086       1.03078        0.00255841     
0.129963       1.0986         0.00264072     
0.13784        1.1569         0.00271005     
0.145716       1.21452        0.00277671     
0.153593       1.28113        0.00285222     
0.161469       1.3339         0.00290959     
0.169346       1.39741        0.00297839     
0.177222       1.44911        0.00303323     
0.185099       1.51012        0.00309591     
0.192975       1.56251        0.00315003     
0.200852       1.61542        0.00320276     
0.208728       1.67817        0.00326397     
0.216605       1.72221        0.00330643     
0.224482       1.7754         0.00335709     
0.232358       1.81465        0.00339342     
0.240235       1.873          0.00344808     
0.248111       1.91616        0.00348815     
0.255988       1.96243        0.00352922     
0.263864       2.00834        0.00357011     
0.271741       2.04623        0.00360304     
0.279617       2.09385        0.00364547     
0.287494       2.12736        0.00367383     
0.29537        2.17203        0.00371382     
0.303247       2.2097         0.00374517     
0.311123       2.24658        0.0037766      
0.319          2.28235        0.00380631     
0.326877       2.32568        0.00384124     
0.334753       2.34652        0.00385923     
0.34263        2.37371        0.00388128     
0.350506       2.40463        0.00390692     
0.358383       2.43411        0.0039311      
0.366259       2.46564        0.00395657     
0.374136       2.49333        0.00397859     
0.382012       2.51385        0.00399397     
0.389889       2.53484        0.00401135     
0.397765       2.55796        0.00403021     
0.405642       2.58825        0.00405331     
0.413519       2.59886        0.00406302     
0.421395       2.61659        0.00407611     
0.429272       2.63855        0.00409319     
0.437148       2.65086        0.00410231     
0.445025       2.66034        0.00411035     
0.452901       2.67637        0.00412263     
0.460778       2.68333        0.00412721     
0.468654       2.69246        0.00413307     
0.476531       2.69887        0.00413842     
0.484407       2.70729        0.00414544     
0.492284       2.7163         0.00415261     
0.500161       2.72314        0.00415696     
0.508037       2.73392        0.00416602     
0.515914       2.72329        0.00415734     
0.52379        2.73543        0.00416581     
0.531667       2.74074        0.00417173     
0.539543       2.73139        0.00416343     
0.54742        2.73021        0.00416194     
0.555296       2.73238        0.00416486     
0.563173       2.71865        0.00415487     
0.571049       2.72738        0.00416248     
0.578926       2.71624        0.00415175     
0.586803       2.70942        0.00414669     
0.594679       2.70078        0.0041412      
0.602556       2.6934         0.00413494     
0.610432       2.69492        0.00413547     
0.618309       2.68163        0.00412702     
0.626185       2.66832        0.00411624     
0.634062       2.66421        0.00411318     
0.641938       2.65337        0.00410407     
0.649815       2.64151        0.0040943      
0.657691       2.63326        0.00408724     
0.665568       2.60972        0.00407088     
0.673445       2.60103        0.00406197     
0.681321       2.5824         0.0040486      
0.689198       2.56988        0.00404        
0.697074       2.55196        0.00402489     
0.704951       2.533          0.00400993     
0.712827       2.5197         0.00399956     
0.720704       2.50304        0.00398638     
0.72858        2.48422        0.00397062     
0.736457       2.46356        0.00395463     
0.744333       2.44329        0.00393793     
0.75221        2.43791        0.00393278     
0.760086       2.40417        0.00390772     
0.767963       2.38827        0.00389412     
0.77584        2.36306        0.00387214     
0.783716       2.35049        0.00386239     
0.791593       2.32814        0.00384427     
0.799469       2.29521        0.00381692     
0.807346       2.27958        0.00380434     
0.815222       2.26467        0.00379146     
0.823099       2.23889        0.00376953     
0.830975       2.21619        0.0037506      
0.838852       2.18976        0.00372963     
0.846728       2.16942        0.00371084     
0.854605       2.14296        0.00368867     
0.862482       2.11709        0.00366634     
0.870358       2.10319        0.00365449     
0.878235       2.07343        0.00362811     
0.886111       2.04971        0.00360643     
0.893988       2.03168        0.00359111     
0.901864       2.00287        0.00356557     
0.909741       1.98244        0.00354742     
0.917617       1.96063        0.00352798     
0.925494       1.93234        0.00350366     
0.93337        1.91907        0.00349102     
0.941247       1.88925        0.00346348     
0.949124       1.87278        0.00344829     
0.957          1.83768        0.00341636     
0.964877       1.82145        0.00340034     
0.972753       1.79193        0.00337295     
0.98063        1.76579        0.00334836     
0.988506       1.74871        0.00333104     
0.996383       1.72632        0.00331093     
1.00426        1.70484        0.00329012     
1.01214        1.6789         0.00326413     
1.02001        1.65803        0.00324431     
1.02789        1.63204        0.00321777     
1.03577        1.6073         0.00319433     
1.04364        1.58624        0.00317298     
1.05152        1.56375        0.0031504      
1.0594         1.5457         0.00313329     
1.06727        1.51794        0.00310308     
1.07515        1.49311        0.00307801     
1.08302        1.47783        0.00306304     
1.0909         1.45425        0.00303811     
1.09878        1.42877        0.003012       
1.10665        1.40957        0.00299034     
1.11453        1.38259        0.00296302     
1.12241        1.36249        0.00294104     
1.13028        1.34331        0.00291943     
1.13816        1.32601        0.00290185     
1.14604        1.30268        0.00287602     
1.15391        1.28496        0.00285591     
1.16179        1.26211        0.00283057     
1.16967        1.23546        0.00280053     
1.17754        1.22028        0.00278355     
1.18542        1.19968        0.00275972     
1.1933         1.18312        0.00274103     
1.20117        1.15683        0.00270987     
1.20905        1.14002        0.00269031     
1.21693        1.12545        0.00267281     
1.2248         1.1058         0.00264968     
1.23268        1.08557        0.00262504     
1.24056        1.068          0.0026035      
1.24843        1.05231        0.00258431     
1.25631        1.02932        0.00255623     
1.26419        1.01324        0.00253629     
1.27206        0.99948        0.00251911     
1.27994        0.975859       0.00248899     
1.28781        0.961386       0.0024707      
1.29569        0.939816       0.00244259     
1.30357        0.926618       0.0024248      
1.31144        0.910806       0.00240438     
1.31932        0.896002       0.00238437     
1.3272         0.877238       0.00235952     
1.33507        0.860479       0.00233691     
1.34295        0.845174       0.00231686     
1.35083        0.828784       0.00229383     
1.3587         0.817833       0.00227831     
1.36658        0.795933       0.00224736     
1.37446        0.787293       0.00223569     
1.38233        0.769494       0.00221042     
1.39021        0.756963       0.002193       
1.39809        0.741766       0.00217056     
1.40596        0.726962       0.00214829     
1.41384        0.712438       0.00212685     
1.42172        0.698269       0.00210523     
1.42959        0.690296       0.00209346     
1.43747        0.676305       0.00207221     
