p (GeV)        dN/dp          error          
0.00293827     0.000391387    5.77067e-05    
0.00881482     0.00239937     0.000142879    
0.0146914      0.00712153     0.000246151    
0.0205679      0.0135794      0.000339897    
0.0264444      0.0220027      0.000432648    
0.032321       0.0335571      0.000534286    
0.0381975      0.0469068      0.000631887    
0.0440741      0.060784       0.000719222    
0.0499506      0.0803619      0.000826697    
0.0558272      0.101097       0.000927492    
0.0617037      0.12087        0.00101425     
0.0675803      0.144583       0.00110905     
0.0734568      0.171027       0.00120606     
0.0793333      0.200552       0.00130612     
0.0852099      0.228331       0.00139356     
0.0910864      0.264143       0.001499       
0.096963       0.295795       0.0015865      
0.10284        0.332908       0.00168274     
0.108716       0.369809       0.00177382     
0.114593       0.410981       0.00187015     
0.120469       0.45075        0.00195857     
0.126346       0.495717       0.00205351     
0.132222       0.539603       0.00214261     
0.138099       0.589403       0.00223933     
0.143975       0.635731       0.00232622     
0.149852       0.684824       0.00241357     
0.155728       0.736555       0.00250317     
0.161605       0.791775       0.00259517     
0.167482       0.845437       0.00268161     
0.173358       0.906077       0.00277644     
0.179235       0.952294       0.00284671     
0.185111       1.0175         0.00294281     
0.190988       1.07892        0.0030298      
0.196864       1.1406         0.00311523     
0.202741       1.20472        0.00320112     
0.208617       1.26425        0.00328045     
0.214494       1.33807        0.00337445     
0.22037        1.40006        0.00345177     
0.226247       1.4709         0.00353736     
0.232123       1.53431        0.00361353     
0.238          1.603          0.00369244     
0.243877       1.6686         0.0037677      
0.249753       1.74153        0.00384989     
0.25563        1.80976        0.00392473     
0.261506       1.87617        0.00399548     
0.267383       1.95754        0.00408129     
0.273259       2.022          0.00414771     
0.279136       2.10678        0.00423486     
0.285012       2.17824        0.00430496     
0.290889       2.25769        0.00438226     
0.296765       2.32212        0.00444452     
0.302642       2.3954         0.00451576     
0.308519       2.47937        0.00459205     
0.314395       2.54898        0.00465688     
0.320272       2.6149         0.00471663     
0.326148       2.70071        0.00479409     
0.332025       2.77318        0.00485746     
0.337901       2.84726        0.00492187     
0.343778       2.92395        0.0049883      
0.349654       2.99822        0.00505055     
0.355531       3.07341        0.00511419     
0.361407       3.15338        0.00517982     
0.367284       3.20837        0.00522524     
0.373161       3.29988        0.00529854     
0.379037       3.36313        0.00534949     
0.384914       3.43843        0.00540768     
0.39079        3.5021         0.00545844     
0.396667       3.58468        0.00552117     
0.402543       3.64986        0.00557235     
0.40842        3.72454        0.00562937     
