p (GeV)        dN/dp          error          
0.00387561     0              0              
0.0116268      0              0              
0.0193781      1.29012e-05    9.12252e-06    
0.0271293      1.29012e-05    9.12252e-06    
0.0348805      1.29012e-05    9.12252e-06    
0.0426317      5.80554e-05    1.93518e-05    
0.0503829      3.2253e-05     1.4424e-05     
0.0581341      3.87036e-05    1.58007e-05    
0.0658854      3.87036e-05    1.58007e-05    
0.0736366      9.03084e-05    2.41359e-05    
0.0813878      8.38578e-05    2.3258e-05     
0.089139       8.38578e-05    2.3258e-05     
0.0968902      0.00010966     2.65965e-05    
0.104641       0.000161265    3.2253e-05     
0.112393       0.000187067    3.47375e-05    
0.120144       0.000161265    3.2253e-05     
0.127895       0.000232222    3.87036e-05    
0.135646       0.000309629    4.4691e-05     
0.143398       0.000309629    4.4691e-05     
0.151149       0.000361233    4.82718e-05    
0.1589         0.000245123    3.97641e-05    
0.166651       0.000361233    4.82718e-05    
0.174402       0.000374135    4.91262e-05    
0.182154       0.000477344    5.549e-05      
0.189905       0.000406388    5.12e-05       
0.197656       0.000522498    5.80553e-05    
0.205407       0.000548301    5.94714e-05    
0.213159       0.000664412    6.54662e-05    
0.22091        0.000632159    6.38575e-05    
0.228661       0.000748269    6.94749e-05    
0.236412       0.000703115    6.7346e-05     
0.244163       0.000709566    6.76543e-05    
0.251915       0.000903084    7.63242e-05    
0.259666       0.000786973    7.1249e-05     
0.267417       0.000928886    7.74069e-05    
0.275168       0.000877281    7.5226e-05     
0.28292        0.00117401     8.70229e-05    
0.290671       0.00117401     8.70229e-05    
0.298422       0.00118691     8.74998e-05    
0.306173       0.00116111     8.65435e-05    
0.313924       0.00131592     9.21325e-05    
0.321676       0.00123206     8.91486e-05    
0.329427       0.00149009     9.804e-05      
0.337178       0.00153524     9.95144e-05    
0.344929       0.0016191      0.000102196    
0.352681       0.0016707      0.000103812    
0.360432       0.00161265     0.000101992    
0.368183       0.00178682     0.000107359    
0.375934       0.00179972     0.000107745    
0.383685       0.00186422     0.000109659    
0.391437       0.00193518     0.000111727    
0.399188       0.00181907     0.000108323    
0.406939       0.0021287      0.00011718     
0.41469        0.00227061     0.000121023    
0.422441       0.00228996     0.000121537    
0.430193       0.00252218     0.000127551    
0.437944       0.00259959     0.000129494    
0.445695       0.00246413     0.000126075    
0.453446       0.00253508     0.000127877    
0.461198       0.00264474     0.000130931    
0.468949       0.00303823     0.000139993    
0.4767         0.00281246     0.000134691    
0.484451       0.00305113     0.00014029     
0.492202       0.00309629     0.000141324    
0.499954       0.00320595     0.000143805    
0.507705       0.00341237     0.000148362    
0.515456       0.00347687     0.000149757    
0.523207       0.00372199     0.000154946    
0.530959       0.00348977     0.000150035    
0.53871        0.00340592     0.000148221    
0.546461       0.00368329     0.000154139    
0.554212       0.0037865      0.000156283    
0.561963       0.00401227     0.000160875    
0.569715       0.0042703      0.000165967    
0.577466       0.00388971     0.000158399    
0.585217       0.00424449     0.000165465    
0.592968       0.00427675     0.000166092    
0.60072        0.00461218     0.000172483    
0.608471       0.00463153     0.000172844    
0.616222       0.00477989     0.00017559     
0.623973       0.00497341     0.00017911     
0.631724       0.0048831      0.000177476    
0.639476       0.00498631     0.000179342    
0.647227       0.00503792     0.000180267    
0.654978       0.00486375     0.000177124    
0.662729       0.00500566     0.000179689    
0.670481       0.00494761     0.000178644    
0.678232       0.00526369     0.000184262    
0.685983       0.00554751     0.000189165    
0.693734       0.00586359     0.000194479    
0.701485       0.00577328     0.000192975    
0.709237       0.00605066     0.000197556    
0.716988       0.00616677     0.000199443    
0.724739       0.00605066     0.000197556    
0.73249        0.00616032     0.000199339    
0.740242       0.00603131     0.00019724     
0.747993       0.00681828     0.000209713    
0.755744       0.00613452     0.000198921    
0.763495       0.00668282     0.00020762     
0.771246       0.00681828     0.000209713    
0.778998       0.00685699     0.000210308    
0.786749       0.00731498     0.000217217    
0.7945         0.00694729     0.000211688    
0.802251       0.00719242     0.00021539     
0.810002       0.00681828     0.000209713    
0.817754       0.00776007     0.000223728    
0.825505       0.00736658     0.000217982    
0.833256       0.00737948     0.000218173    
0.841007       0.00754075     0.000220544    
0.848759       0.00789553     0.000225672    
0.85651        0.00759235     0.000221297    
0.864261       0.00816001     0.00022942     
0.872012       0.00785683     0.000225118    
0.879763       0.00801809     0.000227417    
0.887515       0.00830837     0.000231496    
0.895266       0.00824386     0.000230596    
0.903017       0.00815356     0.000229329    
0.910768       0.00823096     0.000230415    
0.91852        0.0086696      0.000236475    
0.926271       0.00871476     0.00023709     
0.934022       0.00843738     0.000233287    
0.941773       0.00890828     0.000239708    
0.949524       0.00897923     0.00024066     
0.957276       0.00870831     0.000237002    
0.965027       0.00928241     0.000244689    
0.972778       0.00903729     0.000241437    
0.980529       0.00927596     0.000244604    
0.988281       0.00878571     0.000238053    
0.996032       0.00956624     0.000248402    
1.00378        0.00938562     0.000246046    
1.01153        0.00953398     0.000247983    
