pT (GeV)       dN/dpt         error          
0.00580892     0              0              
0.0174268      0              0              
0.0290446      0              0              
0.0406624      4.30373e-06    4.30373e-06    
0.0522803      4.30373e-06    4.30373e-06    
0.0638981      8.60745e-06    6.08639e-06    
0.075516       4.30373e-06    4.30373e-06    
0.0871338      8.60745e-06    6.08639e-06    
0.0987516      0              0              
0.110369       0              0              
0.121987       8.60745e-06    6.08639e-06    
0.133605       4.30373e-06    4.30373e-06    
0.145223       4.30373e-06    4.30373e-06    
0.156841       4.30373e-06    4.30373e-06    
0.168459       4.30373e-06    4.30373e-06    
0.180077       8.60745e-06    6.08639e-06    
0.191694       4.30373e-06    4.30373e-06    
0.203312       4.30373e-06    4.30373e-06    
0.21493        1.29112e-05    7.45427e-06    
0.226548       8.60745e-06    6.08639e-06    
0.238166       4.30373e-06    4.30373e-06    
0.249784       1.72149e-05    8.60745e-06    
0.261401       0              0              
0.273019       4.30373e-06    4.30373e-06    
0.284637       1.72149e-05    8.60745e-06    
0.296255       4.30373e-06    4.30373e-06    
0.307873       4.30373e-06    4.30373e-06    
0.319491       4.30373e-06    4.30373e-06    
0.331108       8.60745e-06    6.08639e-06    
0.342726       8.60745e-06    6.08639e-06    
0.354344       1.29112e-05    7.45427e-06    
0.365962       3.01261e-05    1.13866e-05    
0.37758        4.30373e-06    4.30373e-06    
0.389198       8.60745e-06    6.08639e-06    
0.400815       1.29112e-05    7.45427e-06    
0.412433       2.15186e-05    9.62342e-06    
0.424051       8.60745e-06    6.08639e-06    
0.435669       4.30373e-06    4.30373e-06    
0.447287       8.60745e-06    6.08639e-06    
0.458905       2.15186e-05    9.62342e-06    
0.470523       1.72149e-05    8.60745e-06    
0.48214        2.15186e-05    9.62342e-06    
0.493758       1.29112e-05    7.45427e-06    
0.505376       1.29112e-05    7.45427e-06    
0.516994       2.15186e-05    9.62342e-06    
0.528612       2.15186e-05    9.62342e-06    
0.54023        2.58224e-05    1.05419e-05    
0.551847       1.72149e-05    8.60745e-06    
0.563465       2.58224e-05    1.05419e-05    
0.575083       4.30373e-06    4.30373e-06    
0.586701       3.44298e-05    1.21728e-05    
0.598319       2.58224e-05    1.05419e-05    
0.609937       1.29112e-05    7.45427e-06    
0.621554       1.72149e-05    8.60745e-06    
0.633172       2.58224e-05    1.05419e-05    
0.64479        2.15186e-05    9.62342e-06    
0.656408       1.29112e-05    7.45427e-06    
0.668026       2.15186e-05    9.62342e-06    
0.679644       4.30373e-06    4.30373e-06    
0.691261       3.01261e-05    1.13866e-05    
0.702879       4.30373e-06    4.30373e-06    
0.714497       1.72149e-05    8.60745e-06    
0.726115       8.60745e-06    6.08639e-06    
0.737733       3.44298e-05    1.21728e-05    
0.749351       1.29112e-05    7.45427e-06    
0.760969       3.44298e-05    1.21728e-05    
0.772586       8.60745e-06    6.08639e-06    
0.784204       3.01261e-05    1.13866e-05    
0.795822       3.44298e-05    1.21728e-05    
0.80744        2.15186e-05    9.62342e-06    
0.819058       2.58224e-05    1.05419e-05    
0.830676       4.30373e-06    4.30373e-06    
0.842293       3.44298e-05    1.21728e-05    
0.853911       3.87335e-05    1.29112e-05    
0.865529       3.44298e-05    1.21728e-05    
0.877147       2.58224e-05    1.05419e-05    
0.888765       2.58224e-05    1.05419e-05    
0.900383       1.72149e-05    8.60745e-06    
0.912          8.60745e-06    6.08639e-06    
0.923618       4.30373e-05    1.36096e-05    
0.935236       4.30373e-05    1.36096e-05    
0.946854       4.7341e-05     1.42738e-05    
0.958472       2.15186e-05    9.62342e-06    
0.97009        3.87335e-05    1.29112e-05    
0.981707       3.87335e-05    1.29112e-05    
0.993325       3.44298e-05    1.21728e-05    
1.00494        3.87335e-05    1.29112e-05    
1.01656        2.15186e-05    9.62342e-06    
1.02818        2.15186e-05    9.62342e-06    
1.0398         5.59484e-05    1.55173e-05    
1.05141        3.87335e-05    1.29112e-05    
1.06303        1.72149e-05    8.60745e-06    
1.07465        3.87335e-05    1.29112e-05    
1.08627        3.87335e-05    1.29112e-05    
1.09789        2.58224e-05    1.05419e-05    
1.1095         2.58224e-05    1.05419e-05    
1.12112        4.30373e-05    1.36096e-05    
1.13274        3.87335e-05    1.29112e-05    
1.14436        3.44298e-05    1.21728e-05    
1.15598        3.01261e-05    1.13866e-05    
1.16759        3.44298e-05    1.21728e-05    
1.17921        5.16447e-05    1.49085e-05    
1.19083        3.01261e-05    1.13866e-05    
1.20245        3.01261e-05    1.13866e-05    
1.21406        3.87335e-05    1.29112e-05    
1.22568        4.7341e-05     1.42738e-05    
1.2373         3.87335e-05    1.29112e-05    
1.24892        3.01261e-05    1.13866e-05    
1.26054        3.01261e-05    1.13866e-05    
1.27215        3.01261e-05    1.13866e-05    
1.28377        3.01261e-05    1.13866e-05    
1.29539        3.87335e-05    1.29112e-05    
1.30701        1.72149e-05    8.60745e-06    
1.31862        4.7341e-05     1.42738e-05    
1.33024        4.30373e-05    1.36096e-05    
1.34186        3.01261e-05    1.13866e-05    
1.35348        3.44298e-05    1.21728e-05    
1.3651         3.87335e-05    1.29112e-05    
1.37671        3.01261e-05    1.13866e-05    
1.38833        4.30373e-05    1.36096e-05    
1.39995        3.87335e-05    1.29112e-05    
1.41157        4.30373e-05    1.36096e-05    
1.42319        4.30373e-05    1.36096e-05    
1.4348         4.7341e-05     1.42738e-05    
1.44642        4.7341e-05     1.42738e-05    
1.45804        3.87335e-05    1.29112e-05    
1.46966        1.72149e-05    8.60745e-06    
1.48127        3.44298e-05    1.21728e-05    
1.49289        3.44298e-05    1.21728e-05    
1.50451        4.30373e-05    1.36096e-05    
1.51613        4.7341e-05     1.42738e-05    
1.52775        2.58224e-05    1.05419e-05    
1.53936        4.30373e-05    1.36096e-05    
1.55098        2.15186e-05    9.62342e-06    
1.5626         3.87335e-05    1.29112e-05    
1.57422        2.15186e-05    9.62342e-06    
1.58584        2.15186e-05    9.62342e-06    
1.59745        3.44298e-05    1.21728e-05    
1.60907        2.58224e-05    1.05419e-05    
1.62069        3.01261e-05    1.13866e-05    
1.63231        4.30373e-05    1.36096e-05    
1.64392        3.44298e-05    1.21728e-05    
1.65554        3.44298e-05    1.21728e-05    
1.66716        2.15186e-05    9.62342e-06    
1.67878        4.7341e-05     1.42738e-05    
1.6904         3.87335e-05    1.29112e-05    
1.70201        3.44298e-05    1.21728e-05    
1.71363        2.58224e-05    1.05419e-05    
1.72525        5.59484e-05    1.55173e-05    
1.73687        3.01261e-05    1.13866e-05    
1.74848        3.44298e-05    1.21728e-05    
1.7601         3.01261e-05    1.13866e-05    
1.77172        3.01261e-05    1.13866e-05    
1.78334        3.87335e-05    1.29112e-05    
1.79496        3.44298e-05    1.21728e-05    
1.80657        3.01261e-05    1.13866e-05    
1.81819        1.72149e-05    8.60745e-06    
1.82981        4.30373e-06    4.30373e-06    
1.84143        3.01261e-05    1.13866e-05    
1.85305        3.01261e-05    1.13866e-05    
1.86466        3.87335e-05    1.29112e-05    
1.87628        4.30373e-05    1.36096e-05    
1.8879         5.59484e-05    1.55173e-05    
1.89952        3.01261e-05    1.13866e-05    
1.91113        3.01261e-05    1.13866e-05    
1.92275        2.15186e-05    9.62342e-06    
1.93437        2.58224e-05    1.05419e-05    
1.94599        2.15186e-05    9.62342e-06    
1.95761        4.30373e-05    1.36096e-05    
1.96922        1.72149e-05    8.60745e-06    
1.98084        3.44298e-05    1.21728e-05    
1.99246        3.87335e-05    1.29112e-05    
2.00408        2.15186e-05    9.62342e-06    
2.0157         1.72149e-05    8.60745e-06    
2.02731        3.44298e-05    1.21728e-05    
2.03893        1.72149e-05    8.60745e-06    
2.05055        8.60745e-06    6.08639e-06    
2.06217        3.44298e-05    1.21728e-05    
2.07378        3.01261e-05    1.13866e-05    
2.0854         3.01261e-05    1.13866e-05    
2.09702        1.72149e-05    8.60745e-06    
2.10864        3.01261e-05    1.13866e-05    
2.12026        1.72149e-05    8.60745e-06    
2.13187        1.72149e-05    8.60745e-06    
2.14349        2.15186e-05    9.62342e-06    
2.15511        1.72149e-05    8.60745e-06    
2.16673        1.72149e-05    8.60745e-06    
2.17835        1.72149e-05    8.60745e-06    
2.18996        3.01261e-05    1.13866e-05    
2.20158        8.60745e-06    6.08639e-06    
2.2132         4.30373e-06    4.30373e-06    
2.22482        1.72149e-05    8.60745e-06    
2.23643        1.72149e-05    8.60745e-06    
2.24805        8.60745e-06    6.08639e-06    
2.25967        2.15186e-05    9.62342e-06    
2.27129        1.29112e-05    7.45427e-06    
2.28291        3.01261e-05    1.13866e-05    
2.29452        1.29112e-05    7.45427e-06    
2.30614        2.58224e-05    1.05419e-05    
2.31776        8.60745e-06    6.08639e-06    
2.32938        2.58224e-05    1.05419e-05    
2.34099        2.15186e-05    9.62342e-06    
2.35261        2.15186e-05    9.62342e-06    
2.36423        1.29112e-05    7.45427e-06    
2.37585        3.01261e-05    1.13866e-05    
2.38747        4.30373e-06    4.30373e-06    
2.39908        2.15186e-05    9.62342e-06    
2.4107         2.58224e-05    1.05419e-05    
2.42232        3.01261e-05    1.13866e-05    
2.43394        1.29112e-05    7.45427e-06    
2.44556        2.58224e-05    1.05419e-05    
2.45717        1.72149e-05    8.60745e-06    
2.46879        2.58224e-05    1.05419e-05    
2.48041        3.87335e-05    1.29112e-05    
2.49203        2.15186e-05    9.62342e-06    
2.50364        2.58224e-05    1.05419e-05    
2.51526        1.72149e-05    8.60745e-06    
2.52688        1.72149e-05    8.60745e-06    
2.5385         1.72149e-05    8.60745e-06    
2.55012        3.44298e-05    1.21728e-05    
2.56173        1.29112e-05    7.45427e-06    
2.57335        3.87335e-05    1.29112e-05    
2.58497        8.60745e-06    6.08639e-06    
2.59659        1.29112e-05    7.45427e-06    
2.60821        1.29112e-05    7.45427e-06    
2.61982        1.29112e-05    7.45427e-06    
2.63144        4.30373e-06    4.30373e-06    
2.64306        8.60745e-06    6.08639e-06    
2.65468        1.72149e-05    8.60745e-06    
2.66629        1.72149e-05    8.60745e-06    
2.67791        2.15186e-05    9.62342e-06    
2.68953        4.30373e-06    4.30373e-06    
2.70115        8.60745e-06    6.08639e-06    
2.71277        1.72149e-05    8.60745e-06    
2.72438        1.72149e-05    8.60745e-06    
2.736          2.15186e-05    9.62342e-06    
2.74762        8.60745e-06    6.08639e-06    
2.75924        0              0              
2.77085        4.30373e-06    4.30373e-06    
2.78247        8.60745e-06    6.08639e-06    
2.79409        1.29112e-05    7.45427e-06    
2.80571        4.30373e-06    4.30373e-06    
2.81733        4.30373e-06    4.30373e-06    
2.82894        1.72149e-05    8.60745e-06    
2.84056        0              0              
2.85218        1.29112e-05    7.45427e-06    
2.8638         0              0              
2.87542        1.29112e-05    7.45427e-06    
2.88703        1.72149e-05    8.60745e-06    
2.89865        8.60745e-06    6.08639e-06    
2.91027        2.58224e-05    1.05419e-05    
2.92189        4.30373e-06    4.30373e-06    
2.9335         4.30373e-06    4.30373e-06    
2.94512        4.30373e-06    4.30373e-06    
2.95674        4.30373e-06    4.30373e-06    
2.96836        4.30373e-06    4.30373e-06    
2.97998        8.60745e-06    6.08639e-06    
2.99159        8.60745e-06    6.08639e-06    
3.00321        1.29112e-05    7.45427e-06    
3.01483        4.30373e-06    4.30373e-06    
3.02645        8.60745e-06    6.08639e-06    
3.03807        4.30373e-06    4.30373e-06    
3.04968        4.30373e-06    4.30373e-06    
3.0613         1.29112e-05    7.45427e-06    
3.07292        1.29112e-05    7.45427e-06    
3.08454        1.29112e-05    7.45427e-06    
3.09615        4.30373e-06    4.30373e-06    
3.10777        4.30373e-06    4.30373e-06    
3.11939        4.30373e-06    4.30373e-06    
3.13101        1.72149e-05    8.60745e-06    
3.14263        0              0              
3.15424        4.30373e-06    4.30373e-06    
3.16586        4.30373e-06    4.30373e-06    
3.17748        8.60745e-06    6.08639e-06    
3.1891         8.60745e-06    6.08639e-06    
3.20071        4.30373e-06    4.30373e-06    
3.21233        0              0              
3.22395        0              0              
3.23557        4.30373e-06    4.30373e-06    
3.24719        1.29112e-05    7.45427e-06    
3.2588         8.60745e-06    6.08639e-06    
3.27042        4.30373e-06    4.30373e-06    
3.28204        4.30373e-06    4.30373e-06    
3.29366        4.30373e-06    4.30373e-06    
3.30528        0              0              
3.31689        4.30373e-06    4.30373e-06    
3.32851        4.30373e-06    4.30373e-06    
3.34013        4.30373e-06    4.30373e-06    
3.35175        4.30373e-06    4.30373e-06    
3.36336        8.60745e-06    6.08639e-06    
3.37498        4.30373e-06    4.30373e-06    
3.3866         4.30373e-06    4.30373e-06    
3.39822        0              0              
3.40984        0              0              
3.42145        0              0              
3.43307        0              0              
3.44469        4.30373e-06    4.30373e-06    
3.45631        4.30373e-06    4.30373e-06    
3.46793        0              0              
