pT (GeV)       dN/dpt         error          
0.00487561     7.69135e-05    1.9859e-05     
0.0146268      0.000312781    4.00475e-05    
0.024378       0.000574287    5.42649e-05    
0.0341293      0.000661456    5.82377e-05    
0.0438805      0.000948599    6.97421e-05    
0.0536317      0.00116396     7.72541e-05    
0.0633829      0.00128702     8.12354e-05    
0.0731341      0.0015434      8.89592e-05    
0.0828854      0.00186131     9.76923e-05    
0.0926366      0.00201513     0.000101649    
0.102388       0.0020459      0.000102422    
0.112139       0.00252276     0.000113733    
0.12189        0.00240995     0.000111162    
0.131641       0.00279452     0.000119703    
0.141393       0.00274837     0.00011871     
0.151144       0.00311243     0.000126328    
0.160895       0.00324062     0.000128903    
0.170646       0.00377389     0.000139105    
0.180398       0.00365083     0.000136818    
0.190149       0.0039431      0.000142189    
0.1999         0.00430203     0.000148696    
0.209651       0.0043533      0.000149402    
0.219402       0.00501988     0.000160432    
0.229154       0.00488657     0.000158288    
0.238905       0.00476351     0.000156282    
0.248656       0.00516858     0.000162791    
0.258407       0.00549162     0.000167801    
0.268159       0.00533267     0.000165355    
0.27791        0.00561981     0.000169748    
0.287661       0.00599412     0.00017531     
0.297412       0.00601463     0.000175609    
0.307163       0.00620435     0.000178357    
0.316915       0.00626588     0.000179239    
0.326666       0.00668634     0.000185297    
0.336417       0.00665045     0.000184658    
0.346168       0.00664019     0.000184515    
0.35592        0.00714782     0.000191438    
0.365671       0.00737344     0.000194435    
0.375422       0.00742471     0.00019511     
0.385173       0.00781953     0.00020023     
0.394924       0.0079426      0.000201799    
0.404676       0.00786055     0.000200755    
0.414427       0.00821436     0.000205222    
0.424178       0.00866558     0.000210783    
0.433929       0.00853739     0.000209219    
0.443681       0.00876813     0.000212027    
0.453432       0.00867584     0.000210908    
0.463183       0.00919885     0.000217171    
0.472934       0.00926038     0.000217897    
0.482685       0.00935268     0.00021898     
0.492437       0.00938857     0.000219399    
0.502188       0.00981416     0.000224317    
0.511939       0.0100808      0.000227343    
0.52169        0.01025        0.000229243    
0.531441       0.00988081     0.000225077    
0.541193       0.0101987      0.000228669    
0.550944       0.0101885      0.000228554    
0.560695       0.0104756      0.000231752    
0.570446       0.0104192      0.000231127    
0.580198       0.0106858      0.000234178    
0.589949       0.0110038      0.000237521    
0.5997         0.0106705      0.000233897    
0.609451       0.0113576      0.000241418    
0.619202       0.0113627      0.000241364    
0.628954       0.0109627      0.000237078    
0.638705       0.0111012      0.00023857     
0.648456       0.0112755      0.000240436    
0.658207       0.0114293      0.000242071    
0.667959       0.0118344      0.000246429    
0.67771        0.0120395      0.000248447    
0.687461       0.0123831      0.000251967    
0.697212       0.0123164      0.000251288    
0.706963       0.0119318      0.00024744     
0.716715       0.0124395      0.00025254     
0.726466       0.0121472      0.000249556    
0.736217       0.0123267      0.000251392    
0.745968       0.0122703      0.000250921    
0.75572        0.0122292      0.000250397    
0.765471       0.0123215      0.000251445    
0.775222       0.0122036      0.000250135    
0.784973       0.0126087      0.000254252    
0.794724       0.0126446      0.000254613    
0.804476       0.0123626      0.000251758    
0.814227       0.0126497      0.000254665    
0.823978       0.013265       0.000260784    
0.833729       0.0129112      0.000257283    
0.843481       0.0128445      0.000256618    
0.853232       0.0129574      0.000257743    
0.862983       0.0130855      0.000259014    
0.872734       0.0127061      0.000255335    
0.882485       0.0133624      0.00026174     
0.892237       0.0130753      0.000259014    
0.901988       0.0128035      0.000256208    
0.911739       0.0130907      0.000259166    
0.92149        0.0133112      0.000261237    
0.931242       0.0131983      0.000260128    
0.940993       0.0134957      0.000263042    
0.950744       0.0131317      0.000259471    
0.960495       0.01266        0.000254768    
0.970246       0.0129317      0.000257488    
0.979998       0.0136137      0.000264189    
0.989749       0.0130291      0.000258456    
0.9995         0.0129676      0.000257845    
1.00925        0.0133317      0.000261438    
1.019          0.0131778      0.000259926    
1.02875        0.0128394      0.000256567    
1.0385         0.0129471      0.000257641    
1.04826        0.0127164      0.000255541    
1.05801        0.0128753      0.000256925    
1.06776        0.0129471      0.000257641    
1.07751        0.0128292      0.000256465    
1.08726        0.0124292      0.000252436    
1.09701        0.0132804      0.000260935    
1.10676        0.0125369      0.000253527    
1.11651        0.0131112      0.000259369    
1.12627        0.0127523      0.000255695    
1.13602        0.012824       0.000256413    
1.14577        0.0120754      0.000248923    
1.15552        0.01266        0.000254768    
1.16527        0.0120805      0.00024887     
1.17502        0.0125779      0.000253941    
1.18477        0.0130855      0.000259014    
1.19452        0.0120446      0.0002485      
1.20428        0.0123831      0.000251967    
1.21403        0.0119421      0.00024744     
1.22378        0.0121369      0.000249451    
1.23353        0.0123779      0.000251915    
1.24328        0.0115114      0.000243046    
1.25303        0.0119575      0.0002476      
1.26278        0.0119575      0.0002476      
1.27253        0.0114704      0.000242613    
1.28229        0.0112242      0.000239889    
1.29204        0.0118344      0.000246322    
1.30179        0.0112191      0.000239834    
1.31154        0.0113781      0.000241527    
1.32129        0.0114191      0.000241962    
1.33104        0.0113165      0.000240873    
1.34079        0.0111781      0.000239395    
1.35054        0.0113063      0.000240764    
1.3603         0.0105782      0.000232883    
1.37005        0.010814       0.000235577    
1.3798         0.0107781      0.000235074    
1.38955        0.0108448      0.0002358      
1.3993         0.0102449      0.000229185    
1.40905        0.0103372      0.000230215    
1.4188         0.0103474      0.000230444    
1.42855        0.0100346      0.000226822    
1.4383         0.0103013      0.000229815    
1.44806        0.0103526      0.000230387    
1.45781        0.00953214     0.00022107     
1.46756        0.00946035     0.000220236    
1.47731        0.00994747     0.000225835    
1.48706        0.00984492     0.000224668    
1.49681        0.00986543     0.000224902    
1.50656        0.00993722     0.000225718    
1.51631        0.00909117     0.000216019    
1.52607        0.00941421     0.000219818    
1.53582        0.00937319     0.00021922     
1.54557        0.00923474     0.000217595    
1.55532        0.00914757     0.000216565    
1.56507        0.00908604     0.000215836    
1.57482        0.00843484     0.000207958    
1.58457        0.00851176     0.00020903     
1.59432        0.00818872     0.000204902    
1.60408        0.00840408     0.000207579    
1.61383        0.00850663     0.000208841    
1.62358        0.00836306     0.000207072    
1.63333        0.00845022     0.000208148    
1.64308        0.0081477      0.000204388    
1.65283        0.00817846     0.000204774    
1.66258        0.0079067      0.000201343    
1.67233        0.00778364     0.00019977     
1.68209        0.00792721     0.000201604    
1.69184        0.00730678     0.000193554    
1.70159        0.00727601     0.000193147    
1.71134        0.00732729     0.000193826    
1.72109        0.00730165     0.000193486    
1.73084        0.00707091     0.000190405    
1.74059        0.00700425     0.000189505    
1.75034        0.00701963     0.000189713    
1.7601         0.00693247     0.000188532    
1.76985        0.00727601     0.000193147    
1.7796         0.00677864     0.000186429    
1.78935        0.00648124     0.000182293    
1.7991         0.00674275     0.000185934    
1.80885        0.00662994     0.000184373    
1.8186         0.00638894     0.000180991    
1.82835        0.00620435     0.000178357    
1.8381         0.00625563     0.000179093    
1.84786        0.00584029     0.000173046    
1.85761        0.00552751     0.000168348    
1.86736        0.00576338     0.000171902    
1.87711        0.00594285     0.000174558    
1.88686        0.00514295     0.000162387    
1.89661        0.00558392     0.000169205    
1.90636        0.00583517     0.00017297     
1.91611        0.00534805     0.000165593    
1.92587        0.005507       0.000168036    
1.93562        0.00514807     0.000162468    
1.94537        0.00520448     0.000163355    
