p (GeV)        dN/dp          error          
0.00480892     0              0              
0.0144268      0              0              
0.0240446      0              0              
0.0336624      0              0              
0.0432803      0              0              
0.0528981      0              0              
0.062516       0              0              
0.0721338      0              0              
0.0817516      2.07947e-06    2.07947e-06    
0.0913695      0              0              
0.100987       0              0              
0.110605       0              0              
0.120223       0              0              
0.129841       0              0              
0.139459       0              0              
0.149077       0              0              
0.158694       0              0              
0.168312       0              0              
0.17793        0              0              
0.187548       0              0              
0.197166       2.07947e-06    2.07947e-06    
0.206784       0              0              
0.216401       2.07947e-06    2.07947e-06    
0.226019       0              0              
0.235637       0              0              
0.245255       0              0              
0.254873       0              0              
0.264491       0              0              
0.274108       0              0              
0.283726       0              0              
0.293344       0              0              
0.302962       2.07947e-06    2.07947e-06    
0.31258        0              0              
0.322198       0              0              
0.331815       2.07947e-06    2.07947e-06    
0.341433       0              0              
0.351051       0              0              
0.360669       2.07947e-06    2.07947e-06    
0.370287       0              0              
0.379905       0              0              
0.389523       2.07947e-06    2.07947e-06    
0.39914        2.07947e-06    2.07947e-06    
0.408758       0              0              
0.418376       2.07947e-06    2.07947e-06    
0.427994       4.15894e-06    2.94081e-06    
0.437612       0              0              
0.44723        0              0              
0.456847       0              0              
0.466465       0              0              
0.476083       0              0              
0.485701       4.15894e-06    2.94081e-06    
0.495319       2.07947e-06    2.07947e-06    
0.504937       0              0              
0.514554       0              0              
0.524172       8.31788e-06    4.15894e-06    
0.53379        0              0              
0.543408       0              0              
0.553026       2.07947e-06    2.07947e-06    
0.562644       1.03973e-05    4.64983e-06    
0.572261       6.23841e-06    3.60175e-06    
0.581879       2.07947e-06    2.07947e-06    
0.591497       4.15894e-06    2.94081e-06    
0.601115       1.03973e-05    4.64983e-06    
0.610733       4.15894e-06    2.94081e-06    
0.620351       4.15894e-06    2.94081e-06    
0.629969       0              0              
0.639586       4.15894e-06    2.94081e-06    
0.649204       4.15894e-06    2.94081e-06    
0.658822       6.23841e-06    3.60175e-06    
0.66844        2.07947e-06    2.07947e-06    
0.678058       4.15894e-06    2.94081e-06    
0.687676       2.07947e-06    2.07947e-06    
0.697293       2.07947e-06    2.07947e-06    
0.706911       2.07947e-06    2.07947e-06    
0.716529       4.15894e-06    2.94081e-06    
0.726147       8.31788e-06    4.15894e-06    
0.735765       1.03973e-05    4.64983e-06    
0.745383       2.07947e-06    2.07947e-06    
0.755          8.31788e-06    4.15894e-06    
0.764618       8.31788e-06    4.15894e-06    
0.774236       2.07947e-06    2.07947e-06    
0.783854       1.45563e-05    5.50176e-06    
0.793472       4.15894e-06    2.94081e-06    
0.80309        4.15894e-06    2.94081e-06    
