p (GeV)        dN/dp          error          
0.00592119     0              0              
0.0177636      0              0              
0.0296059      0              0              
0.0414483      0              0              
0.0532907      0              0              
0.0651331      0              0              
0.0769755      0              0              
0.0888179      0              0              
0.10066        0              0              
0.112503       0              0              
0.124345       0              0              
0.136187       0              0              
0.14803        0              0              
0.159872       0              0              
0.171715       0              0              
0.183557       0              0              
0.195399       0              0              
0.207242       0              0              
0.219084       0              0              
0.230926       0              0              
0.242769       0              0              
0.254611       0              0              
0.266454       0              0              
0.278296       0              0              
0.290138       0              0              
0.301981       0              0              
0.313823       0              0              
0.325665       0              0              
0.337508       0              0              
0.34935        0              0              
0.361193       0              0              
0.373035       0              0              
0.384877       0              0              
0.39672        0              0              
0.408562       0              0              
0.420404       0              0              
0.432247       0              0              
0.444089       0              0              
0.455932       0              0              
0.467774       0              0              
0.479616       0              0              
0.491459       0              0              
0.503301       0              0              
0.515144       0              0              
0.526986       0              0              
0.538828       0              0              
0.550671       0              0              
0.562513       0              0              
0.574355       0              0              
0.586198       0              0              
0.59804        0              0              
0.609883       0              0              
0.621725       0              0              
0.633567       0              0              
0.64541        0              0              
0.657252       0              0              
0.669094       0              0              
0.680937       0              0              
0.692779       0              0              
0.704622       0              0              
0.716464       0              0              
0.728306       0              0              
0.740149       0              0              
0.751991       0              0              
0.763834       0              0              
0.775676       0              0              
0.787518       0              0              
0.799361       0              0              
0.811203       0              0              
0.823045       0              0              
0.834888       0              0              
0.84673        0              0              
0.858573       0              0              
0.870415       0              0              
0.882257       0              0              
0.8941         0              0              
0.905942       0              0              
0.917784       0              0              
0.929627       0              0              
0.941469       0              0              
0.953312       0              0              
0.965154       0              0              
0.976996       0              0              
0.988839       0              0              
1.00068        0              0              
1.01252        0              0              
1.02437        0              0              
1.03621        0              0              
1.04805        0              0              
1.05989        0              0              
1.07174        0              0              
1.08358        0              0              
1.09542        0              0              
1.10726        0              0              
1.1191         0              0              
1.13095        0              0              
1.14279        0              0              
1.15463        0              0              
1.16647        0              0              
1.17832        0              0              
1.19016        0              0              
1.202          0              0              
1.21384        0              0              
1.22569        0              0              
1.23753        1.68885e-06    1.68885e-06    
1.24937        0              0              
1.26121        0              0              
1.27306        0              0              
1.2849         0              0              
1.29674        0              0              
1.30858        0              0              
1.32043        0              0              
1.33227        0              0              
1.34411        0              0              
1.35595        0              0              
1.36779        0              0              
1.37964        0              0              
1.39148        0              0              
1.40332        0              0              
1.41516        0              0              
1.42701        0              0              
1.43885        0              0              
1.45069        0              0              
1.46253        0              0              
1.47438        0              0              
1.48622        0              0              
1.49806        0              0              
1.5099         0              0              
1.52175        0              0              
1.53359        0              0              
1.54543        0              0              
1.55727        0              0              
1.56912        0              0              
1.58096        0              0              
1.5928         0              0              
1.60464        0              0              
1.61648        0              0              
1.62833        0              0              
1.64017        0              0              
1.65201        0              0              
1.66385        0              0              
1.6757         0              0              
1.68754        0              0              
1.69938        0              0              
1.71122        0              0              
1.72307        0              0              
1.73491        0              0              
1.74675        0              0              
1.75859        0              0              
1.77044        0              0              
1.78228        0              0              
1.79412        0              0              
1.80596        0              0              
1.81781        0              0              
1.82965        0              0              
1.84149        0              0              
1.85333        0              0              
1.86517        0              0              
1.87702        0              0              
1.88886        0              0              
1.9007         0              0              
1.91254        0              0              
1.92439        0              0              
1.93623        0              0              
1.94807        0              0              
1.95991        0              0              
1.97176        0              0              
1.9836         0              0              
1.99544        0              0              
2.00728        0              0              
2.01913        0              0              
2.03097        0              0              
2.04281        0              0              
2.05465        0              0              
2.0665         0              0              
2.07834        0              0              
2.09018        0              0              
2.10202        0              0              
2.11386        0              0              
2.12571        0              0              
2.13755        0              0              
2.14939        0              0              
2.16123        0              0              
2.17308        0              0              
2.18492        0              0              
2.19676        0              0              
2.2086         0              0              
2.22045        0              0              
2.23229        0              0              
2.24413        0              0              
2.25597        0              0              
2.26782        0              0              
2.27966        0              0              
2.2915         0              0              
2.30334        0              0              
2.31519        0              0              
2.32703        0              0              
2.33887        0              0              
2.35071        0              0              
2.36255        0              0              
2.3744         0              0              
2.38624        0              0              
2.39808        0              0              
2.40992        0              0              
2.42177        0              0              
2.43361        0              0              
2.44545        0              0              
2.45729        0              0              
2.46914        0              0              
2.48098        0              0              
2.49282        0              0              
2.50466        0              0              
2.51651        0              0              
2.52835        0              0              
2.54019        0              0              
2.55203        0              0              
2.56388        0              0              
2.57572        0              0              
2.58756        0              0              
2.5994         0              0              
2.61124        0              0              
2.62309        0              0              
2.63493        0              0              
2.64677        0              0              
2.65861        0              0              
2.67046        0              0              
2.6823         0              0              
2.69414        0              0              
2.70598        0              0              
2.71783        0              0              
2.72967        0              0              
2.74151        0              0              
2.75335        0              0              
2.7652         0              0              
2.77704        0              0              
2.78888        0              0              
2.80072        0              0              
2.81257        0              0              
2.82441        0              0              
2.83625        0              0              
2.84809        0              0              
2.85993        0              0              
2.87178        0              0              
2.88362        0              0              
2.89546        0              0              
2.9073         0              0              
2.91915        0              0              
2.93099        0              0              
2.94283        0              0              
2.95467        0              0              
2.96652        0              0              
2.97836        0              0              
2.9902         1.68885e-06    1.68885e-06    
3.00204        0              0              
3.01389        0              0              
3.02573        0              0              
3.03757        0              0              
3.04941        0              0              
3.06126        0              0              
3.0731         0              0              
3.08494        0              0              
3.09678        0              0              
3.10862        0              0              
3.12047        0              0              
3.13231        0              0              
3.14415        0              0              
3.15599        0              0              
3.16784        0              0              
3.17968        0              0              
3.19152        0              0              
3.20336        0              0              
3.21521        0              0              
3.22705        0              0              
3.23889        0              0              
3.25073        0              0              
3.26258        0              0              
3.27442        0              0              
3.28626        0              0              
3.2981         0              0              
3.30995        0              0              
3.32179        0              0              
3.33363        0              0              
3.34547        0              0              
3.35731        0              0              
3.36916        0              0              
3.381          0              0              
3.39284        0              0              
3.40468        0              0              
3.41653        0              0              
3.42837        0              0              
3.44021        0              0              
3.45205        0              0              
3.4639         0              0              
