p (GeV)        dN/dp          error          
0.00499114     0              0              
0.0149734      0              0              
0.0249557      0              0              
0.034938       0              0              
0.0449203      0              0              
0.0549025      0              0              
0.0648848      0              0              
0.0748671      0              0              
0.0848494      0              0              
0.0948317      0              0              
0.104814       0              0              
0.114796       0              0              
0.124779       0              0              
0.134761       0              0              
0.144743       0              0              
0.154725       0              0              
0.164708       0              0              
0.17469        0              0              
0.184672       0              0              
0.194654       0              0              
0.204637       0              0              
0.214619       0              0              
0.224601       0              0              
0.234584       0              0              
0.244566       0              0              
0.254548       0              0              
0.26453        0              0              
0.274513       0              0              
0.284495       0              0              
0.294477       0              0              
0.30446        0              0              
0.314442       0              0              
0.324424       0              0              
0.334406       0              0              
0.344389       0              0              
0.354371       0              0              
0.364353       2.00355e-06    2.00355e-06    
0.374335       0              0              
0.384318       0              0              
0.3943         0              0              
0.404282       0              0              
0.414265       0              0              
0.424247       0              0              
0.434229       0              0              
0.444211       0              0              
0.454194       0              0              
0.464176       0              0              
0.474158       0              0              
0.484141       0              0              
0.494123       2.00355e-06    2.00355e-06    
0.504105       0              0              
0.514087       0              0              
0.52407        0              0              
0.534052       0              0              
0.544034       0              0              
0.554017       0              0              
0.563999       2.00355e-06    2.00355e-06    
0.573981       0              0              
0.583963       0              0              
0.593946       0              0              
0.603928       2.00355e-06    2.00355e-06    
0.61391        0              0              
0.623892       0              0              
0.633875       0              0              
0.643857       2.00355e-06    2.00355e-06    
0.653839       2.00355e-06    2.00355e-06    
0.663822       0              0              
0.673804       6.01065e-06    3.47025e-06    
0.683786       0              0              
0.693768       0              0              
0.703751       0              0              
0.713733       0              0              
0.723715       0              0              
0.733698       0              0              
0.74368        2.00355e-06    2.00355e-06    
0.753662       2.00355e-06    2.00355e-06    
0.763644       2.00355e-06    2.00355e-06    
0.773627       4.0071e-06     2.83345e-06    
0.783609       4.0071e-06     2.83345e-06    
0.793591       2.00355e-06    2.00355e-06    
0.803574       0              0              
0.813556       4.0071e-06     2.83345e-06    
0.823538       4.0071e-06     2.83345e-06    
0.83352        2.00355e-06    2.00355e-06    
0.843503       4.0071e-06     2.83345e-06    
0.853485       0              0              
0.863467       4.0071e-06     2.83345e-06    
0.873449       0              0              
0.883432       4.0071e-06     2.83345e-06    
0.893414       2.00355e-06    2.00355e-06    
0.903396       0              0              
0.913379       0              0              
0.923361       0              0              
0.933343       2.00355e-06    2.00355e-06    
0.943325       6.01065e-06    3.47025e-06    
0.953308       0              0              
0.96329        6.01065e-06    3.47025e-06    
0.973272       4.0071e-06     2.83345e-06    
0.983255       2.00355e-06    2.00355e-06    
0.993237       6.01065e-06    3.47025e-06    
1.00322        2.00355e-06    2.00355e-06    
1.0132         4.0071e-06     2.83345e-06    
1.02318        6.01065e-06    3.47025e-06    
1.03317        4.0071e-06     2.83345e-06    
1.04315        2.00355e-06    2.00355e-06    
1.05313        8.0142e-06     4.0071e-06     
1.06311        2.00355e-06    2.00355e-06    
1.0731         6.01065e-06    3.47025e-06    
1.08308        0              0              
1.09306        0              0              
1.10304        2.00355e-06    2.00355e-06    
1.11302        2.00355e-06    2.00355e-06    
1.12301        4.0071e-06     2.83345e-06    
1.13299        8.0142e-06     4.0071e-06     
1.14297        8.0142e-06     4.0071e-06     
1.15295        6.01065e-06    3.47025e-06    
1.16294        0              0              
1.17292        4.0071e-06     2.83345e-06    
1.1829         6.01065e-06    3.47025e-06    
1.19288        8.0142e-06     4.0071e-06     
1.20286        4.0071e-06     2.83345e-06    
1.21285        0              0              
1.22283        2.00355e-06    2.00355e-06    
1.23281        0              0              
1.24279        0              0              
1.25278        6.01065e-06    3.47025e-06    
1.26276        2.00355e-06    2.00355e-06    
1.27274        2.00355e-06    2.00355e-06    
1.28272        4.0071e-06     2.83345e-06    
1.29271        6.01065e-06    3.47025e-06    
1.30269        6.01065e-06    3.47025e-06    
1.31267        6.01065e-06    3.47025e-06    
1.32265        6.01065e-06    3.47025e-06    
1.33263        8.0142e-06     4.0071e-06     
1.34262        6.01065e-06    3.47025e-06    
1.3526         2.00355e-06    2.00355e-06    
1.36258        4.0071e-06     2.83345e-06    
1.37256        6.01065e-06    3.47025e-06    
1.38255        8.0142e-06     4.0071e-06     
1.39253        2.00355e-06    2.00355e-06    
1.40251        6.01065e-06    3.47025e-06    
1.41249        6.01065e-06    3.47025e-06    
1.42247        6.01065e-06    3.47025e-06    
1.43246        1.00178e-05    4.48007e-06    
1.44244        4.0071e-06     2.83345e-06    
1.45242        2.00355e-06    2.00355e-06    
1.4624         2.00355e-06    2.00355e-06    
1.47239        1.00178e-05    4.48007e-06    
1.48237        2.00355e-06    2.00355e-06    
1.49235        4.0071e-06     2.83345e-06    
1.50233        1.00178e-05    4.48007e-06    
1.51232        0              0              
1.5223         2.00355e-06    2.00355e-06    
1.53228        6.01065e-06    3.47025e-06    
1.54226        8.0142e-06     4.0071e-06     
1.55224        6.01065e-06    3.47025e-06    
1.56223        8.0142e-06     4.0071e-06     
1.57221        8.0142e-06     4.0071e-06     
1.58219        1.00178e-05    4.48007e-06    
1.59217        6.01065e-06    3.47025e-06    
1.60216        4.0071e-06     2.83345e-06    
1.61214        8.0142e-06     4.0071e-06     
1.62212        8.0142e-06     4.0071e-06     
1.6321         1.60284e-05    5.6669e-06     
1.64209        2.00355e-06    2.00355e-06    
1.65207        4.0071e-06     2.83345e-06    
1.66205        8.0142e-06     4.0071e-06     
1.67203        1.20213e-05    4.90768e-06    
1.68201        6.01065e-06    3.47025e-06    
1.692          6.01065e-06    3.47025e-06    
1.70198        6.01065e-06    3.47025e-06    
1.71196        4.0071e-06     2.83345e-06    
1.72194        6.01065e-06    3.47025e-06    
1.73193        8.0142e-06     4.0071e-06     
1.74191        6.01065e-06    3.47025e-06    
1.75189        2.00355e-06    2.00355e-06    
1.76187        6.01065e-06    3.47025e-06    
1.77185        4.0071e-06     2.83345e-06    
1.78184        8.0142e-06     4.0071e-06     
1.79182        1.8032e-05     6.01065e-06    
1.8018         8.0142e-06     4.0071e-06     
1.81178        1.40249e-05    5.3009e-06     
1.82177        6.01065e-06    3.47025e-06    
1.83175        1.00178e-05    4.48007e-06    
1.84173        1.00178e-05    4.48007e-06    
1.85171        4.0071e-06     2.83345e-06    
1.8617         6.01065e-06    3.47025e-06    
1.87168        8.0142e-06     4.0071e-06     
1.88166        1.00178e-05    4.48007e-06    
1.89164        8.0142e-06     4.0071e-06     
1.90162        2.00355e-06    2.00355e-06    
1.91161        4.0071e-06     2.83345e-06    
1.92159        1.00178e-05    4.48007e-06    
1.93157        1.20213e-05    4.90768e-06    
1.94155        1.00178e-05    4.48007e-06    
1.95154        1.00178e-05    4.48007e-06    
1.96152        1.00178e-05    4.48007e-06    
1.9715         0              0              
1.98148        2.00355e-06    2.00355e-06    
1.99146        6.01065e-06    3.47025e-06    
2.00145        1.40249e-05    5.3009e-06     
2.01143        6.01065e-06    3.47025e-06    
2.02141        6.01065e-06    3.47025e-06    
2.03139        1.00178e-05    4.48007e-06    
2.04138        8.0142e-06     4.0071e-06     
2.05136        4.0071e-06     2.83345e-06    
2.06134        6.01065e-06    3.47025e-06    
2.07132        0              0              
2.08131        6.01065e-06    3.47025e-06    
2.09129        4.0071e-06     2.83345e-06    
2.10127        2.00355e-06    2.00355e-06    
2.11125        4.0071e-06     2.83345e-06    
2.12123        6.01065e-06    3.47025e-06    
2.13122        8.0142e-06     4.0071e-06     
2.1412         1.60284e-05    5.6669e-06     
2.15118        2.00355e-06    2.00355e-06    
2.16116        1.00178e-05    4.48007e-06    
2.17115        6.01065e-06    3.47025e-06    
2.18113        8.0142e-06     4.0071e-06     
2.19111        4.0071e-06     2.83345e-06    
2.20109        1.20213e-05    4.90768e-06    
2.21108        6.01065e-06    3.47025e-06    
2.22106        1.40249e-05    5.3009e-06     
2.23104        0              0              
2.24102        4.0071e-06     2.83345e-06    
2.251          6.01065e-06    3.47025e-06    
2.26099        1.00178e-05    4.48007e-06    
2.27097        4.0071e-06     2.83345e-06    
2.28095        8.0142e-06     4.0071e-06     
2.29093        1.8032e-05     6.01065e-06    
2.30092        1.20213e-05    4.90768e-06    
2.3109         1.40249e-05    5.3009e-06     
2.32088        1.20213e-05    4.90768e-06    
2.33086        1.00178e-05    4.48007e-06    
2.34084        6.01065e-06    3.47025e-06    
2.35083        4.0071e-06     2.83345e-06    
2.36081        2.00355e-06    2.00355e-06    
2.37079        4.0071e-06     2.83345e-06    
2.38077        8.0142e-06     4.0071e-06     
2.39076        1.00178e-05    4.48007e-06    
2.40074        2.00355e-06    2.00355e-06    
2.41072        6.01065e-06    3.47025e-06    
2.4207         1.00178e-05    4.48007e-06    
2.43069        6.01065e-06    3.47025e-06    
2.44067        8.0142e-06     4.0071e-06     
2.45065        6.01065e-06    3.47025e-06    
2.46063        1.00178e-05    4.48007e-06    
2.47061        1.00178e-05    4.48007e-06    
2.4806         6.01065e-06    3.47025e-06    
2.49058        2.00355e-06    2.00355e-06    
2.50056        8.0142e-06     4.0071e-06     
2.51054        8.0142e-06     4.0071e-06     
2.52053        2.00355e-06    2.00355e-06    
2.53051        6.01065e-06    3.47025e-06    
2.54049        1.20213e-05    4.90768e-06    
2.55047        6.01065e-06    3.47025e-06    
2.56045        6.01065e-06    3.47025e-06    
2.57044        0              0              
2.58042        2.00355e-06    2.00355e-06    
2.5904         6.01065e-06    3.47025e-06    
2.60038        1.00178e-05    4.48007e-06    
2.61037        2.00355e-06    2.00355e-06    
2.62035        8.0142e-06     4.0071e-06     
2.63033        2.00355e-06    2.00355e-06    
2.64031        6.01065e-06    3.47025e-06    
2.6503         6.01065e-06    3.47025e-06    
2.66028        8.0142e-06     4.0071e-06     
2.67026        4.0071e-06     2.83345e-06    
2.68024        0              0              
2.69022        2.00355e-06    2.00355e-06    
2.70021        0              0              
2.71019        6.01065e-06    3.47025e-06    
2.72017        4.0071e-06     2.83345e-06    
2.73015        1.40249e-05    5.3009e-06     
2.74014        1.00178e-05    4.48007e-06    
2.75012        4.0071e-06     2.83345e-06    
2.7601         2.00355e-06    2.00355e-06    
2.77008        4.0071e-06     2.83345e-06    
2.78006        4.0071e-06     2.83345e-06    
2.79005        2.00355e-06    2.00355e-06    
2.80003        4.0071e-06     2.83345e-06    
2.81001        6.01065e-06    3.47025e-06    
2.81999        2.00355e-06    2.00355e-06    
2.82998        1.40249e-05    5.3009e-06     
2.83996        4.0071e-06     2.83345e-06    
2.84994        6.01065e-06    3.47025e-06    
2.85992        2.00355e-06    2.00355e-06    
2.86991        4.0071e-06     2.83345e-06    
2.87989        6.01065e-06    3.47025e-06    
2.88987        6.01065e-06    3.47025e-06    
2.89985        6.01065e-06    3.47025e-06    
2.90983        4.0071e-06     2.83345e-06    
2.91982        4.0071e-06     2.83345e-06    
2.9298         6.01065e-06    3.47025e-06    
2.93978        2.00355e-06    2.00355e-06    
2.94976        2.00355e-06    2.00355e-06    
2.95975        8.0142e-06     4.0071e-06     
2.96973        2.00355e-06    2.00355e-06    
2.97971        0              0              
2.98969        4.0071e-06     2.83345e-06    
2.99968        2.00355e-06    2.00355e-06    
3.00966        2.00355e-06    2.00355e-06    
3.01964        6.01065e-06    3.47025e-06    
3.02962        1.00178e-05    4.48007e-06    
3.0396         8.0142e-06     4.0071e-06     
3.04959        2.00355e-06    2.00355e-06    
3.05957        4.0071e-06     2.83345e-06    
3.06955        2.00355e-06    2.00355e-06    
3.07953        4.0071e-06     2.83345e-06    
3.08952        2.00355e-06    2.00355e-06    
3.0995         0              0              
3.10948        8.0142e-06     4.0071e-06     
