pT (GeV)       dN/dpt         error          
0.00528646     9.45813e-05    1.33758e-05    
0.0158594      0.000306443    2.40764e-05    
0.0264323      0.000571271    3.28728e-05    
0.0370052      0.000790699    3.86742e-05    
0.0475781      0.00098932     4.32597e-05    
0.0581511      0.00122956     4.82269e-05    
0.068724       0.00141115     5.16656e-05    
0.0792969      0.00161923     5.53437e-05    
0.0898698      0.0018292      5.88226e-05    
0.100443       0.00199945     6.1499e-05     
0.111016       0.00226049     6.53904e-05    
0.121589       0.0024856      6.85689e-05    
0.132161       0.00263882     7.06506e-05    
0.142734       0.0030039      7.53795e-05    
0.153307       0.0031855      7.76245e-05    
0.16388        0.0032971      7.89726e-05    
0.174453       0.00344465     8.07202e-05    
0.185026       0.00386648     8.55198e-05    
0.195599       0.00392134     8.61243e-05    
0.206172       0.00414077     8.85011e-05    
0.216745       0.00450774     9.23393e-05    
0.227318       0.00456638     9.2938e-05     
0.237891       0.00488418     9.61174e-05    
0.248464       0.00517359     9.8924e-05     
0.259037       0.00522089     9.93751e-05    
0.269609       0.00541194     0.000101177    
0.280182       0.00584512     0.000105148    
0.290755       0.00577702     0.000104568    
0.301328       0.00618561     0.000108167    
0.311901       0.00634262     0.000109531    
0.322474       0.00652989     0.000111136    
0.333047       0.00698766     0.000114965    
0.34362        0.00712008     0.00011605     
0.354193       0.0074076      0.000118369    
0.364766       0.00737166     0.000118082    
0.375339       0.00756839     0.000119647    
0.385912       0.00796185     0.000122747    
0.396484       0.00820209     0.000124584    
0.407057       0.00844611     0.000126422    
0.41763        0.00848394     0.000126677    
0.428203       0.00864473     0.000127871    
0.438776       0.00919708     0.000131893    
0.449349       0.0089436      0.000130063    
0.459922       0.00925194     0.000132286    
0.470495       0.00931625     0.000132745    
0.481068       0.00959432     0.000134737    
0.491641       0.00971917     0.000135584    
0.502214       0.00992536     0.000137015    
0.512787       0.0102129      0.000138985    
0.52336        0.0102413      0.000139178    
0.533932       0.0103131      0.000139666    
0.544505       0.0106896      0.000142191    
0.555078       0.0108485      0.000143244    
0.565651       0.0110111      0.000144339    
0.576224       0.0113138      0.000146284    
0.586797       0.0112968      0.000146198    
0.59737        0.0115635      0.000147913    
0.607943       0.0116638      0.000148529    
0.618516       0.011781       0.000149273    
0.629089       0.0119948      0.000150621    
0.639662       0.0123353      0.000152744    
0.650235       0.0123145      0.000152615    
0.660807       0.0126228      0.000154514    
0.67138        0.0124034      0.000153188    
0.681953       0.0128309      0.000155782    
0.692526       0.0132735      0.000158446    
0.703099       0.0132924      0.000158581    
0.713672       0.0133927      0.000159155    
