p (GeV)        dN/dp          error          
0.00428646     0              0              
0.0128594      0              0              
0.0214323      1.39976e-05    5.71448e-06    
0.0300052      1.16646e-05    5.21658e-06    
0.0385781      1.39976e-05    5.71448e-06    
0.0471511      2.79951e-05    8.0815e-06     
0.055724       3.73268e-05    9.33171e-06    
0.0642969      5.36573e-05    1.11883e-05    
0.0728698      6.76549e-05    1.25632e-05    
0.0814427      6.99878e-05    1.2778e-05     
0.0900157      9.7983e-05     1.51191e-05    
0.0985886      0.000116646    1.64963e-05    
0.107162       0.000132977    1.76132e-05    
0.115734       0.000142309    1.82207e-05    
0.124307       0.000195966    2.13816e-05    
0.13288        0.000237959    2.35614e-05    
0.141453       0.000240292    2.36766e-05    
0.150026       0.000268287    2.50178e-05    
0.158599       0.00024729     2.40189e-05    
0.167172       0.000317278    2.72063e-05    
0.175745       0.00034294     2.82852e-05    
0.184318       0.000354605    2.87622e-05    
0.192891       0.000443256    3.21571e-05    
0.201464       0.00043859     3.19874e-05    
0.210037       0.000482916    3.35649e-05    
0.218609       0.000508578    3.44452e-05    
0.227182       0.000564568    3.62917e-05    
0.235755       0.000657886    3.91764e-05    
0.244328       0.00074887     4.17977e-05    
0.252901       0.000814192    4.35825e-05    
0.261474       0.000737205    4.14709e-05    
0.270047       0.000914508    4.61894e-05    
0.27862        0.000907509    4.60123e-05    
0.287193       0.000958833    4.72956e-05    
0.295766       0.000984495    4.79243e-05    
0.304339       0.00117813     5.24258e-05    
0.312912       0.00111281     5.09517e-05    
0.321484       0.00109181     5.04687e-05    
0.330057       0.00129944     5.50588e-05    
0.33863        0.0013391      5.58926e-05    
0.347203       0.00146041     5.83695e-05    
0.355776       0.0015514      6.01602e-05    
0.364349       0.00161439     6.13693e-05    
0.372922       0.00156073     6.03408e-05    
0.381495       0.00163772     6.18111e-05    
0.390068       0.00174503     6.38041e-05    
0.398641       0.00183135     6.53631e-05    
0.407214       0.00208797     6.97925e-05    
0.415787       0.00195499     6.75336e-05    
0.42436        0.00212763     7.04522e-05    
0.432932       0.00209497     6.99094e-05    
0.441505       0.00221861     7.19428e-05    
0.450078       0.00236326     7.43241e-05    
0.458651       0.0025079      7.64893e-05    
0.467224       0.00254756     7.70917e-05    
0.475797       0.00275052     8.01038e-05    
0.48437        0.00279718     8.07803e-05    
0.492943       0.00292549     8.26123e-05    
0.501516       0.0030818      8.47904e-05    
0.510089       0.00310513     8.51108e-05    
0.518662       0.00312146     8.53343e-05    
0.527235       0.00329876     8.77243e-05    
0.535807       0.00335942     8.85271e-05    
0.54438        0.00365336     9.23188e-05    
0.552953       0.00360671     9.17274e-05    
0.561526       0.00387966     9.5135e-05     
0.570099       0.00382367     9.4446e-05     
0.578672       0.00399164     9.64981e-05    
0.587245       0.00419927     9.89759e-05    
0.595818       0.0042156      9.91682e-05    
0.604391       0.00440923     0.00010142     
0.612964       0.00467052     0.000104382    
0.621537       0.00469618     0.000104668    
0.63011        0.00507645     0.000108823    
0.638683       0.00467519     0.000104434    
0.647255       0.00489915     0.000106906    
0.655828       0.00522576     0.000110412    
0.664401       0.00519076     0.000110042    
0.672974       0.00542406     0.000112487    
0.681547       0.00556636     0.000113953    
0.69012        0.00569468     0.000115259    
0.698693       0.00589531     0.000117272    
0.707266       0.00603062     0.00011861     
0.715839       0.00625225     0.000120769    
0.724412       0.00616826     0.000119956    
0.732985       0.00647621     0.000122913    
0.741558       0.00652287     0.000123355    
0.75013        0.00671183     0.000125129    
0.758703       0.00698245     0.000127627    
0.767276       0.00705477     0.000128286    
0.775849       0.00715042     0.000129153    
0.784422       0.00757268     0.000132911    
0.792995       0.00732539     0.000130723    
0.801568       0.00740938     0.00013147     
0.810141       0.00769166     0.000133951    
0.818714       0.0080416      0.000136964    
0.827287       0.00803227     0.000136885    
0.83586        0.00840087     0.00013999     
0.844433       0.00846153     0.000140494    
0.853006       0.00870649     0.000142513    
0.861578       0.00864583     0.000142016    
0.870151       0.00889312     0.000144033    
0.878724       0.00897944     0.00014473     
0.887297       0.0090121      0.000144993    
0.89587        0.00924306     0.000146839    
0.904443       0.00930138     0.000147375    
0.913016       0.00976097     0.000150896    
0.921589       0.0097563      0.00015086     
0.930162       0.00980296     0.000151221    
0.938735       0.0100922      0.000153435    
0.947308       0.00997093     0.000152511    
0.955881       0.0101039      0.000153524    
0.964453       0.0104445      0.00015609     
0.973026       0.0106521      0.000157634    
0.981599       0.0107898      0.000158683    
0.990172       0.0108691      0.000159265    
0.998745       0.011303       0.000162378    
1.00732        0.0113987      0.000163063    
1.01589        0.0115457      0.000164111    
1.02446        0.0115363      0.000164045    
1.03304        0.0119096      0.000166677    
1.04161        0.0120892      0.00016793     
1.05018        0.0120846      0.000167897    
1.05876        0.0119749      0.000167134    
1.06733        0.0120379      0.000167573    
1.0759         0.0121849      0.000168593    
1.08447        0.0125465      0.000171076    
1.09305        0.0127914      0.000172737    
1.10162        0.0126911      0.000172059    
1.11019        0.0127938      0.000172753    
1.11877        0.0131647      0.000175301    
1.12734        0.0130527      0.000174524    
1.13591        0.013426       0.00017697     
1.14448        0.0135356      0.000177691    
1.15306        0.0135543      0.000177813    
1.16163        0.0139229      0.000180245    
1.1702         0.0141329      0.000181568    
1.17878        0.0138739      0.000179897    
1.18735        0.0142379      0.000182241    
1.19592        0.0140022      0.000180727    
1.2045         0.0143522      0.000182971    
1.21307        0.0142402      0.000182286    
1.22164        0.0145341      0.000184127    
1.23021        0.0146951      0.000185173    
1.23879        0.0147464      0.000185526    
1.24736        0.0145995      0.00018457     
1.25593        0.0148817      0.000186316    
1.26451        0.0150964      0.000187683    
1.27308        0.0149937      0.000187045    
1.28165        0.0149891      0.000187015    
1.29022        0.015381       0.000189415    
1.2988         0.0152573      0.000188681    
1.30737        0.0158149      0.000192068    
1.31594        0.0155863      0.000190675    
1.32452        0.0154836      0.000190103    
1.33309        0.0156796      0.000191273    
1.34166        0.0155023      0.00019016     
1.35023        0.0156773      0.00019123     
1.35881        0.0157169      0.0001915      
1.36738        0.0161859      0.000194307    
1.37595        0.0159572      0.00019293     
1.38453        0.0161205      0.000193971    
1.3931         0.0159129      0.000192662    
1.40167        0.0161789      0.000194293    
1.41025        0.0163142      0.000195103    
1.41882        0.0161159      0.000193914    
1.42739        0.0161672      0.000194195    
1.43596        0.0161719      0.000194251    
1.44454        0.0161322      0.000194013    
1.45311        0.0164518      0.000195897    
1.46168        0.0165638      0.000196617    
1.47026        0.0163515      0.000195298    
1.47883        0.0166058      0.000196811    
1.4874         0.0167341      0.00019757     
1.49597        0.0166081      0.000196852    
1.50455        0.0164775      0.000196077    
1.51312        0.0163468      0.000195271    
1.52169        0.0165078      0.00019623     
1.53027        0.0167737      0.000197831    
1.53884        0.0168484      0.000198243    
1.54741        0.0163702      0.00019541     
1.55598        0.0167364      0.000197584    
1.56456        0.0164891      0.000196146    
1.57313        0.0162908      0.000194936    
1.5817         0.0163352      0.000195229    
1.59028        0.0164401      0.000195855    
1.59885        0.0164845      0.000196091    
1.60742        0.0165381      0.00019641     
1.616          0.0165591      0.000196534    
1.62457        0.0161392      0.000194055    
1.63314        0.0168087      0.00019801     
1.64171        0.0161998      0.000194391    
1.65029        0.0163165      0.000195089    
1.65886        0.0166991      0.000197363    
1.66743        0.0164168      0.000195688    
1.67601        0.0161625      0.000194167    
1.68458        0.0160622      0.000193563    
1.69315        0.0162162      0.000194489    
1.70172        0.0161532      0.000194111    
1.7103         0.0163002      0.000194992    
1.71887        0.0158966      0.000192591    
1.72744        0.0157706      0.000191799    
1.73602        0.0158569      0.000192379    
1.74459        0.0158849      0.000192492    
1.75316        0.0157379      0.000191628    
1.76174        0.0157356      0.000191586    
1.77031        0.0160785      0.000193662    
1.77888        0.0159386      0.000192845    
1.78745        0.0158359      0.000192195    
1.79603        0.0156936      0.000191415    
1.8046         0.0158756      0.000192436    
1.81317        0.0156796      0.000191273    
1.82175        0.0154836      0.000190074    
1.83032        0.0154043      0.000189558    
1.83889        0.0156329      0.00019096     
1.84746        0.01543        0.000189745    
1.85604        0.0151127      0.000187756    
1.86461        0.015094       0.00018764     
