p (GeV)        dN/dp          error          
0.004057       0              0              
0.012171       2.46488e-06    2.46488e-06    
0.020285       0              0              
0.028399       0              0              
0.036513       7.39463e-06    4.26929e-06    
0.044627       7.39463e-06    4.26929e-06    
0.052741       7.39463e-06    4.26929e-06    
0.060855       7.39463e-06    4.26929e-06    
0.068969       1.47893e-05    6.03769e-06    
0.077083       2.21839e-05    7.39463e-06    
0.085197       2.71136e-05    8.17507e-06    
0.093311       3.9438e-05     9.8595e-06     
0.101425       3.69731e-05    9.54642e-06    
0.109539       4.92975e-05    1.10233e-05    
0.117653       3.69731e-05    9.54642e-06    
0.125767       3.45083e-05    9.22272e-06    
0.133881       4.43678e-05    1.04576e-05    
0.141995       5.9157e-05     1.20754e-05    
0.150109       9.12004e-05    1.49932e-05    
0.158223       6.65516e-05    1.28079e-05    
0.166337       7.14814e-05    1.32738e-05    
0.174451       9.12004e-05    1.49932e-05    
0.182565       9.61301e-05    1.53931e-05    
0.190679       0.000150357    1.92513e-05    
0.198793       0.000133103    1.81131e-05    
0.206907       0.000172541    2.06226e-05    
0.215021       0.000123244    1.74293e-05    
0.223135       0.000175006    2.07694e-05    
0.231249       0.000162682    2.00247e-05    
0.239363       0.000199655    2.21839e-05    
0.247477       0.000209514    2.2725e-05     
0.255591       0.000189795    2.16292e-05    
0.263705       0.000209514    2.2725e-05     
0.271819       0.00020705     2.25909e-05    
0.279933       0.000209514    2.2725e-05     
0.288047       0.00028839     2.66617e-05    
0.296161       0.000263742    2.54968e-05    
0.304275       0.000285926    2.65475e-05    
0.312389       0.000313039    2.77777e-05    
0.320503       0.000337688    2.88506e-05    
0.328617       0.00028839     2.66617e-05    
0.336731       0.000285926    2.65475e-05    
0.344845       0.000327828    2.84263e-05    
0.352959       0.000382056    3.06874e-05    
0.361073       0.000382056    3.06874e-05    
0.369187       0.000421494    3.22324e-05    
0.377301       0.000478186    3.43317e-05    
0.385415       0.000433818    3.27002e-05    
0.393529       0.000426423    3.24203e-05    
