pT (GeV)       dN/dpt         error          
0.005057       2.76844e-05    7.39897e-06    
0.015171       8.10757e-05    1.26619e-05    
0.025285       9.88728e-05    1.39827e-05    
0.035399       0.000170061    1.83382e-05    
0.045513       0.000221475    2.09274e-05    
0.055627       0.000255092    2.24596e-05    
0.065741       0.000261024    2.27192e-05    
0.075855       0.000330235    2.55543e-05    
0.085969       0.000417243    2.87242e-05    
0.096083       0.000415266    2.8656e-05     
0.106197       0.000506229    3.16392e-05    
0.116311       0.000529958    3.23723e-05    
0.126425       0.000577417    3.37907e-05    
0.136539       0.000694087    3.70475e-05    
0.146653       0.000773186    3.91015e-05    
0.156767       0.00070793     3.74151e-05    
0.166881       0.00078505     3.94004e-05    
0.176995       0.000876013    4.16205e-05    
0.187109       0.000852284    4.10529e-05    
0.197223       0.000783073    3.93507e-05    
0.207337       0.000988728    4.42171e-05    
0.217451       0.00100059     4.44816e-05    
0.227565       0.00103026     4.51361e-05    
0.237679       0.0011489      4.76642e-05    
0.247793       0.00107376     4.60792e-05    
0.257907       0.00119241     4.85583e-05    
0.268021       0.00118054     4.83161e-05    
0.278135       0.00126557     5.00258e-05    
0.288249       0.00140795     5.27648e-05    
0.298363       0.00132885     5.12612e-05    
0.308477       0.00135654     5.17924e-05    
0.318591       0.00137236     5.20935e-05    
0.328705       0.0015523      5.54037e-05    
0.338819       0.00152857     5.49786e-05    
0.348933       0.00168875     5.77873e-05    
0.359047       0.00160174     5.6279e-05     
0.369161       0.00160372     5.63137e-05    
0.379275       0.00179949     5.96518e-05    
0.389389       0.00170061     5.79899e-05    
0.399503       0.00177971     5.93232e-05    
0.409617       0.00173621     5.85936e-05    
0.419731       0.00181135     5.98482e-05    
0.429845       0.00183113     6.0174e-05     
0.439959       0.00195373     6.21557e-05    
0.450073       0.00208028     6.41373e-05    
0.460187       0.00209808     6.4411e-05     
0.470301       0.00218707     6.57627e-05    
0.480415       0.00210995     6.45929e-05    
0.490529       0.00216729     6.54648e-05    
0.500643       0.00208424     6.41982e-05    
0.510757       0.00221277     6.61481e-05    
0.520871       0.00231758     6.76964e-05    
0.530985       0.00233735     6.79846e-05    
0.541099       0.00239668     6.88419e-05    
0.551213       0.00240854     6.90121e-05    
0.561327       0.00241843     6.91536e-05    
0.571441       0.00238481     6.86713e-05    
0.581555       0.00243623     6.94076e-05    
0.591669       0.00264979     7.23858e-05    
0.601783       0.00253114     7.07467e-05    
0.611897       0.00256674     7.12424e-05    
0.622011       0.00256872     7.12699e-05    
0.632125       0.00276053     7.38829e-05    
0.642239       0.00264781     7.23588e-05    
0.652353       0.00263002     7.21152e-05    
0.662467       0.00281788     7.46463e-05    
0.672581       0.00267748     7.2763e-05     
0.682695       0.00289104     7.56092e-05    
0.692809       0.0027803      7.4147e-05     
0.702923       0.00274867     7.37239e-05    
0.713037       0.0029998      7.70182e-05    
0.723151       0.00268539     7.28704e-05    
0.733265       0.00282381     7.47248e-05    
0.743379       0.002895       7.56609e-05    
0.753493       0.00280206     7.44365e-05    
0.763607       0.00288115     7.54798e-05    
0.773721       0.00297212     7.6662e-05     
0.783835       0.00303935     7.75242e-05    
0.793949       0.00297014     7.66365e-05    
0.804063       0.00307495     7.79768e-05    
0.814177       0.00299387     7.6942e-05     
0.824291       0.00318371     7.93438e-05    
0.834405       0.00314613     7.88742e-05    
0.844519       0.00304528     7.75998e-05    
0.854633       0.00316195     7.90723e-05    
0.864747       0.00319953     7.95407e-05    
0.874861       0.00318173     7.93192e-05    
0.884975       0.00303342     7.74485e-05    
0.895089       0.00317184     7.91958e-05    
0.905203       0.00311845     7.85762e-05    
0.915317       0.00324105     8.00552e-05    
0.925431       0.00325885     8.02747e-05    
0.935545       0.00334981     8.13873e-05    
0.945659       0.00329642     8.07361e-05    
0.955773       0.00338738     8.18424e-05    
0.965887       0.0033419      8.12911e-05    
0.976001       0.00338145     8.17707e-05    
0.986115       0.00319755     7.95161e-05    
0.996229       0.00333399     8.11949e-05    
1.00634        0.00338541     8.18185e-05    
1.01646        0.00322523     7.98596e-05    
1.02657        0.00336168     8.15313e-05    
1.03669        0.00320546     7.96144e-05    
1.0468         0.0033162      8.09779e-05    
1.05691        0.00340716     8.20809e-05    
1.06703        0.00323116     7.9933e-05     
1.07714        0.00333004     8.11467e-05    
1.08726        0.00345264     8.26269e-05    
1.09737        0.00333795     8.1243e-05     
1.10748        0.00339529     8.19379e-05    
1.1176         0.00327467     8.04693e-05    
