pT (GeV)       dN/dpt         error          
0.005056       2.37342e-05    6.85147e-06    
0.015168       5.93354e-05    1.08331e-05    
0.02528        0.000106804    1.45341e-05    
0.035392       0.000181962    1.89708e-05    
0.045504       0.00018394     1.90737e-05    
0.055616       0.000251187    2.22892e-05    
0.065728       0.00034019     2.59392e-05    
0.07584        0.000407437    2.83874e-05    
0.085952       0.000435127    2.93362e-05    
0.096064       0.000476661    3.07044e-05    
0.106176       0.000520174    3.20752e-05    
0.116288       0.000498418    3.13973e-05    
0.1264         0.000630934    3.53254e-05    
0.136512       0.000672468    3.64696e-05    
0.146624       0.00078125     3.93088e-05    
0.156736       0.000721915    3.77866e-05    
0.166848       0.000826741    4.0437e-05     
0.17696        0.000799051    3.97541e-05    
0.187072       0.000886076    4.1863e-05     
0.197184       0.000943434    4.31966e-05    
0.207296       0.00096519     4.36919e-05    
0.217408       0.00106606     4.59182e-05    
0.22752        0.00105024     4.55762e-05    
0.237632       0.00111946     4.70542e-05    
0.247744       0.00120649     4.88489e-05    
0.257856       0.00121835     4.90886e-05    
0.267968       0.00123813     4.94854e-05    
0.27808        0.00127571     5.02308e-05    
0.288192       0.00130538     5.08115e-05    
0.298304       0.00141416     5.28863e-05    
0.308416       0.00143987     5.33649e-05    
0.318528       0.00149525     5.43814e-05    
0.32864        0.00148932     5.42734e-05    
0.338752       0.00157832     5.58716e-05    
0.348864       0.00162184     5.66365e-05    
0.358976       0.00174644     5.87719e-05    
0.369088       0.00167128     5.74934e-05    
0.3792         0.00180973     5.98273e-05    
0.389312       0.00171875     5.83041e-05    
0.399424       0.00180578     5.97619e-05    
0.409536       0.00185918     6.06391e-05    
0.419648       0.0019284      6.17577e-05    
0.42976        0.00200554     6.29807e-05    
0.439872       0.00207674     6.40889e-05    
0.449984       0.00206883     6.39667e-05    
0.460096       0.00204114     6.35988e-05    
0.470208       0.00201345     6.31048e-05    
0.48032        0.00209652     6.43934e-05    
0.490432       0.00221519     6.61907e-05    
0.500544       0.00221717     6.62203e-05    
0.510656       0.00210839     6.45754e-05    
0.520768       0.00224486     6.66325e-05    
0.53088        0.00246242     6.97866e-05    
0.540992       0.0024288      6.93085e-05    
0.551104       0.00243275     6.9365e-05     
0.561216       0.00245649     6.97025e-05    
0.571328       0.00256725     7.12565e-05    
0.58144        0.00250593     7.04005e-05    
0.591552       0.00256725     7.12565e-05    
0.601664       0.00251187     7.04838e-05    
0.611776       0.00241891     6.91673e-05    
0.621888       0.00274723     7.3712e-05     
0.632          0.00267009     7.26698e-05    
0.642112       0.00285008     7.5079e-05     
0.652224       0.00261076     7.18578e-05    
0.662336       0.00279866     7.43986e-05    
0.672448       0.00283426     7.48703e-05    
0.68256        0.00285403     7.51311e-05    
0.692672       0.00276305     7.39239e-05    
0.702784       0.00282634     7.47658e-05    
0.712896       0.00291733     7.59596e-05    
0.723008       0.0030004      7.70334e-05    
0.73312        0.00280854     7.453e-05      
0.743232       0.00294502     7.63192e-05    
0.753344       0.00309138     7.81926e-05    
0.763456       0.00307555     7.79922e-05    
0.773568       0.00319027     7.94334e-05    
0.78368        0.00304391     7.759e-05      
0.793792       0.00318829     7.94088e-05    
0.803904       0.00301226     7.71856e-05    
0.814016       0.00311511     7.84922e-05    
0.824128       0.00303995     7.75395e-05    
0.83424        0.00295095     7.6396e-05     
0.844352       0.00311511     7.84922e-05    
0.854464       0.00310324     7.83425e-05    
0.864576       0.00313291     7.87161e-05    
0.874688       0.00330301     8.08247e-05    
0.8848         0.00320807     7.96547e-05    
0.894912       0.00315467     7.8989e-05     
0.905024       0.00334059     8.12831e-05    
0.915136       0.00310324     7.83924e-05    
0.925248       0.00326345     8.03392e-05    
0.93536        0.00328323     8.06309e-05    
0.945472       0.00337025     8.16433e-05    
0.955584       0.00336432     8.15714e-05    
0.965696       0.00337025     8.16433e-05    
0.975808       0.00330301     8.08247e-05    
0.98592        0.00325949     8.02905e-05    
0.996032       0.00330696     8.0873e-05     
1.00614        0.00333663     8.1235e-05     
1.01626        0.00320016     7.95564e-05    
1.02637        0.00315862     7.90385e-05    
1.03648        0.00335443     8.14514e-05    
1.04659        0.00328521     8.06066e-05    
1.0567         0.00333663     8.1235e-05     
1.06682        0.00352848     8.35377e-05    
1.07693        0.00335443     8.14514e-05    
1.08704        0.00327532     8.04852e-05    
1.09715        0.00318038     7.93102e-05    
1.10726        0.00325158     8.0193e-05     
1.11738        0.00329312     8.07036e-05    
1.12749        0.00320214     7.9581e-05     
1.1376         0.00331883     8.1018e-05     
1.14771        0.00335047     8.14034e-05    
1.15782        0.00338014     8.17629e-05    
1.16794        0.00334652     8.13553e-05    
1.17805        0.00312698     7.86415e-05    
1.18816        0.0031428      7.88402e-05    
1.19827        0.00326345     8.03392e-05    
1.20838        0.00320214     7.9581e-05     
1.2185         0.00328521     8.06066e-05    
1.22861        0.00321005     7.96792e-05    
1.23872        0.00330498     8.08489e-05    
1.24883        0.0031428      7.88402e-05    
1.25894        0.00311511     7.84922e-05    
1.26906        0.00313291     7.87161e-05    
1.27917        0.00317445     7.92362e-05    
1.28928        0.00329312     8.0752e-05     
1.29939        0.00317049     7.91868e-05    
1.3095         0.00308544     7.81175e-05    
1.31962        0.00313687     7.87658e-05    
1.32973        0.0030894      7.81676e-05    
1.33984        0.00290941     7.58565e-05    
1.34995        0.00304589     7.76152e-05    
1.36006        0.00297468     7.67026e-05    
1.37018        0.00301622     7.72363e-05    
1.38029        0.00284217     7.49748e-05    
1.3904         0.00295293     7.64216e-05    
1.40051        0.0028481      7.5053e-05     
1.41062        0.00305578     7.77411e-05    
1.42074        0.00292524     7.60625e-05    
1.43085        0.00283821     7.49226e-05    
1.44096        0.00287381     7.5391e-05     
1.45107        0.00284019     7.49487e-05    
1.46118        0.00275316     7.37915e-05    
1.4713         0.00266812     7.26429e-05    
1.48141        0.00266812     7.26429e-05    
1.49152        0.00278283     7.4188e-05     
1.50163        0.00279272     7.43197e-05    
1.51174        0.00276899     7.40033e-05    
1.52186        0.00264241     7.2292e-05     
1.53197        0.00270372     7.31259e-05    
1.54208        0.00258307     7.14758e-05    
1.55219        0.00262658     7.20753e-05    
1.5623         0.00248813     7.015e-05      
1.57242        0.00259889     7.16943e-05    
1.58253        0.00239715     6.88556e-05    
1.59264        0.00249407     7.02336e-05    
1.60275        0.00234177     6.80556e-05    
1.61286        0.00242089     6.91956e-05    
1.62298        0.00239517     6.88271e-05    
1.63309        0.00234968     6.81704e-05    
1.6432         0.00231408     6.7652e-05     
1.65331        0.00232397     6.77964e-05    
1.66342        0.00233386     6.79405e-05    
1.67354        0.0022765      6.71005e-05    
1.68365        0.00221915     6.63088e-05    
1.69376        0.00226859     6.69838e-05    
1.70387        0.00218157     6.56865e-05    
1.71398        0.00220332     6.60132e-05    
1.7241         0.0021163      6.46964e-05    
1.73421        0.0020807      6.41499e-05    
1.74432        0.00214201     6.50882e-05    
1.75443        0.00206883     6.39667e-05    
