pT (GeV)       dN/dpt         error          
0.00487561     5.53777e-05    1.06574e-05    
0.0146268      0.000235868    2.19948e-05    
0.024378       0.000373287    2.76698e-05    
0.0341293      0.000555828    3.3764e-05     
0.0438805      0.000664532    3.69183e-05    
0.0536317      0.000892196    4.27773e-05    
0.0633829      0.000898349    4.29246e-05    
0.0731341      0.00109525     4.73957e-05    
0.0828854      0.00133112     5.22505e-05    
0.0926366      0.00141316     5.38366e-05    
0.102388       0.00158339     5.69871e-05    
0.112139       0.00175568     6.00073e-05    
0.12189        0.00186848     6.19051e-05    
0.131641       0.00190745     6.25473e-05    
0.141393       0.00222536     6.75587e-05    
0.151144       0.00237509     6.97944e-05    
0.160895       0.00258429     7.28033e-05    
0.170646       0.00252276     7.19314e-05    
0.180398       0.00278119     7.55257e-05    
0.190149       0.00296578     7.79918e-05    
0.1999         0.00314627     8.03299e-05    
0.209651       0.00336163     8.30335e-05    
0.219402       0.00345803     8.42156e-05    
0.229154       0.00347444     8.44151e-05    
0.238905       0.00361391     8.60927e-05    
0.248656       0.00377389     8.79776e-05    
0.258407       0.00401796     9.07778e-05    
0.268159       0.0040918      9.16081e-05    
0.27791        0.00411231     9.18374e-05    
0.287661       0.00447944     9.58491e-05    
0.297412       0.00456968     9.68097e-05    
0.307163       0.00470505     9.82331e-05    
0.316915       0.00475428     9.87456e-05    
0.326666       0.00494502     0.000100749    
0.336417       0.00513167     0.00010259     
0.346168       0.00520345     0.000103305    
0.35592        0.00536753     0.000104921    
0.365671       0.00537369     0.000104981    
0.375422       0.00573877     0.000108488    
0.385173       0.0058044      0.000109107    
0.394924       0.00608744     0.000111735    
0.404676       0.00617769     0.00011256     
0.414427       0.00599925     0.000110923    
0.424178       0.00618794     0.000112654    
0.433929       0.00644022     0.000114964    
0.443681       0.00638484     0.000114432    
0.453432       0.00661045     0.000116472    
0.463183       0.00663712     0.000116671    
0.472934       0.00683197     0.000118371    
0.482685       0.00695093     0.000119467    
0.492437       0.00697759     0.000119625    
0.502188       0.00713142     0.000120937    
0.511939       0.0075047      0.000124061    
0.52169        0.00698579     0.000119696    
0.531441       0.00781236     0.000126579    
0.541193       0.00749445     0.000123977    
0.550944       0.00747804     0.000123841    
0.560695       0.00775698     0.000126129    
0.570446       0.00819385     0.000129664    
0.580198       0.0076934      0.000125611    
0.589949       0.00813437     0.000129161    
0.5997         0.00810975     0.000128998    
0.609451       0.00834562     0.000130827    
0.619202       0.00815898     0.000129356    
0.628954       0.00821025     0.000129762    
0.638705       0.00838459     0.000131132    
0.648456       0.00847073     0.000131804    
0.658207       0.00845638     0.000131692    
0.667959       0.00856713     0.000132552    
0.67771        0.00873122     0.000133815    
0.687461       0.00891376     0.000135206    
0.697212       0.00905528     0.000136275    
0.706963       0.00902656     0.000136059    
0.716715       0.00891171     0.000135191    
0.726466       0.00934857     0.000138464    
0.736217       0.0094983      0.000139569    
0.745968       0.00894042     0.000135408    
0.75572        0.00916193     0.000137075    
0.765471       0.00946343     0.000139312    
0.775222       0.00942856     0.000139056    
0.784973       0.00929525     0.000138069    
0.794724       0.00936293     0.000138571    
0.804476       0.00943472     0.000139101    
0.814227       0.00962751     0.000140515    
0.823978       0.00977314     0.000141573    
0.833729       0.0097075      0.000141097    
0.843481       0.00962956     0.00014056     
0.853232       0.00953932     0.00013987     
0.862983       0.00986953     0.00014227     
0.872734       0.00975878     0.000141469    
0.882485       0.0100869      0.000143828    
0.892237       0.00977519     0.000141648    
0.901988       0.00988594     0.000142418    
0.911739       0.00983467     0.000142018    
0.92149        0.0096952      0.000141008    
0.931242       0.00985108     0.000142137    
0.940993       0.00973417     0.000141291    
0.950744       0.00984287     0.000142078    
0.960495       0.00974647     0.00014144     
0.970246       0.00983467     0.000142018    
0.979998       0.00987569     0.000142314    
0.989749       0.00961111     0.000140395    
0.9995         0.00976493     0.000141514    
1.00925        0.00986338     0.000142226    
1.019          0.00987159     0.000142285    
1.02875        0.00988389     0.000142373    
1.0385         0.010128       0.00014412     
1.04826        0.00984902     0.000142122    
1.05801        0.00969725     0.000141023    
1.06776        0.00977109     0.000141559    
1.07751        0.00971366     0.000141142    
1.08726        0.00961726     0.00014044     
1.09701        0.00974852     0.000141395    
1.10676        0.00950855     0.000139644    
1.11651        0.00953112     0.00013981     
1.12627        0.00953727     0.000139855    
1.13602        0.00947164     0.000139373    
1.14577        0.0094101      0.000138919    
1.15552        0.00957008     0.000140095    
1.16527        0.00927269     0.000137962    
1.17502        0.00913117     0.000136845    
1.18477        0.00942651     0.000139071    
1.19452        0.00942856     0.000139056    
1.20428        0.00915783     0.000137045    
1.21403        0.00946548     0.000139328    
1.22378        0.00900605     0.000135904    
1.23353        0.00905938     0.000136306    
1.24328        0.00894042     0.000135439    
1.25303        0.00880915     0.000134411    
1.26278        0.00863482     0.000133074    
1.27253        0.00874557     0.000133925    
1.28229        0.0086102      0.000132884    
1.29204        0.00854047     0.000132377    
1.30179        0.00860815     0.000132869    
1.31154        0.00817949     0.000129518    
1.32129        0.00825128     0.000130085    
1.33104        0.00836818     0.000131004    
1.34079        0.00824307     0.000130021    
1.35054        0.00813026     0.000129128    
1.3603         0.00804617     0.000128459    
1.37005        0.00822051     0.000129875    
1.3798         0.00818564     0.000129567    
1.38955        0.00797644     0.000127901    
1.3993         0.00784927     0.00012691     
1.40905        0.00776313     0.000126179    
1.4188         0.00786158     0.00012701     
1.42855        0.00748829     0.000123926    
1.4383         0.00764417     0.000125209    
1.44806        0.00764622     0.000125226    
1.45781        0.00728934     0.000122268    
1.46756        0.00741241     0.000123296    
1.47731        0.00732626     0.000122578    
1.48706        0.00718679     0.00012144     
1.49681        0.00737139     0.000122955    
1.50656        0.00699195     0.000119748    
1.51631        0.00693452     0.000119256    
1.52607        0.00703707     0.000120134    
1.53582        0.00696938     0.000119555    
1.54557        0.00666378     0.000116905    
1.55532        0.00653252     0.000115748    
1.56507        0.00677454     0.000117872    
1.57482        0.00653457     0.000115766    
1.58457        0.0065038      0.000115493    
1.59432        0.00631921     0.000113842    
1.60408        0.00635613     0.000114211    
1.61383        0.00620845     0.00011284     
1.62358        0.00598489     0.00011079     
1.63333        0.00613462     0.000112167    
1.64308        0.00597669     0.000110714    
1.65283        0.00604642     0.000111358    
1.66258        0.00569775     0.0001081      
1.67233        0.00581671     0.000109222    
1.68209        0.00573672     0.000108469    
1.69184        0.00557674     0.000106946    
1.70159        0.00541471     0.000105381    
1.71134        0.00544752     0.0001057      
1.72109        0.00545163     0.000105739    
1.73084        0.00526703     0.000103934    
1.74059        0.0051091      0.000102364    
1.75034        0.00506398     0.000101911    
1.7601         0.00502501     0.000101518    
1.76985        0.00497579     0.00010102     
1.7796         0.00511936     0.000102467    
1.78935        0.00510295     0.000102302    
1.7991         0.00480145     9.92342e-05    
1.80885        0.00473172     9.8511e-05     
1.8186         0.00468864     9.80617e-05    
1.82835        0.0045102      9.61776e-05    
1.8381         0.00433177     9.4256e-05     
1.84786        0.00447329     9.57832e-05    
1.85761        0.00439535     9.49452e-05    
1.86736        0.00437279     9.47012e-05    
1.87711        0.00416973     9.24764e-05    
1.88686        0.00413897     9.21346e-05    
1.89661        0.00419024     9.27035e-05    
