p (GeV)        dN/dp          error          
0.00293956     8.50466e-05    1.70093e-05    
0.00881869     0.000632747    4.63952e-05    
0.0146978      0.00168392     7.56863e-05    
0.020577       0.00316714     0.000103798    
0.0264561      0.00541577     0.000135732    
0.0323352      0.00842642     0.000169305    
0.0382143      0.0111343      0.000194615    
0.0440935      0.0148729      0.000224977    
0.0499726      0.0197104      0.000258974    
0.0558517      0.0242655      0.000287291    
0.0617309      0.0291846      0.000315063    
0.06761        0.0354916      0.000347437    
0.0734891      0.0424553      0.000380049    
0.0793683      0.0487045      0.000407129    
0.0852474      0.0558484      0.000435912    
0.0911265      0.0635842      0.000465148    
0.0970056      0.071827       0.000494396    
0.102885       0.0799914      0.000521684    
0.108764       0.0898398      0.000552728    
0.114643       0.0990861      0.000580574    
0.120522       0.109982       0.000611627    
0.126401       0.120878       0.000641337    
0.13228        0.130485       0.000666189    
0.13816        0.141494       0.000693833    
0.144039       0.154751       0.000725472    
0.149918       0.16628        0.000752121    
0.155797       0.179265       0.000780952    
0.161676       0.191154       0.000806578    
0.167555       0.206201       0.000837581    
0.173434       0.218577       0.000862407    
0.179313       0.232429       0.000889252    
0.185193       0.246693       0.000916042    
0.191072       0.261658       0.000943376    
0.196951       0.278045       0.000972442    
0.20283        0.291176       0.000995116    
0.208709       0.306552       0.00102114     
0.214588       0.323126       0.00104838     
0.220467       0.339809       0.00107527     
0.226347       0.356029       0.00110061     
0.232226       0.371242       0.00112402     
0.238105       0.387887       0.00114859     
0.243984       0.406431       0.00117572     
0.249863       0.422141       0.00119846     
0.255742       0.438609       0.00122142     
0.261621       0.457302       0.00124716     
0.2675         0.47392        0.00126984     
0.27338        0.4921         0.0012939      
0.279259       0.509691       0.00131667     
0.285138       0.528772       0.00134121     
0.291017       0.544819       0.00136155     
0.296896       0.560923       0.00138146     
0.302775       0.582004       0.00140684     
0.308654       0.597997       0.00142622     
0.314533       0.616129       0.00144773     
0.320413       0.639693       0.0014753      
0.326292       0.650103       0.00148727     
0.332171       0.674113       0.00151444     
0.33805        0.68849        0.00153019     
0.343929       0.709363       0.00155341     
0.349808       0.726121       0.00157177     
0.355687       0.746355       0.00159334     
0.361566       0.762701       0.00161095     
0.367446       0.779027       0.00162782     
0.373325       0.795407       0.001645       
0.379204       0.815219       0.00166549     
0.385083       0.831507       0.001682       
0.390962       0.850639       0.00170136     
0.396841       0.866329       0.00171674     
0.40272        0.886267       0.00173644     
0.4086         0.896656       0.00174676     
0.414479       0.916972       0.00176629     
0.420358       0.934509       0.001783       
0.426237       0.95011        0.00179761     
0.432116       0.966555       0.0018135      
0.437995       0.98356        0.00182906     
0.443874       1.00192        0.00184626     
0.449753       1.01696        0.00186015     
0.455633       1.0312         0.00187282     
0.461512       1.04857        0.00188839     
0.467391       1.06083        0.00189957     
0.47327        1.07587        0.00191329     
0.479149       1.08965        0.00192523     
0.485028       1.10791        0.00194153     
0.490907       1.11587        0.00194829     
0.496786       1.13318        0.00196335     
0.502666       1.14339        0.00197266     
0.508545       1.15876        0.00198557     
0.514424       1.17233        0.00199717     
0.520303       1.18773        0.00200976     
0.526182       1.19854        0.00201928     
0.532061       1.2095         0.00202871     
0.53794        1.22017        0.00203733     
0.54382        1.22806        0.00204397     
0.549699       1.24796        0.00206035     
0.555578       1.25436        0.00206567     
0.561457       1.26565        0.00207491     
0.567336       1.27571        0.0020834      
0.573215       1.28289        0.00208906     
0.579094       1.29214        0.00209645     
0.584973       1.30498        0.00210693     
0.590853       1.31732        0.00211705     
0.596732       1.32356        0.00212186     
0.602611       1.33495        0.00213108     
0.60849        1.33915        0.00213471     
0.614369       1.34798        0.00214108     
0.620248       1.35877        0.0021503      
0.626127       1.36259        0.00215344     
0.632006       1.36792        0.00215713     
0.637886       1.37553        0.00216369     
0.643765       1.38255        0.00216858     
0.649644       1.3877         0.00217292     
0.655523       1.3945         0.00217808     
0.661402       1.39858        0.00218144     
0.667281       1.40033        0.00218319     
0.67316        1.40412        0.00218578     
0.67904        1.40804        0.00218839     
0.684919       1.41497        0.00219409     
0.690798       1.41838        0.00219656     
0.696677       1.42832        0.00220423     
0.702556       1.42942        0.00220522     
0.708435       1.42936        0.00220521     
0.714314       1.43069        0.00220598     
0.720193       1.43487        0.00220918     
0.726073       1.43638        0.00221056     
0.731952       1.43574        0.00221018     
0.737831       1.44221        0.00221468     
0.74371        1.44441        0.00221699     
0.749589       1.43941        0.0022126      
0.755468       1.44181        0.00221487     
0.761347       1.43906        0.00221269     
0.767226       1.44509        0.00221732     
0.773106       1.4375         0.00221131     
0.778985       1.43908        0.00221231     
0.784864       1.44162        0.00221493     
0.790743       1.44084        0.0022141      
0.796622       1.43834        0.00221173     
0.802501       1.43522        0.00220943     
0.80838        1.43404        0.00220844     
0.81426        1.43245        0.00220765     
0.820139       1.43437        0.00220947     
0.826018       1.42748        0.00220388     
0.831897       1.42674        0.0022029      
0.837776       1.41895        0.00219696     
0.843655       1.42182        0.00219916     
0.849534       1.41511        0.00219392     
0.855413       1.41521        0.00219445     
0.861293       1.40956        0.00218992     
0.867172       1.40719        0.00218765     
0.873051       1.3987         0.00218124     
0.87893        1.39597        0.00217938     
0.884809       1.38961        0.00217394     
0.890688       1.38345        0.00216952     
0.896567       1.38313        0.00216897     
0.902446       1.37858        0.00216578     
0.908326       1.3694         0.00215855     
0.914205       1.36432        0.00215442     
0.920084       1.36364        0.00215406     
0.925963       1.35011        0.00214302     
0.931842       1.35121        0.00214429     
0.937721       1.34095        0.00213556     
0.9436         1.3356         0.00213164     
0.949479       1.3276         0.00212507     
0.955359       1.32417        0.00212219     
0.961238       1.31798        0.00211778     
0.967117       1.31223        0.0021128      
0.972996       1.30188        0.00210423     
0.978875       1.29529        0.00209928     
0.984754       1.29266        0.00209706     
0.990633       1.2852         0.00209096     
0.996513       1.27868        0.00208539     
1.00239        1.26788        0.00207694     
1.00827        1.26155        0.00207177     
1.01415        1.25562        0.0020671      
1.02003        1.24435        0.00205764     
1.02591        1.23966        0.00205333     
1.03179        1.23352        0.00204896     
