pT (GeV)       dN/dpt         error          
0.00393827     0.0200723      0.00022577     
0.0118148      0.0601203      0.000390703    
0.0196914      0.0989977      0.000501343    
0.0275679      0.140082       0.000596342    
0.0354444      0.179764       0.00067547     
0.043321       0.216895       0.000742133    
0.0511975      0.256651       0.000807348    
0.0590741      0.295701       0.00086646     
0.0669506      0.334611       0.000921643    
0.0748272      0.37244        0.000972261    
0.0827037      0.413349       0.00102431     
0.0905803      0.451419       0.00107065     
0.0984568      0.489204       0.00111466     
0.106333       0.527523       0.00115734     
0.11421        0.563877       0.00119656     
0.122086       0.598658       0.00123307     
0.129963       0.635454       0.00127019     
0.13784        0.669398       0.00130368     
0.145716       0.705281       0.00133809     
0.153593       0.738235       0.00136897     
0.161469       0.773563       0.00140134     
0.169346       0.808575       0.00143288     
0.177222       0.841252       0.00146168     
0.185099       0.874353       0.00149005     
0.192975       0.903693       0.00151502     
0.200852       0.937584       0.00154302     
0.208728       0.969722       0.00156929     
0.216605       0.998875       0.00159247     
0.224482       1.02491        0.00161338     
0.232358       1.0549         0.00163662     
0.240235       1.07949        0.00165564     
0.248111       1.11014        0.00167928     
0.255988       1.13721        0.00169912     
0.263864       1.16407        0.00171906     
0.271741       1.18645        0.00173571     
0.279617       1.21395        0.00175571     
0.287494       1.23499        0.00177077     
0.29537        1.25681        0.0017868      
0.303247       1.27675        0.00180059     
0.311123       1.30072        0.00181732     
0.319          1.31605        0.00182817     
0.326877       1.34172        0.00184561     
0.334753       1.35941        0.00185781     
0.34263        1.37473        0.00186805     
0.350506       1.39478        0.00188205     
0.358383       1.40705        0.0018903      
0.366259       1.42556        0.00190252     
0.374136       1.44214        0.00191343     
0.382012       1.45169        0.00191982     
0.389889       1.46878        0.00193111     
0.397765       1.47865        0.00193755     
0.405642       1.49223        0.00194611     
0.413519       1.50375        0.00195417     
0.421395       1.51204        0.001959       
0.429272       1.52042        0.0019648      
0.437148       1.53048        0.00197148     
0.445025       1.53957        0.00197739     
0.452901       1.54666        0.00198183     
0.460778       1.55165        0.00198457     
0.468654       1.55799        0.00198878     
0.476531       1.56643        0.00199416     
0.484407       1.56759        0.00199477     
0.492284       1.57324        0.00199878     
0.500161       1.57529        0.00200053     
0.508037       1.57643        0.002001       
0.515914       1.58273        0.00200464     
0.52379        1.58131        0.00200389     
0.531667       1.58342        0.00200487     
0.539543       1.58301        0.00200472     
0.54742        1.58096        0.00200391     
0.555296       1.57902        0.00200262     
0.563173       1.57859        0.00200247     
0.571049       1.57898        0.0020022      
0.578926       1.57509        0.00199965     
0.586803       1.57219        0.00199798     
0.594679       1.56492        0.00199336     
0.602556       1.56273        0.00199177     
