pT (GeV)       dN/dpt         error          
0.006225       4.01606e-06    4.01606e-06    
0.018675       0              0              
0.031125       0              0              
0.043575       4.01606e-06    4.01606e-06    
0.056025       4.01606e-06    4.01606e-06    
0.068475       8.03213e-06    5.67957e-06    
0.080925       0              0              
0.093375       2.00803e-05    8.98019e-06    
0.105825       1.60643e-05    8.03213e-06    
0.118275       8.03213e-06    5.67957e-06    
0.130725       1.60643e-05    8.03213e-06    
0.143175       1.20482e-05    6.95603e-06    
0.155625       8.03213e-06    5.67957e-06    
0.168075       2.00803e-05    8.98019e-06    
0.180525       2.00803e-05    8.98019e-06    
0.192975       1.60643e-05    8.03213e-06    
0.205425       2.00803e-05    8.98019e-06    
0.217875       1.60643e-05    8.03213e-06    
0.230325       8.03213e-06    5.67957e-06    
0.242775       8.03213e-06    5.67957e-06    
0.255225       1.60643e-05    8.03213e-06    
0.267675       3.21285e-05    1.13591e-05    
0.280125       1.60643e-05    8.03213e-06    
0.292575       3.21285e-05    1.13591e-05    
0.305025       4.01606e-06    4.01606e-06    
0.317475       3.21285e-05    1.13591e-05    
0.329925       1.60643e-05    8.03213e-06    
0.342375       1.20482e-05    6.95603e-06    
0.354825       2.40964e-05    9.83731e-06    
0.367275       4.81928e-05    1.39121e-05    
0.379725       3.61446e-05    1.20482e-05    
0.392175       2.00803e-05    8.98019e-06    
0.404625       4.01606e-05    1.26999e-05    
0.417075       2.00803e-05    8.98019e-06    
0.429525       5.62249e-05    1.50267e-05    
0.441975       2.81124e-05    1.06255e-05    
0.454425       2.40964e-05    9.83731e-06    
0.466875       5.62249e-05    1.50267e-05    
0.479325       2.81124e-05    1.06255e-05    
0.491775       2.81124e-05    1.06255e-05    
0.504225       6.82731e-05    1.65587e-05    
0.516675       3.21285e-05    1.13591e-05    
0.529125       4.81928e-05    1.39121e-05    
0.541575       4.01606e-05    1.26999e-05    
0.554025       6.0241e-05     1.55541e-05    
0.566475       4.81928e-05    1.39121e-05    
0.578925       2.40964e-05    9.83731e-06    
0.591375       4.01606e-05    1.26999e-05    
0.603825       4.81928e-05    1.39121e-05    
0.616275       3.61446e-05    1.20482e-05    
0.628725       3.61446e-05    1.20482e-05    
0.641175       2.40964e-05    9.83731e-06    
0.653625       6.82731e-05    1.65587e-05    
0.666075       5.22088e-05    1.44801e-05    
0.678525       6.4257e-05     1.60643e-05    
0.690975       5.62249e-05    1.50267e-05    
0.703425       6.0241e-05     1.55541e-05    
0.715875       6.4257e-05     1.60643e-05    
0.728325       4.81928e-05    1.39121e-05    
0.740775       7.63052e-05    1.75056e-05    
0.753225       6.4257e-05     1.60643e-05    
0.765675       6.0241e-05     1.55541e-05    
0.778125       5.62249e-05    1.50267e-05    
0.790575       8.43373e-05    1.84039e-05    
0.803025       9.23695e-05    1.92604e-05    
0.815475       9.63855e-05    1.96746e-05    
0.827925       9.23695e-05    1.92604e-05    
0.840375       6.0241e-05     1.55541e-05    
0.852825       7.63052e-05    1.75056e-05    
0.865275       6.4257e-05     1.60643e-05    
0.877725       6.82731e-05    1.65587e-05    
0.890175       7.22892e-05    1.70387e-05    
0.902625       5.62249e-05    1.50267e-05    
0.915075       9.23695e-05    1.92604e-05    
0.927525       7.22892e-05    1.70387e-05    
0.939975       8.43373e-05    1.84039e-05    
0.952425       9.63855e-05    1.96746e-05    
0.964875       9.23695e-05    1.92604e-05    
0.977325       8.43373e-05    1.84039e-05    
0.989775       8.43373e-05    1.84039e-05    
1.00222        7.22892e-05    1.70387e-05    
1.01467        7.63052e-05    1.75056e-05    
1.02712        8.83534e-05    1.8837e-05     
1.03957        8.43373e-05    1.84039e-05    
1.05202        7.63052e-05    1.75056e-05    
1.06447        0.000104418    2.0478e-05     
1.07692        0.000128514    2.27183e-05    
1.08937        7.63052e-05    1.75056e-05    
1.10182        0.000116466    2.16272e-05    
1.11427        8.03213e-05    1.79604e-05    
1.12672        7.22892e-05    1.70387e-05    
1.13917        8.83534e-05    1.8837e-05     
1.15162        7.63052e-05    1.75056e-05    
1.16407        0.000156627    2.50803e-05    
1.17652        8.83534e-05    1.8837e-05     
1.18897        0.000128514    2.27183e-05    
1.20142        7.22892e-05    1.70387e-05    
1.21387        7.63052e-05    1.75056e-05    
1.22632        8.03213e-05    1.79604e-05    
1.23877        0.000108434    2.08681e-05    
1.25122        0.000100402    2.00803e-05    
1.26367        0.000100402    2.00803e-05    
1.27612        0.000100402    2.00803e-05    
1.28857        0.000148594    2.44287e-05    
1.30102        8.43373e-05    1.84039e-05    
1.31347        0.000124498    2.23605e-05    
1.32592        8.43373e-05    1.84039e-05    
1.33837        0.000108434    2.08681e-05    
1.35082        0.000104418    2.0478e-05     
1.36327        7.22892e-05    1.70387e-05    
1.37572        0.000128514    2.27183e-05    
1.38817        0.000104418    2.0478e-05     
1.40062        9.63855e-05    1.96746e-05    
1.41307        8.83534e-05    1.8837e-05     
1.42552        0.000120482    2.19969e-05    
1.43797        0.000140562    2.37593e-05    
1.45042        0.000100402    2.00803e-05    
1.46287        0.00013253     2.30705e-05    
1.47532        0.000124498    2.23605e-05    
1.48777        9.63855e-05    1.96746e-05    
1.50022        0.000100402    2.00803e-05    
1.51267        0.000136546    2.34175e-05    
1.52512        9.23695e-05    1.92604e-05    
1.53757        0.00011245     2.1251e-05     
1.55002        0.00011245     2.1251e-05     
1.56247        0.000136546    2.34175e-05    
1.57492        6.4257e-05     1.60643e-05    
1.58737        7.22892e-05    1.70387e-05    
1.59982        8.83534e-05    1.8837e-05     
1.61227        0.000124498    2.23605e-05    
1.62472        0.000120482    2.19969e-05    
1.63717        8.03213e-05    1.79604e-05    
1.64962        8.83534e-05    1.8837e-05     
1.66207        0.000100402    2.00803e-05    
1.67452        9.63855e-05    1.96746e-05    
1.68697        0.000136546    2.34175e-05    
1.69942        0.000100402    2.00803e-05    
1.71187        0.000116466    2.16272e-05    
1.72432        0.00011245     2.1251e-05     
1.73677        0.00011245     2.1251e-05     
1.74922        0.000100402    2.00803e-05    
1.76167        8.43373e-05    1.84039e-05    
1.77412        0.000128514    2.27183e-05    
1.78657        0.00011245     2.1251e-05     
1.79902        0.000120482    2.19969e-05    
1.81147        0.000124498    2.23605e-05    
1.82392        0.000116466    2.16272e-05    
1.83637        8.83534e-05    1.8837e-05     
1.84882        8.43373e-05    1.84039e-05    
1.86127        0.000124498    2.23605e-05    
1.87372        0.00011245     2.1251e-05     
1.88617        8.83534e-05    1.8837e-05     
1.89862        7.22892e-05    1.70387e-05    
1.91107        0.000100402    2.00803e-05    
1.92352        0.000140562    2.37593e-05    
1.93597        6.82731e-05    1.65587e-05    
1.94842        9.63855e-05    1.96746e-05    
1.96087        9.63855e-05    1.96746e-05    
1.97332        8.43373e-05    1.84039e-05    
1.98577        7.63052e-05    1.75056e-05    
1.99822        0.000124498    2.23605e-05    
2.01067        0.000124498    2.23605e-05    
2.02312        8.83534e-05    1.8837e-05     
2.03558        0.000108434    2.08681e-05    
2.04802        8.43373e-05    1.84039e-05    
2.06047        6.4257e-05     1.60643e-05    
2.07293        0.000124498    2.23605e-05    
2.08537        7.22892e-05    1.70387e-05    
2.09782        0.000116466    2.16272e-05    
2.11028        8.83534e-05    1.8837e-05     
2.12272        9.63855e-05    1.96746e-05    
2.13517        0.000104418    2.0478e-05     
2.14763        0.00013253     2.30705e-05    
2.16007        8.43373e-05    1.84039e-05    
2.17252        8.43373e-05    1.84039e-05    
2.18498        9.63855e-05    1.96746e-05    
2.19742        0.00011245     2.1251e-05     
2.20987        7.22892e-05    1.70387e-05    
2.22233        8.03213e-05    1.79604e-05    
2.23477        7.22892e-05    1.70387e-05    
2.24722        8.03213e-05    1.79604e-05    
2.25968        4.41767e-05    1.33198e-05    
2.27212        8.43373e-05    1.84039e-05    
2.28457        8.43373e-05    1.84039e-05    
2.29703        8.43373e-05    1.84039e-05    
2.30947        0.000104418    2.0478e-05     
2.32192        8.03213e-05    1.79604e-05    
2.33438        6.4257e-05     1.60643e-05    
2.34682        8.03213e-05    1.79604e-05    
2.35927        6.0241e-05     1.55541e-05    
2.37173        0.000100402    2.00803e-05    
2.38417        9.23695e-05    1.92604e-05    
2.39662        8.83534e-05    1.8837e-05     
2.40908        4.81928e-05    1.39121e-05    
2.42152        5.22088e-05    1.44801e-05    
2.43398        6.4257e-05     1.60643e-05    
2.44643        5.62249e-05    1.50267e-05    
2.45887        7.63052e-05    1.75056e-05    
2.47133        6.82731e-05    1.65587e-05    
2.48378        5.62249e-05    1.50267e-05    
2.49622        6.0241e-05     1.55541e-05    
2.50868        7.63052e-05    1.75056e-05    
2.52113        7.63052e-05    1.75056e-05    
2.53357        4.41767e-05    1.33198e-05    
2.54603        6.4257e-05     1.60643e-05    
2.55848        7.22892e-05    1.70387e-05    
2.57092        7.63052e-05    1.75056e-05    
2.58338        7.22892e-05    1.70387e-05    
2.59583        6.82731e-05    1.65587e-05    
2.60827        8.83534e-05    1.8837e-05     
2.62073        4.41767e-05    1.33198e-05    
2.63318        4.01606e-05    1.26999e-05    
2.64562        6.4257e-05     1.60643e-05    
2.65808        4.01606e-05    1.26999e-05    
2.67053        6.4257e-05     1.60643e-05    
2.68297        6.4257e-05     1.60643e-05    
2.69543        4.81928e-05    1.39121e-05    
2.70788        6.82731e-05    1.65587e-05    
2.72032        6.0241e-05     1.55541e-05    
2.73278        5.22088e-05    1.44801e-05    
2.74523        5.22088e-05    1.44801e-05    
2.75767        8.43373e-05    1.84039e-05    
2.77013        7.22892e-05    1.70387e-05    
2.78258        4.01606e-05    1.26999e-05    
2.79502        6.82731e-05    1.65587e-05    
2.80748        6.82731e-05    1.65587e-05    
2.81993        4.81928e-05    1.39121e-05    
2.83237        4.41767e-05    1.33198e-05    
2.84483        4.41767e-05    1.33198e-05    
2.85728        3.21285e-05    1.13591e-05    
2.86972        5.22088e-05    1.44801e-05    
2.88218        2.81124e-05    1.06255e-05    
2.89463        3.21285e-05    1.13591e-05    
2.90707        4.81928e-05    1.39121e-05    
2.91953        3.21285e-05    1.13591e-05    
2.93197        2.81124e-05    1.06255e-05    
2.94442        2.40964e-05    9.83731e-06    
2.95688        4.01606e-05    1.26999e-05    
2.96932        2.81124e-05    1.06255e-05    
2.98177        2.40964e-05    9.83731e-06    
2.99423        4.01606e-05    1.26999e-05    
3.00667        4.41767e-05    1.33198e-05    
3.01912        3.61446e-05    1.20482e-05    
3.03158        1.60643e-05    8.03213e-06    
3.04402        3.61446e-05    1.20482e-05    
3.05647        3.21285e-05    1.13591e-05    
3.06893        2.40964e-05    9.83731e-06    
3.08137        2.81124e-05    1.06255e-05    
3.09382        4.01606e-05    1.26999e-05    
3.10628        3.21285e-05    1.13591e-05    
3.11872        2.40964e-05    9.83731e-06    
3.13117        1.60643e-05    8.03213e-06    
3.14363        3.21285e-05    1.13591e-05    
3.15607        2.81124e-05    1.06255e-05    
3.16852        3.21285e-05    1.13591e-05    
3.18098        3.21285e-05    1.13591e-05    
3.19342        2.40964e-05    9.83731e-06    
3.20587        3.21285e-05    1.13591e-05    
3.21833        2.00803e-05    8.98019e-06    
3.23077        2.00803e-05    8.98019e-06    
3.24322        2.81124e-05    1.06255e-05    
3.25568        3.21285e-05    1.13591e-05    
3.26812        1.20482e-05    6.95603e-06    
3.28057        8.03213e-06    5.67957e-06    
3.29303        1.60643e-05    8.03213e-06    
3.30547        2.00803e-05    8.98019e-06    
3.31792        1.60643e-05    8.03213e-06    
3.33038        2.00803e-05    8.98019e-06    
3.34282        2.00803e-05    8.98019e-06    
3.35527        2.40964e-05    9.83731e-06    
3.36773        2.00803e-05    8.98019e-06    
3.38017        4.01606e-06    4.01606e-06    
3.39262        8.03213e-06    5.67957e-06    
3.40508        2.00803e-05    8.98019e-06    
3.41752        2.00803e-05    8.98019e-06    
3.42997        1.20482e-05    6.95603e-06    
3.44243        3.21285e-05    1.13591e-05    
3.45487        1.60643e-05    8.03213e-06    
3.46732        2.00803e-05    8.98019e-06    
3.47978        1.60643e-05    8.03213e-06    
3.49222        2.00803e-05    8.98019e-06    
3.50467        4.01606e-06    4.01606e-06    
3.51713        2.81124e-05    1.06255e-05    
3.52957        4.01606e-06    4.01606e-06    
3.54202        2.40964e-05    9.83731e-06    
3.55448        8.03213e-06    5.67957e-06    
3.56692        1.20482e-05    6.95603e-06    
3.57937        2.00803e-05    8.98019e-06    
3.59183        2.00803e-05    8.98019e-06    
3.60427        1.20482e-05    6.95603e-06    
3.61672        2.40964e-05    9.83731e-06    
3.62918        4.01606e-06    4.01606e-06    
3.64162        8.03213e-06    5.67957e-06    
3.65407        4.01606e-06    4.01606e-06    
3.66653        1.60643e-05    8.03213e-06    
3.67897        8.03213e-06    5.67957e-06    
3.69142        2.00803e-05    8.98019e-06    
3.70388        8.03213e-06    5.67957e-06    
3.71632        8.03213e-06    5.67957e-06    
3.72877        1.20482e-05    6.95603e-06    
3.74123        1.20482e-05    6.95603e-06    
3.75367        4.01606e-06    4.01606e-06    
3.76612        2.00803e-05    8.98019e-06    
3.77858        8.03213e-06    5.67957e-06    
3.79102        1.60643e-05    8.03213e-06    
3.80347        1.60643e-05    8.03213e-06    
3.81593        1.20482e-05    6.95603e-06    
3.82837        1.20482e-05    6.95603e-06    
3.84082        0              0              
3.85328        8.03213e-06    5.67957e-06    
3.86572        1.20482e-05    6.95603e-06    
3.87817        1.60643e-05    8.03213e-06    
3.89063        4.01606e-06    4.01606e-06    
3.90307        4.01606e-06    4.01606e-06    
3.91552        8.03213e-06    5.67957e-06    
3.92797        4.01606e-06    4.01606e-06    
3.94042        1.20482e-05    6.95603e-06    
3.95287        1.60643e-05    8.03213e-06    
3.96532        8.03213e-06    5.67957e-06    
3.97777        1.20482e-05    6.95603e-06    
3.99023        2.00803e-05    8.98019e-06    
4.00267        4.01606e-06    4.01606e-06    
4.01512        8.03213e-06    5.67957e-06    
4.02757        4.01606e-06    4.01606e-06    
4.04002        4.01606e-06    4.01606e-06    
4.05247        0              0              
4.06492        0              0              
4.07737        0              0              
4.08982        4.01606e-06    4.01606e-06    
4.10227        1.20482e-05    6.95603e-06    
4.11472        0              0              
4.12717        4.01606e-06    4.01606e-06    
4.13962        0              0              
4.15207        8.03213e-06    5.67957e-06    
4.16452        4.01606e-06    4.01606e-06    
4.17697        1.20482e-05    6.95603e-06    
4.18942        8.03213e-06    5.67957e-06    
4.20187        1.20482e-05    6.95603e-06    
4.21432        8.03213e-06    5.67957e-06    
4.22677        4.01606e-06    4.01606e-06    
4.23922        0              0              
4.25167        8.03213e-06    5.67957e-06    
4.26412        8.03213e-06    5.67957e-06    
4.27657        0              0              
4.28902        0              0              
4.30147        0              0              
4.31392        0              0              
4.32637        1.20482e-05    6.95603e-06    
4.33882        8.03213e-06    5.67957e-06    
4.35127        4.01606e-06    4.01606e-06    
4.36372        4.01606e-06    4.01606e-06    
4.37617        0              0              
4.38862        4.01606e-06    4.01606e-06    
4.40107        0              0              
4.41352        0              0              
4.42597        0              0              
4.43842        0              0              
4.45087        0              0              
4.46332        0              0              
4.47577        4.01606e-06    4.01606e-06    
4.48822        0              0              
4.50067        4.01606e-06    4.01606e-06    
4.51312        0              0              
4.52557        8.03213e-06    5.67957e-06    
4.53802        0              0              
4.55047        0              0              
4.56292        0              0              
4.57537        0              0              
