pT (GeV)       dN/dpt         error          
0.006225       0              0              
0.018675       4.01606e-06    4.01606e-06    
0.031125       0              0              
0.043575       0              0              
0.056025       0              0              
0.068475       8.03213e-06    5.67957e-06    
0.080925       2.00803e-05    8.98019e-06    
0.093375       4.01606e-06    4.01606e-06    
0.105825       8.03213e-06    5.67957e-06    
0.118275       8.03213e-06    5.67957e-06    
0.130725       0              0              
0.143175       8.03213e-06    5.67957e-06    
0.155625       1.20482e-05    6.95603e-06    
0.168075       1.60643e-05    8.03213e-06    
0.180525       2.81124e-05    1.06255e-05    
0.192975       4.01606e-06    4.01606e-06    
0.205425       2.00803e-05    8.98019e-06    
0.217875       1.20482e-05    6.95603e-06    
0.230325       1.60643e-05    8.03213e-06    
0.242775       1.60643e-05    8.03213e-06    
0.255225       3.21285e-05    1.13591e-05    
0.267675       8.03213e-06    5.67957e-06    
0.280125       2.00803e-05    8.98019e-06    
0.292575       3.21285e-05    1.13591e-05    
0.305025       1.60643e-05    8.03213e-06    
0.317475       2.40964e-05    9.83731e-06    
0.329925       2.40964e-05    9.83731e-06    
0.342375       2.40964e-05    9.83731e-06    
0.354825       3.21285e-05    1.13591e-05    
0.367275       3.21285e-05    1.13591e-05    
0.379725       4.01606e-05    1.26999e-05    
0.392175       3.21285e-05    1.13591e-05    
0.404625       5.62249e-05    1.50267e-05    
0.417075       2.00803e-05    8.98019e-06    
0.429525       3.21285e-05    1.13591e-05    
0.441975       3.61446e-05    1.20482e-05    
0.454425       2.81124e-05    1.06255e-05    
0.466875       4.01606e-05    1.26999e-05    
0.479325       4.81928e-05    1.39121e-05    
0.491775       4.41767e-05    1.33198e-05    
0.504225       5.22088e-05    1.44801e-05    
0.516675       8.03213e-05    1.79604e-05    
0.529125       2.00803e-05    8.98019e-06    
0.541575       4.81928e-05    1.39121e-05    
0.554025       5.22088e-05    1.44801e-05    
0.566475       4.81928e-05    1.39121e-05    
0.578925       4.81928e-05    1.39121e-05    
0.591375       6.4257e-05     1.60643e-05    
0.603825       4.41767e-05    1.33198e-05    
0.616275       3.61446e-05    1.20482e-05    
0.628725       3.61446e-05    1.20482e-05    
0.641175       6.0241e-05     1.55541e-05    
0.653625       6.0241e-05     1.55541e-05    
0.666075       5.22088e-05    1.44801e-05    
0.678525       4.81928e-05    1.39121e-05    
0.690975       6.82731e-05    1.65587e-05    
0.703425       7.63052e-05    1.75056e-05    
0.715875       8.83534e-05    1.8837e-05     
0.728325       4.81928e-05    1.39121e-05    
0.740775       4.81928e-05    1.39121e-05    
0.753225       5.62249e-05    1.50267e-05    
0.765675       5.62249e-05    1.50267e-05    
0.778125       4.01606e-05    1.26999e-05    
0.790575       3.61446e-05    1.20482e-05    
0.803025       0.00011245     2.1251e-05     
0.815475       7.22892e-05    1.70387e-05    
0.827925       6.82731e-05    1.65587e-05    
0.840375       8.43373e-05    1.84039e-05    
0.852825       6.4257e-05     1.60643e-05    
0.865275       8.43373e-05    1.84039e-05    
0.877725       9.63855e-05    1.96746e-05    
0.890175       8.43373e-05    1.84039e-05    
0.902625       8.03213e-05    1.79604e-05    
0.915075       5.62249e-05    1.50267e-05    
0.927525       9.23695e-05    1.92604e-05    
0.939975       8.03213e-05    1.79604e-05    
0.952425       8.03213e-05    1.79604e-05    
0.964875       8.03213e-05    1.79604e-05    
0.977325       6.82731e-05    1.65587e-05    
0.989775       5.62249e-05    1.50267e-05    
1.00222        6.82731e-05    1.65587e-05    
1.01467        7.63052e-05    1.75056e-05    
1.02712        5.22088e-05    1.44801e-05    
1.03957        0.000108434    2.08681e-05    
1.05202        7.63052e-05    1.75056e-05    
1.06447        6.82731e-05    1.65587e-05    
1.07692        8.83534e-05    1.8837e-05     
1.08937        7.22892e-05    1.70387e-05    
1.10182        6.0241e-05     1.55541e-05    
1.11427        9.63855e-05    1.96746e-05    
1.12672        9.23695e-05    1.92604e-05    
