p (GeV)        dN/dp          error          
0.00249368     0.0035991      0.000189952    
0.00748103     0.0259055      0.000509784    
0.0124684      0.0686135      0.000829483    
0.0174557      0.135753       0.00116664     
0.0224431      0.216858       0.0014745      
0.0274304      0.327548       0.00181142     
0.0324178      0.458319       0.00214307     
0.0374052      0.60503        0.00246256     
0.0423925      0.780464       0.00279742     
0.0473799      0.970815       0.0031204      
0.0523672      1.18701        0.00344939     
0.0573546      1.41251        0.00376408     
0.0623419      1.668          0.00408951     
0.0673293      1.93013        0.00439851     
0.0723166      2.22015        0.00471873     
0.077304       2.51897        0.00502505     
0.0822913      2.85085        0.00534588     
0.0872787      3.17969        0.00564684     
0.092266       3.5392         0.00595843     
0.0972534      3.91108        0.0062612      
0.102241       4.289          0.00655762     
0.107228       4.68843        0.00685557     
0.112215       5.09909        0.00714765     
0.117203       5.51178        0.00743256     
0.12219        5.96335        0.00773022     
0.127178       6.3885         0.00800389     
0.132165       6.8507         0.00828649     
0.137152       7.32781        0.00857242     
0.14214        7.78582        0.00883524     
0.147127       8.27716        0.00910984     
0.152114       8.77104        0.00937682     
0.157102       9.2686         0.00964042     
0.162089       9.76781        0.00989632     
0.167076       10.2943        0.010157       
0.172064       10.7966        0.0104039      
0.177051       11.3143        0.0106493      
0.182038       11.836         0.0108966      
0.187026       12.3546        0.0111303      
0.192013       12.8799        0.0113645      
0.197          13.4239        0.0116027      
0.201988       13.9357        0.0118171      
0.206975       14.4437        0.0120297      
0.211963       14.9743        0.0122506      
0.21695        15.4938        0.0124592      
0.221937       16.0099        0.0126709      
0.226925       16.5224        0.0128748      
0.231912       17.0541        0.0130741      
0.236899       17.5676        0.0132674      
0.241887       18.075         0.0134622      
0.246874       18.5552        0.0136398      
0.251861       19.0721        0.0138297      
0.256849       19.5232        0.0139909      
0.261836       20.034         0.0141738      
0.266823       20.5138        0.0143377      
0.271811       20.9549        0.0144896      
0.276798       21.4069        0.0146487      
0.281786       21.8672        0.0148089      
0.286773       22.3132        0.0149545      
0.29176        22.761         0.0151043      
0.296748       23.1546        0.0152392      
0.301735       23.6011        0.0153829      
0.306722       23.987         0.0155019      
0.31171        24.3916        0.0156362      
0.316697       24.816         0.0157755      
0.321684       25.1493        0.015877       
0.326672       25.5664        0.0160099      
0.331659       25.9161        0.0161157      
0.336646       26.2525        0.0162245      
0.341634       26.6006        0.0163235      
0.346621       26.9316        0.0164343      
0.351608       27.2105        0.0165164      
0.356596       27.5531        0.0166205      
0.361583       27.8126        0.0166986      
0.366571       28.1284        0.0167879      
0.371558       28.3471        0.0168552      
0.376545       28.6289        0.0169459      
0.381533       28.8904        0.0170209      
0.38652        29.1042        0.0170836      
0.391507       29.3416        0.0171547      
0.396495       29.5947        0.0172264      
0.401482       29.7662        0.0172762      
0.406469       29.9558        0.0173301      
0.411457       30.1613        0.0173894      
0.416444       30.3489        0.0174409      
0.421431       30.4884        0.0174806      
0.426419       30.6868        0.0175372      
0.431406       30.8068        0.0175764      
0.436393       30.9264        0.0176096      
0.441381       31.0281        0.0176411      
0.446368       31.1993        0.0176853      
0.451356       31.2792        0.0177056      
0.456343       31.364         0.0177303      
0.46133        31.4252        0.0177542      
0.466318       31.5338        0.0177822      
0.471305       31.6118        0.0178009      
0.476292       31.6678        0.017821       
0.48128        31.6897        0.0178245      
0.486267       31.7461        0.017837       
0.491254       31.7617        0.017846       
0.496242       31.7922        0.0178503      
0.501229       31.7675        0.0178449      
0.506216       31.774         0.0178462      
0.511204       31.8093        0.0178552      
0.516191       31.8009        0.0178581      
0.521178       31.769         0.017847       
0.526166       31.7564        0.01784        
0.531153       31.7433        0.0178423      
0.536141       31.711         0.0178268      
0.541128       31.6254        0.0178063      
0.546115       31.5986        0.0177978      
0.551103       31.534         0.0177758      
0.55609        31.4572        0.0177598      
0.561077       31.4106        0.0177453      
0.566065       31.294         0.0177122      
0.571052       31.2384        0.0176965      
0.576039       31.175         0.0176829      
0.581027       31.062         0.0176493      
0.586014       31.0069        0.0176288      
0.591001       30.8583        0.0175924      
