y              dN/dy          error          
-2.994         0              0              
-2.982         0              0              
-2.97          0              0              
-2.958         0              0              
-2.946         0              0              
-2.934         0              0              
-2.922         0              0              
-2.91          0              0              
-2.898         0              0              
-2.886         0              0              
-2.874         4.16667e-06    4.16667e-06    
-2.862         0              0              
-2.85          0              0              
-2.838         0              0              
-2.826         0              0              
-2.814         0              0              
-2.802         4.16667e-06    4.16667e-06    
-2.79          4.16667e-06    4.16667e-06    
-2.778         4.16667e-06    4.16667e-06    
-2.766         8.33333e-06    5.89256e-06    
-2.754         4.16667e-06    4.16667e-06    
-2.742         1.66667e-05    8.33333e-06    
-2.73          0              0              
-2.718         1.25e-05       7.21688e-06    
-2.706         4.16667e-06    4.16667e-06    
-2.694         1.66667e-05    8.33333e-06    
-2.682         1.66667e-05    8.33333e-06    
-2.67          8.33333e-06    5.89256e-06    
-2.658         2.5e-05        1.02062e-05    
-2.646         2.91667e-05    1.1024e-05     
-2.634         4.16667e-05    1.31762e-05    
-2.622         2.5e-05        1.02062e-05    
-2.61          5.41667e-05    1.50231e-05    
-2.598         7.08333e-05    1.71796e-05    
-2.586         5.83333e-05    1.55902e-05    
-2.574         4.58333e-05    1.38193e-05    
-2.562         9.58333e-05    1.99826e-05    
-2.55          7.5e-05        1.76777e-05    
-2.538         0.0001125      2.16506e-05    
-2.526         0.000154167    2.53448e-05    
-2.514         0.000141667    2.42956e-05    
-2.502         0.000208333    2.94627e-05    
-2.49          0.00015        2.5e-05        
-2.478         0.000220833    3.03338e-05    
-2.466         0.000229167    3.09008e-05    
-2.454         0.000329167    3.70341e-05    
-2.442         0.0003125      3.60843e-05    
-2.43          0.000391667    4.03972e-05    
-2.418         0.0004375      4.26955e-05    
-2.406         0.000504167    4.58332e-05    
-2.394         0.000625       5.10308e-05    
-2.382         0.000695833    5.3845e-05     
-2.37          0.000641667    5.17068e-05    
-2.358         0.000841667    5.92192e-05    
-2.346         0.0010625      6.65359e-05    
-2.334         0.00120417     7.08328e-05    
-2.322         0.0013         7.35974e-05    
-2.31          0.00145417     7.78391e-05    
-2.298         0.00175417     8.5492e-05     
-2.286         0.00180833     8.68018e-05    
-2.274         0.00206667     9.27949e-05    
-2.262         0.0023875      9.97378e-05    
