p (GeV)        dN/dp          error          
0.00249368     0.00348882     0.000187019    
0.00748103     0.0252739      0.000503337    
0.0124684      0.0692652      0.000833168    
0.0174557      0.132856       0.00115406     
0.0224431      0.22124        0.00148915     
0.0274304      0.326887       0.00181015     
0.0324178      0.464425       0.0021578      
0.0374052      0.605963       0.00246502     
0.0423925      0.776424       0.00279076     
0.0473799      0.974725       0.00312613     
0.0523672      1.18674        0.00344924     
0.0573546      1.41518        0.00376694     
0.0623419      1.6685         0.0040897      
0.0673293      1.93463        0.00440518     
0.0723166      2.22304        0.00472091     
0.077304       2.5419         0.00504867     
0.0822913      2.8524         0.0053469      
0.0872787      3.19274        0.00565578     
0.092266       3.54881        0.00596477     
0.0972534      3.92045        0.00626889     
0.102241       4.29563        0.00656206     
0.107228       4.69671        0.00686065     
0.112215       5.11155        0.007159       
0.117203       5.51951        0.00743976     
0.12219        5.97024        0.00773474     
0.127178       6.41913        0.00802129     
0.132165       6.86966        0.00829517     
0.137152       7.34636        0.008583       
0.14214        7.82148        0.00885424     
0.147127       8.29952        0.00912351     
0.152114       8.78649        0.00938589     
0.157102       9.29044        0.00965025     
0.162089       9.80943        0.00991972     
0.167076       10.2984        0.0101608      
0.172064       10.8247        0.0104172      
0.177051       11.3449        0.0106666      
0.182038       11.8669        0.0109071      
0.187026       12.3938        0.0111495      
0.192013       12.8942        0.0113695      
0.197          13.4357        0.0116064      
0.201988       13.9759        0.0118367      
0.206975       14.4882        0.012051       
0.211963       14.9968        0.0122622      
0.21695        15.5362        0.0124799      
0.221937       16.0603        0.0126841      
0.226925       16.5832        0.0128972      
0.231912       17.082         0.0130868      
0.236899       17.5836        0.0132754      
0.241887       18.1025        0.0134699      
0.246874       18.593         0.013655       
0.251861       19.1044        0.0138396      
0.256849       19.5512        0.0140022      
0.261836       20.0811        0.0141891      
0.266823       20.5523        0.0143583      
0.271811       21.0108        0.0145149      
0.276798       21.4748        0.0146723      
0.281786       21.9381        0.0148292      
0.286773       22.3747        0.0149764      
0.29176        22.8229        0.0151249      
0.296748       23.2438        0.0152648      
0.301735       23.6461        0.0154008      
0.306722       24.0375        0.0155202      
0.31171        24.4801        0.0156674      
0.316697       24.8432        0.0157802      
0.321684       25.226         0.0159025      
