pT (GeV)       dN/dpt         error          
0.00349368     0.630797       0.00212429     
0.010481       1.87948        0.00366793     
0.0174684      3.13599        0.00473854     
0.0244557      4.38878        0.00560381     
0.0314431      5.6366         0.00635151     
0.0384304      6.8543         0.00700364     
0.0454178      8.10105        0.00761404     
0.0524052      9.29609        0.00815746     
0.0593925      10.5089        0.00867131     
0.0663799      11.6772        0.00914021     
0.0733672      12.8444        0.00958834     
0.0803546      13.9972        0.0100051      
0.0873419      15.1127        0.0104012      
0.0943293      16.2264        0.0107734      
0.101317       17.3004        0.0111261      
0.108304       18.3674        0.0114642      
0.115291       19.3887        0.0117772      
0.122279       20.3969        0.0120813      
0.129266       21.3884        0.0123705      
0.136253       22.3144        0.0126345      
0.143241       23.2271        0.0128901      
0.150228       24.112         0.0131348      
0.157215       24.9721        0.0133684      
0.164203       25.8095        0.0135927      
0.17119        26.6115        0.0137993      
0.178178       27.3354        0.0139822      
0.185165       28.0771        0.0141731      
0.192152       28.7944        0.0143506      
0.19914        29.4372        0.0145107      
0.206127       30.0668        0.0146681      
0.213114       30.6693        0.0148116      
0.220102       31.2145        0.0149376      
0.227089       31.7654        0.015078       
0.234076       32.2576        0.0151961      
0.241064       32.6692        0.0152897      
0.248051       33.1078        0.0153877      
0.255038       33.5415        0.0154911      
0.262026       33.921         0.0155803      
0.269013       34.227         0.015648       
0.276          34.5333        0.0157173      
0.282988       34.8344        0.0157905      
0.289975       35.0572        0.0158388      
0.296963       35.2416        0.0158818      
0.30395        35.4756        0.0159313      
0.310937       35.6339        0.0159746      
0.317925       35.7211        0.0159852      
0.324912       35.8438        0.0160142      
0.331899       35.9777        0.0160427      
0.338887       36.0361        0.0160551      
0.345874       36.0461        0.016061       
0.352861       36.046         0.0160625      
0.359849       36.0592        0.0160644      
0.366836       35.9978        0.0160505      
0.373823       35.9889        0.0160464      
0.380811       35.8921        0.0160252      
0.387798       35.8285        0.016015       
0.394786       35.7107        0.0159852      
0.401773       35.6038        0.015961       
0.40876        35.4642        0.0159279      
0.415748       35.2838        0.0158934      
0.422735       35.1468        0.0158593      
0.429722       34.9254        0.0158144      
0.43671        34.7225        0.0157564      
0.443697       34.5232        0.0157187      
0.450684       34.2855        0.015658       
0.457672       34.0718        0.0156153      
0.464659       33.8012        0.0155502      
0.471646       33.5775        0.0155013      
0.478634       33.3007        0.015435       
0.485621       33.0139        0.015367       
0.492608       32.7105        0.0152953      
0.499596       32.4181        0.0152296      
0.506583       32.1362        0.0151628      
0.513571       31.8429        0.0150961      
0.520558       31.509         0.0150151      
0.527545       31.1661        0.0149347      
0.534533       30.8828        0.0148656      
0.54152        30.5632        0.0147875      
0.548507       30.194         0.0146993      
0.555495       29.8972        0.0146205      
0.562482       29.5299        0.0145414      
0.569469       29.187         0.0144526      
0.576457       28.8503        0.0143629      
0.583444       28.4808        0.0142727      
0.590431       28.1303        0.014186       
0.597419       27.7757        0.014098       
0.604406       27.445         0.014015       
0.611393       27.0482        0.0139099      
0.618381       26.7246        0.0138331      
0.625368       26.3535        0.0137318      
0.632356       25.995         0.0136397      
0.639343       25.6574        0.0135544      
0.64633        25.2892        0.0134537      
0.653318       24.9553        0.0133628      
0.660305       24.5868        0.0132671      
0.667292       24.226         0.0131651      
0.67428        23.9008        0.0130767      
0.681267       23.5303        0.0129762      
0.688254       23.1907        0.0128792      
0.695242       22.8286        0.0127805      
0.702229       22.4721        0.0126839      
0.709216       22.1537        0.01259        
0.716204       21.806         0.0124921      
0.723191       21.4705        0.0123954      
0.730178       21.1249        0.0122968      
0.737166       20.8126        0.0121994      
0.744153       20.4655        0.0121025      
0.751141       20.1195        0.011998       
0.758128       19.8184        0.0119079      
0.765115       19.4984        0.0118097      
0.772103       19.1469        0.0117046      
0.77909        18.852         0.0116115      
0.786077       18.535         0.0115147      
0.793065       18.2284        0.0114212      
0.800052       17.9222        0.0113238      
0.807039       17.6198        0.0112284      
0.814027       17.3215        0.0111337      
0.821014       17.0339        0.01104        
0.828001       16.7108        0.0109369      
0.834989       16.4315        0.0108447      
0.841976       16.1549        0.0107504      
0.848964       15.8749        0.0106598      
0.855951       15.5898        0.0105608      
0.862938       15.3131        0.0104692      
0.869926       15.0509        0.0103766      
