y              dN/dy          error          
-2.994         0              0              
-2.982         0              0              
-2.97          0              0              
-2.958         0              0              
-2.946         0              0              
-2.934         0              0              
-2.922         0              0              
-2.91          0              0              
-2.898         0              0              
-2.886         0              0              
-2.874         0              0              
-2.862         0              0              
-2.85          0              0              
-2.838         0              0              
-2.826         4.16667e-06    4.16667e-06    
-2.814         0              0              
-2.802         0              0              
-2.79          8.33333e-06    5.89256e-06    
-2.778         4.16667e-06    4.16667e-06    
-2.766         4.16667e-06    4.16667e-06    
-2.754         8.33333e-06    5.89256e-06    
-2.742         0              0              
-2.73          0              0              
-2.718         1.25e-05       7.21688e-06    
-2.706         1.66667e-05    8.33333e-06    
-2.694         8.33333e-06    5.89256e-06    
-2.682         2.5e-05        1.02062e-05    
-2.67          2.08333e-05    9.31695e-06    
-2.658         2.5e-05        1.02062e-05    
-2.646         2.08333e-05    9.31695e-06    
-2.634         1.66667e-05    8.33333e-06    
-2.622         3.33333e-05    1.17851e-05    
-2.61          2.91667e-05    1.1024e-05     
-2.598         4.58333e-05    1.38193e-05    
-2.586         5.83333e-05    1.55902e-05    
-2.574         7.91667e-05    1.81621e-05    
-2.562         7.08333e-05    1.71796e-05    
-2.55          8.75e-05       1.90941e-05    
-2.538         0.000108333    2.12459e-05    
-2.526         0.0001375      2.39357e-05    
-2.514         0.00015        2.5e-05        
-2.502         0.0001375      2.39357e-05    
-2.49          0.000183333    2.76385e-05    
-2.478         0.000229167    3.09008e-05    
-2.466         0.000254167    3.25427e-05    
-2.454         0.000325       3.67989e-05    
-2.442         0.000320833    3.65623e-05    
-2.43          0.000404167    4.10368e-05    
-2.418         0.000370833    3.93082e-05    
-2.406         0.000429167    4.22869e-05    
-2.394         0.0005625      4.84121e-05    
-2.382         0.000633333    5.13699e-05    
-2.37          0.000795833    5.75842e-05    
-2.358         0.0007875      5.72819e-05    
-2.346         0.000966667    6.34644e-05    
-2.334         0.001025       6.53512e-05    
-2.322         0.00116667     6.97212e-05    
-2.31          0.00125833     7.24084e-05    
-2.298         0.00137917     7.58052e-05    
-2.286         0.00158333     8.12225e-05    
-2.274         0.00195833     9.03301e-05    
-2.262         0.00225417     9.69129e-05    
-2.25          0.00255417     0.00010316     
