p (GeV)        dN/dp          error          
0.00249761     0.00365349     0.000191231    
0.00749283     0.0241231      0.000491357    
0.0124881      0.0678548      0.000824116    
0.0174833      0.130935       0.00114497     
0.0224785      0.213164       0.00146096     
0.0274737      0.319836       0.00179        
0.0324689      0.444114       0.00210807     
0.0374642      0.59599        0.00244239     
0.0424594      0.760186       0.00275886     
0.0474546      0.942431       0.00307122     
0.0524498      1.14827        0.00339023     
0.0574451      1.37772        0.00371446     
0.0624403      1.61657        0.00402259     
0.0674355      1.88336        0.00434224     
0.0724307      2.16275        0.00465235     
0.0774259      2.4512         0.00495357     
0.0824212      2.77373        0.00526966     
0.0874164      3.10322        0.00557573     
0.0924116      3.45619        0.00588203     
0.0974068      3.81829        0.00618313     
0.102402       4.17366        0.00646469     
0.107397       4.56601        0.00676124     
0.112392       4.95209        0.00704241     
0.117388       5.39589        0.00734794     
0.122383       5.79944        0.00761899     
0.127378       6.23722        0.00790228     
0.132373       6.68662        0.00818168     
0.137369       7.13108        0.00844877     
0.142364       7.60715        0.00872608     
0.147359       8.07666        0.00899237     
0.152354       8.56717        0.00925885     
0.157349       9.08062        0.00953266     
0.162345       9.52559        0.00976299     
0.16734        10.047         0.0100276      
0.172335       10.5499        0.0102758      
0.17733        11.0351        0.0105101      
0.182326       11.5565        0.0107539      
0.187321       12.0788        0.0109949      
0.192316       12.5792        0.0112229      
0.197311       13.0826        0.0114427      
0.202306       13.6125        0.0116701      
0.207302       14.1091        0.0118845      
0.212297       14.6261        0.0120981      
0.217292       15.1369        0.0123091      
0.222287       15.6557        0.0125198      
0.227283       16.1441        0.012711       
0.232278       16.6427        0.0129086      
0.237273       17.1792        0.0131078      
0.242268       17.66          0.0132943      
0.247263       18.1127        0.0134669      
0.252259       18.6286        0.0136544      
0.257254       19.1191        0.0138336      
0.262249       19.5699        0.0139953      
0.267244       20.0282        0.014156       
0.27224        20.4892        0.0143199      
0.277235       20.9293        0.0144749      
0.28223        21.3948        0.0146345      
0.287225       21.831         0.0147823      
0.29222        22.2533        0.0149254      
0.297216       22.6783        0.0150637      
0.302211       23.0797        0.0151999      
0.307206       23.499         0.015336       
0.312201       23.8792        0.0154622      
0.317197       24.2365        0.0155753      
0.322192       24.6354        0.0157075      
0.327187       24.9893        0.0158136      
0.332182       25.367         0.0159366      
0.337177       25.6837        0.0160282      
0.342173       26.0285        0.0161399      
0.347168       26.3472        0.0162396      
0.352163       26.6697        0.016338       
0.357158       26.9527        0.0164235      
0.362154       27.2478        0.0165135      
0.367149       27.5112        0.0165929      
0.372144       27.793         0.0166815      
0.377139       28.0293        0.01675        
0.382134       28.3084        0.0168337      
0.38713        28.5546        0.0169104      
0.392125       28.8035        0.0169849      
0.39712        29.0129        0.0170424      
0.402115       29.1865        0.0170889      
0.407111       29.3888        0.0171532      
0.412106       29.5627        0.0172056      
0.417101       29.7319        0.0172513      
0.422096       29.9044        0.0173008      
0.427091       30.0722        0.0173454      
0.432087       30.2312        0.0173974      
0.437082       30.3019        0.0174159      
0.442077       30.4713        0.0174653      
0.447072       30.5428        0.0174811      
0.452068       30.6933        0.0175228      
0.457063       30.7677        0.0175518      
0.462058       30.8322        0.0175719      
0.467053       30.9372        0.0176008      
0.472048       30.9978        0.0176158      
0.477044       31.0292        0.0176249      
0.482039       31.1448        0.0176573      
0.487034       31.1349        0.0176512      
0.492029       31.1698        0.0176582      
0.497025       31.1919        0.0176658      
0.50202        31.1994        0.0176707      
0.507015       31.2185        0.0176779      
0.51201        31.2009        0.0176754      
0.517005       31.2263        0.0176793      
0.522001       31.2067        0.017673       
0.526996       31.1882        0.0176649      
0.531991       31.1374        0.0176572      
0.536986       31.1256        0.0176504      
0.541982       31.0672        0.0176338      
0.546977       31.0174        0.0176211      
0.551972       30.9637        0.017597       
0.556967       30.9258        0.017596       
0.561962       30.8282        0.017567       
0.566958       30.7453        0.0175444      
0.571953       30.7008        0.0175269      
0.576948       30.6056        0.0174951      
0.581943       30.5416        0.0174862      
0.586939       30.4128        0.0174426      
0.591934       30.2983        0.017412       
0.596929       30.2003        0.0173837      
0.601924       30.0893        0.0173522      
0.606919       30.002         0.0173321      
0.611915       29.8452        0.0172878      
0.61691        29.7224        0.017248       
0.621905       29.6028        0.0172114      
0.6269         29.4654        0.0171773      
0.631896       29.3704        0.017146       
0.636891       29.2277        0.0171069      
0.641886       29.0723        0.0170596      
0.646881       28.931         0.0170193      
0.651876       28.757         0.0169636      
0.656872       28.5953        0.0169175      
0.661867       28.4647        0.0168792      
0.666862       28.2755        0.0168193      
0.671857       28.1432        0.016783       
0.676853       27.9615        0.0167277      
0.681848       27.7798        0.0166739      
0.686843       27.6437        0.016637       
0.691838       27.4433        0.0165758      
0.696833       27.3087        0.0165359      
0.701829       27.1278        0.0164801      
0.706824       26.9356        0.0164216      
0.711819       26.7731        0.0163699      
0.716814       26.5693        0.0163091      
0.72181        26.4206        0.0162623      
0.726805       26.2103        0.0162006      
0.7318         26.0099        0.0161341      
0.736795       25.8282        0.0160773      
0.74179        25.6545        0.0160265      
0.746786       25.4647        0.0159651      
0.751781       25.263         0.0159034      
0.756776       25.064         0.0158404      
0.761771       24.8558        0.0157719      
0.766767       24.6909        0.0157223      
0.771762       24.4654        0.015648       
0.776757       24.2875        0.0155916      
0.781752       24.0836        0.0155284      
0.786747       23.8739        0.0154586      
0.791743       23.7271        0.0154112      
0.796738       23.522         0.0153444      
0.801733       23.2809        0.0152671      
0.806728       23.1221        0.015208       
0.811724       22.9405        0.0151508      
0.816719       22.7029        0.0150747      
0.821714       22.5285        0.0150154      
0.826709       22.323         0.0149447      
0.831704       22.1564        0.0148911      
0.8367         21.9488        0.0148252      
0.841695       21.7075        0.0147361      
0.84669        21.5432        0.0146817      
0.851685       21.3526        0.014619       
0.856681       21.1296        0.014542       
0.861676       20.9401        0.0144803      
0.866671       20.7564        0.0144134      
0.871666       20.5581        0.0143431      
0.876661       20.3489        0.0142718      
0.881657       20.1664        0.0142043      
0.886652       19.9445        0.0141276      
0.891647       19.7734        0.0140694      
0.896642       19.5744        0.0140025      
0.901638       19.3887        0.0139315      
0.906633       19.1842        0.0138532      
0.911628       19.0177        0.0137961      
0.916623       18.8132        0.0137207      
0.921618       18.6221        0.0136483      
0.926614       18.4383        0.0135858      
0.931609       18.2333        0.0135104      
0.936604       18.0614        0.0134425      
0.941599       17.8456        0.0133651      
0.946595       17.7093        0.0133164      
0.95159        17.5098        0.0132396      
0.956585       17.329         0.0131731      
0.96158        17.1389        0.0130959      
0.966575       16.976         0.0130359      
0.971571       16.7597        0.0129521      
0.976566       16.5771        0.0128826      
0.981561       16.4062        0.0128139      
0.986556       16.2356        0.0127484      
0.991552       16.0562        0.0126742      
0.996547       15.9005        0.012613       
1.00154        15.7072        0.0125396      
1.00654        15.513         0.0124588      
1.01153        15.3969        0.0124144      
1.01653        15.1932        0.0123306      
1.02152        15.0505        0.0122742      
1.02652        14.8738        0.0122014      
1.03151        14.7043        0.0121322      
1.03651        14.5326        0.012063       
1.0415         14.3845        0.0119974      
1.0465         14.2105        0.0119276      
1.05149        14.0436        0.0118563      
1.05649        13.8997        0.0117947      
1.06148        13.7038        0.0117113      
1.06648        13.574         0.0116548      
1.07148        13.436         0.0115956      
1.07647        13.2624        0.0115207      
1.08147        13.0945        0.0114468      
1.08646        12.9774        0.0113938      
1.09146        12.8073        0.0113215      
1.09645        12.6528        0.0112503      
1.10145        12.5249        0.0111974      
1.10644        12.3824        0.0111322      
1.11144        12.2373        0.0110678      
1.11643        12.0526        0.0109847      
1.12143        11.905         0.0109155      
1.12642        11.7792        0.0108585      
1.13142        11.6248        0.0107846      
1.13641        11.4889        0.010725       
1.14141        11.3599        0.0106663      
1.1464         11.2304        0.0106013      
1.1514         11.1015        0.010542       
1.15639        10.9534        0.0104731      
1.16139        10.8138        0.0104034      
1.16638        10.7017        0.0103508      
1.17138        10.5661        0.0102868      
1.17637        10.4355        0.0102185      
1.18137        10.3105        0.0101564      
1.18637        10.1701        0.0100909      
1.19136        10.0527        0.0100312      
1.19636        9.9233         0.00996451     
1.20135        9.80596        0.00990746     
1.20635        9.66899        0.00983691     
1.21134        9.5525         0.0097795      
1.21634        9.44271        0.0097247      
1.22133        9.33863        0.00966681     
1.22633        9.20112        0.00959574     
1.23132        9.0807         0.00953348     
1.23632        8.98154        0.00948068     
1.24131        8.85872        0.00941772     
1.24631        8.75993        0.00936329     
1.2513         8.64585        0.00930145     
1.2563         8.50926        0.0092312      
1.26129        8.42319        0.00918439     
1.26629        8.31469        0.00912195     
1.27128        8.20285        0.00906009     
1.27628        8.09123        0.00899712     
1.28127        7.98966        0.00894496     
1.28627        7.88109        0.00888016     
1.29126        7.79201        0.00883407     
1.29626        7.682          0.00876917     
1.30126        7.59249        0.00871664     
1.30625        7.49611        0.00866313     
1.31125        7.39492        0.00860149     
1.31624        7.28077        0.00853829     
1.32124        7.18801        0.00848191     
1.32623        7.11308        0.00843888     
1.33123        7.00964        0.00837537     
1.33622        6.91914        0.00832055     
1.34122        6.83768        0.0082716      
1.34621        6.7531         0.00822153     
1.35121        6.65393        0.0081625      
1.3562         6.55429        0.00809896     
1.3612         6.48558        0.00805811     
1.36619        6.38725        0.00799562     
1.37119        6.29456        0.00793805     
1.37618        6.23578        0.00790102     
1.38118        6.14568        0.00784196     
1.38617        6.05741        0.00778514     
1.39117        5.98795        0.00774259     
1.39616        5.89126        0.00767843     
1.40116        5.82634        0.00763624     
1.40615        5.7451         0.0075831      
1.41115        5.65366        0.00752246     
1.41615        5.60351        0.00748911     
1.42114        5.52905        0.00743829     
1.42614        5.4434         0.00738127     
1.43113        5.33566        0.00730795     
1.43613        5.29197        0.00727785     
1.44112        5.2141         0.00722573     
1.44612        5.14763        0.00718032     
1.45111        5.08113        0.00712984     
1.45611        5.01052        0.00708134     
1.4611         4.94405        0.00703471     
1.4661         4.87547        0.00698549     
1.47109        4.80637        0.00693591     
1.47609        4.73686        0.00688407     
1.48108        4.67554        0.00684273     
1.48608        4.60248        0.00678853     
1.49107        4.55265        0.00675021     
1.49607        4.47216        0.00669311     
1.50106        4.41939        0.00665117     
1.50606        4.35573        0.00660351     
1.51105        4.29774        0.00655868     
1.51605        4.24061        0.00651589     
1.52105        4.18519        0.00647188     
1.52604        4.12224        0.00642277     
1.53104        4.05734        0.00637215     
1.53603        4.01298        0.00633762     
1.54103        3.96586        0.00630061     
1.54602        3.89636        0.00624481     
1.55102        3.84059        0.00619919     
1.55601        3.77672        0.00614911     
1.56101        3.73475        0.00611322     
1.566          3.67988        0.0060693      
1.571          3.63055        0.00602787     
1.57599        3.58005        0.00598615     
1.58099        3.52469        0.00594079     
1.58598        3.47919        0.00590042     
1.59098        3.43215        0.00586185     
1.59597        3.3846         0.0058208      
1.60097        3.33904        0.00577959     
1.60596        3.28759        0.00573588     
1.61096        3.2423         0.00569608     
1.61595        3.18816        0.00564932     
1.62095        3.14315        0.00560997     
1.62594        3.09818        0.00556755     
1.63094        3.04887        0.00552342     
1.63594        3.01419        0.00549273     
1.64093        2.97245        0.00545456     
1.64593        2.93493        0.00542046     
1.65092        2.89329        0.00538082     
1.65592        2.86086        0.00535083     
1.66091        2.81568        0.00530883     
1.66591        2.77272        0.00526777     
1.6709         2.734          0.00523063     
1.6759         2.6956         0.00519422     
1.68089        2.64297        0.00514474     
1.68589        2.6157         0.00511646     
1.69088        2.57425        0.00507521     
1.69588        2.5333         0.00503551     
1.70087        2.50209        0.0050047      
1.70587        2.45976        0.00496298     
1.71086        2.43925        0.00494056     
1.71586        2.3942         0.00489598     
1.72085        2.36073        0.00486007     
1.72585        2.32236        0.00482233     
1.73084        2.2869         0.00478511     
1.73584        2.2546         0.00475161     
1.74083        2.22718        0.00472109     
1.74583        2.18593        0.00467704     
1.75083        2.16779        0.00465759     
1.75582        2.12628        0.00461354     
1.76082        2.09341        0.0045771      
1.76581        2.06366        0.00454577     
1.77081        2.03229        0.00451064     
1.7758         2.01575        0.00449192     
1.7808         1.9836         0.00445636     
1.78579        1.94576        0.00441217     
1.79079        1.91322        0.00437598     
1.79578        1.89931        0.0043615      
1.80078        1.86434        0.00431947     
1.80577        1.8353         0.00428622     
1.81077        1.80917        0.00425665     
1.81576        1.78654        0.00423004     
1.82076        1.75944        0.0041968      
1.82575        1.72754        0.00415928     
1.83075        1.70462        0.00413026     
1.83574        1.68431        0.00410659     
1.84074        1.65306        0.00406808     
1.84573        1.6328         0.00404336     
1.85073        1.60523        0.00400693     
1.85572        1.58351        0.0039807      
1.86072        1.56507        0.00395871     
1.86572        1.53273        0.00391711     
1.87071        1.51729        0.00389719     
1.87571        1.48899        0.00386157     
1.8807         1.47369        0.00384175     
1.8857         1.44184        0.00379892     
1.89069        1.4266         0.00377973     
1.89569        1.40264        0.00374767     
1.90068        1.38212        0.00371886     
1.90568        1.3595         0.00368822     
1.91067        1.34962        0.00367448     
1.91567        1.31681        0.00362992     
1.92066        1.30128        0.00360868     
1.92566        1.28931        0.00359209     
1.93065        1.26447        0.00355727     
1.93565        1.24372        0.0035279      
1.94064        1.2271         0.00350503     
1.94564        1.20413        0.00347233     
1.95063        1.19421        0.00345742     
1.95563        1.1747         0.00342867     
1.96062        1.15593        0.00340175     
1.96562        1.13534        0.00337052     
1.97062        1.11502        0.0033414      
1.97561        1.10585        0.00332746     
1.98061        1.08026        0.00328848     
1.9856         1.07129        0.00327373     
1.9906         1.05665        0.00325178     
1.99559        1.034          0.00321738     
2.00059        1.01462        0.00318725     
2.00558        1.00472        0.00317169     
2.01058        0.991908       0.00315088     
2.01557        0.977784       0.0031292      
2.02057        0.964672       0.00310785     
2.02556        0.943422       0.00307223     
2.03056        0.930499       0.00305187     
2.03555        0.918668       0.00303185     
2.04055        0.902462       0.00300606     
2.04554        0.893774       0.00299216     
2.05054        0.87929        0.00296566     
2.05553        0.867079       0.0029458      
2.06053        0.849372       0.00291517     
2.06552        0.834648       0.00289104     
2.07052        0.820284       0.00286435     
2.07551        0.813357       0.00285394     
2.08051        0.803848       0.00283604     
2.08551        0.789995       0.00281254     
2.0905         0.7743         0.00278404     
2.0955         0.762058       0.00276205     
2.10049        0.751138       0.00274186     
2.10549        0.742209       0.00272516     
2.11048        0.730328       0.00270341     
2.11548        0.719067       0.00268324     
2.12047        0.705334       0.00265715     
2.12547        0.696325       0.00263972     
2.13046        0.687877       0.00262384     
2.13546        0.675506       0.0026003      
2.14045        0.668719       0.00258787     
2.14545        0.652013       0.00255412     
2.15044        0.645307       0.00254147     
2.15544        0.632645       0.00251689     
2.16043        0.624257       0.00249998     
2.16543        0.613546       0.0024785      
2.17042        0.60718        0.00246565     
2.17542        0.594358       0.00243915     
2.18041        0.588923       0.0024287      
2.18541        0.574969       0.00239898     
2.1904         0.566662       0.00238231     
2.1954         0.562317       0.00237183     
2.2004         0.551417       0.00234893     
2.20539        0.546122       0.00233837     
2.21039        0.536583       0.00231784     
2.21538        0.529146       0.00230168     
2.22038        0.516544       0.00227373     
2.22537        0.508906       0.00225637     
2.23037        0.504152       0.00224621     
2.23536        0.491049       0.00221647     
2.24036        0.486865       0.00220755     
2.24535        0.48181        0.00219603     
2.25035        0.478457       0.00218836     
2.25534        0.463483       0.00215415     
2.26034        0.462842       0.00215234     
2.26533        0.450621       0.00212344     
2.27033        0.443674       0.00210717     
2.27532        0.437238       0.00209161     
2.28032        0.429731       0.00207384     
2.28531        0.424115       0.0020603      
2.29031        0.417469       0.00204396     
2.2953         0.408711       0.00202269     
2.3003         0.404477       0.00201203     
2.30529        0.399912       0.00200069     
2.31029        0.394967       0.00198833     
2.31529        0.385468       0.00196437     
2.32028        0.37714        0.00194327     
2.32528        0.373006       0.00193264     
2.33027        0.36636        0.00191452     
2.33527        0.364198       0.00190899     
2.34026        0.357101       0.00189094     
2.34526        0.351456       0.00187546     
2.35025        0.346241       0.00186192     
2.35525        0.338684       0.00184129     
2.36024        0.332568       0.00182481     
2.36524        0.329895       0.00181705     
2.37023        0.32473        0.00180371     
2.37523        0.315471       0.00177712     
2.38022        0.313229       0.00177036     
2.38522        0.307834       0.00175504     
2.39021        0.306002       0.00174976     
2.39521        0.301038       0.00173595     
