pT (GeV)       dN/dpt         error          
0.00349761     0.614548       0.00209633     
0.0104928      1.84579        0.00363206     
0.0174881      3.06293        0.00467841     
0.0244833      4.2879         0.00553581     
0.0314785      5.48682        0.00626217     
0.0384737      6.69569        0.00691766     
0.0454689      7.8827         0.0075051      
0.0524642      9.07153        0.00805162     
0.0594594      10.2392        0.00855507     
0.0664546      11.389         0.00902283     
0.0734498      12.5519        0.00947131     
0.0804451      13.6526        0.00987712     
0.0874403      14.7446        0.0102669      
0.0944355      15.8404        0.0106437      
0.101431       16.8923        0.0109896      
0.108426       17.9179        0.0113129      
0.115421       18.9243        0.0116298      
0.122416       19.8866        0.0119248      
0.129412       20.8369        0.0122025      
0.136407       21.7793        0.0124783      
0.143402       22.6582        0.0127237      
0.150397       23.5362        0.0129723      
0.157392       24.3889        0.0132034      
0.164388       25.2286        0.0134313      
0.171383       25.9862        0.0136324      
0.178378       26.7028        0.0138137      
0.185373       27.4175        0.0139982      
0.192369       28.1154        0.0141782      
0.199364       28.7482        0.0143317      
0.206359       29.3701        0.0144881      
0.213354       29.9425        0.0146328      
0.220349       30.485         0.0147606      
0.227345       31.018         0.0148924      
0.23434        31.5075        0.0150092      
0.241335       31.9522        0.0151108      
0.24833        32.3676        0.0152113      
0.255326       32.7733        0.0153079      
0.262321       33.1459        0.0153928      
0.269316       33.4675        0.0154669      
0.276311       33.7842        0.0155437      
0.283306       34.0605        0.0156071      
0.290302       34.2934        0.0156622      
0.297297       34.5212        0.0157115      
0.304292       34.6822        0.0157437      
0.311287       34.8665        0.0157851      
0.318283       34.9699        0.0158126      
0.325278       35.1043        0.0158418      
0.332273       35.1834        0.0158603      
0.339268       35.2592        0.0158754      
0.346263       35.269         0.0158766      
0.353259       35.3376        0.0158912      
0.360254       35.3206        0.0158906      
0.367249       35.2424        0.015869       
0.374244       35.2615        0.015877       
0.38124        35.1772        0.0158568      
0.388235       35.098         0.0158415      
0.39523        34.9862        0.0158097      
0.402225       34.8646        0.0157836      
0.40922        34.7162        0.0157537      
0.416216       34.5696        0.0157223      
0.423211       34.4499        0.0156896      
0.430206       34.2352        0.015648       
0.437201       34.0755        0.0156077      
0.444197       33.8319        0.0155501      
0.451192       33.6365        0.0155051      
0.458187       33.3918        0.0154514      
0.465182       33.1349        0.0153857      
0.472177       32.9209        0.0153357      
0.479173       32.6225        0.0152716      
0.486168       32.3766        0.0152105      
0.493163       32.0677        0.0151416      
0.500158       31.7889        0.0150714      
0.507154       31.52          0.0150091      
0.514149       31.2222        0.0149377      
0.521144       30.9037        0.0148631      
0.528139       30.5917        0.014791       
0.535134       30.267         0.0147105      
0.54213        29.9902        0.0146417      
0.549125       29.6354        0.0145543      
0.55612        29.3232        0.0144775      
0.563115       28.999         0.0143935      
0.570111       28.6455        0.0143077      
0.577106       28.2982        0.0142207      
0.584101       27.9533        0.0141403      
0.591096       27.6008        0.0140462      
0.598091       27.2804        0.0139633      
0.605087       26.9577        0.0138776      
0.612082       26.6041        0.0137901      
0.619077       26.2597        0.0137002      
0.626072       25.9018        0.0136069      
0.633068       25.5673        0.0135175      
0.640063       25.2054        0.0134237      
0.647058       24.8478        0.0133262      
0.654053       24.5102        0.0132367      
0.661048       24.1489        0.0131374      
0.668044       23.817         0.013049       
0.675039       23.4668        0.0129497      
0.682034       23.1193        0.0128558      
0.689029       22.7951        0.0127647      
0.696025       22.4418        0.0126676      
0.70302        22.1234        0.0125761      
0.710015       21.7503        0.0124653      
0.71701        21.4639        0.0123888      
0.724005       21.1056        0.012284       
0.731001       20.7841        0.0121871      
0.737996       20.4421        0.0120845      
0.744991       20.0994        0.0119884      
0.751986       19.8057        0.0119009      
0.758982       19.4757        0.011798       
0.765977       19.1534        0.0117005      
0.772972       18.8601        0.0116141      
0.779967       18.5093        0.0115007      
0.786962       18.2407        0.011416       
0.793958       17.9339        0.0113214      
0.800953       17.6314        0.0112227      
0.807948       17.3235        0.0111265      
0.814943       17.0255        0.0110309      
0.821939       16.7372        0.0109384      
0.828934       16.4499        0.0108438      
0.835929       16.1731        0.0107493      
0.842924       15.9025        0.0106614      
0.849919       15.612         0.0105627      
0.856915       15.3433        0.0104716      
0.86391        15.0784        0.0103804      
0.870905       14.811         0.0102895      
0.8779         14.5383        0.0101936      
0.884896       14.2699        0.0101007      
0.891891       14.0095        0.0100063      
0.898886       13.7547        0.00991542     
0.905881       13.5196        0.00983081     
0.912876       13.2766        0.0097419      
0.919872       13.024         0.00964778     
0.926867       12.8051        0.0095662      
0.933862       12.5658        0.00947382     
0.940857       12.3334        0.00938627     
0.947853       12.1031        0.0092973      
0.954848       11.8483        0.0092034      
0.961843       11.6486        0.00912666     
0.968838       11.4235        0.00903826     
0.975833       11.2005        0.00894607     
0.982829       11.0113        0.00887185     
0.989824       10.7942        0.00878519     
0.996819       10.5914        0.00870156     
1.00381        10.397         0.00861869     
1.01081        10.1857        0.00853309     
1.0178         9.97847        0.00844481     
1.0248         9.80722        0.00837366     
1.0318         9.62699        0.00829585     
1.03879        9.44289        0.00821451     
1.04579        9.24522        0.0081263      
1.05278        9.04705        0.00804193     
