p (GeV)        dN/dp          error          
0.00311568     0.000112335    3.00228e-05    
0.00934704     0.000746226    7.73798e-05    
0.0155784      0.00208622     0.000129381    
0.0218098      0.00454154     0.000190893    
0.0280411      0.00653148     0.000228924    
0.0342725      0.0101583      0.00028549     
0.0405038      0.0131994      0.000325426    
0.0467352      0.0190488      0.000390932    
0.0529666      0.0233577      0.000432889    
0.0591979      0.0302502      0.000492887    
0.0654293      0.0374637      0.000548212    
0.0716606      0.0443081      0.000596285    
0.077892       0.0512408      0.00064111     
0.0841234      0.0602356      0.000695179    
0.0903547      0.0710359      0.000754978    
0.0965861      0.0801671      0.000802072    
0.102817       0.0893384      0.000846584    
0.109049       0.101382       0.000901649    
0.11528        0.11276        0.000951204    
0.121512       0.125639       0.00100404     
0.127743       0.138926       0.00105602     
0.133974       0.150336       0.00109838     
0.140206       0.163696       0.00114588     
0.146437       0.178428       0.00119641     
0.152668       0.193337       0.0012458      
0.1589         0.208887       0.00129444     
0.165131       0.227711       0.001352       
0.171362       0.24205        0.00139368     
0.177594       0.258515       0.00144011     
0.183825       0.277243       0.00149134     
0.190056       0.295907       0.00154139     
0.196288       0.310887       0.00157971     
0.202519       0.329992       0.00162744     
0.208751       0.351232       0.00167846     
0.214982       0.37069        0.0017247      
0.221213       0.391054       0.00177148     
0.227445       0.411989       0.00181811     
0.233676       0.434392       0.00186691     
0.239907       0.454812       0.001911       
0.246139       0.475843       0.0019543      
0.25237        0.497556       0.00199831     
0.258601       0.522125       0.00204677     
0.264833       0.547722       0.0020966      
0.271064       0.566602       0.00213196     
0.277296       0.58602        0.00216856     
0.283527       0.61225        0.00221617     
0.289758       0.635287       0.00225777     
0.29599        0.65797        0.00229721     
0.302221       0.684995       0.00234451     
0.308452       0.711161       0.00238872     
0.314684       0.733668       0.00242669     
0.320915       0.758237       0.00246634     
0.327146       0.780006       0.00250168     
0.333378       0.808307       0.00254726     
0.339609       0.83367        0.00258632     
0.34584        0.859275       0.00262621     
0.352072       0.885601       0.00266601     
0.358303       0.912369       0.00270602     
0.364535       0.934668       0.00273834     
0.370766       0.959494       0.00277503     
0.376997       0.980741       0.00280507     
0.383229       1.01266        0.00285095     
0.38946        1.03989        0.00288872     
0.395691       1.06269        0.00292074     
0.401923       1.08516        0.00295038     
0.408154       1.10818        0.00298189     
0.414385       1.13421        0.003017       
0.420617       1.16511        0.00305782     
0.426848       1.18787        0.00308742     
0.43308        1.21447        0.00312182     
0.439311       1.23674        0.00315015     
0.445542       1.26395        0.00318499     
