pT (GeV)       dN/dpt         error          
0.00411568     0.0261135      0.000398231    
0.012347       0.0814142      0.000703208    
0.0205784      0.133168       0.000899472    
0.0288098      0.185777       0.00106249     
0.0370411      0.238363       0.00120302     
0.0452725      0.291386       0.00133006     
0.0535038      0.345301       0.0014484      
0.0617352      0.399527       0.00155809     
0.0699666      0.450211       0.0016541      
0.0781979      0.50242        0.00174757     
0.0864293      0.555066       0.00183621     
0.0946606      0.607415       0.00192073     
0.102892       0.657692       0.00199872     
0.111123       0.706487       0.00207122     
0.119355       0.752458       0.0021382      
0.127586       0.804247       0.00221074     
0.135817       0.854099       0.00227788     
0.144049       0.904115       0.00234373     
0.15228        0.952255       0.00240514     
0.160512       1.00186        0.00246688     
0.168743       1.04646        0.00252151     
0.176974       1.08995        0.00257312     
0.185206       1.13885        0.00263003     
0.193437       1.18799        0.00268632     
0.201668       1.22932        0.00273236     
0.2099         1.2717         0.00277977     
0.218131       1.31763        0.00282846     
0.226362       1.36638        0.00288014     
0.234594       1.40177        0.00291781     
0.242825       1.43994        0.00295758     
0.251056       1.48106        0.00299897     
0.259288       1.52256        0.00304127     
0.267519       1.56364        0.00308142     
0.275751       1.60269        0.00312049     
0.283982       1.6303         0.00314778     
0.292213       1.67409        0.00318928     
0.300445       1.71054        0.00322429     
0.308676       1.7431         0.00325382     
0.316907       1.78161        0.0032891      
0.325139       1.80553        0.00331198     
0.33337        1.83679        0.00334093     
0.341601       1.87199        0.00337211     
0.349833       1.89885        0.00339602     
0.358064       1.92482        0.00341987     
0.366296       1.9564         0.00344728     
0.374527       1.97904        0.00346702     
0.382758       2.01062        0.0034955      
0.39099        2.03546        0.00351599     
0.399221       2.05176        0.00352984     
0.407452       2.08271        0.00355688     
0.415684       2.10615        0.00357699     
0.423915       2.1245         0.00359265     
0.432146       2.14151        0.00360645     
0.440378       2.16391        0.00362471     
0.448609       2.17789        0.0036376      
0.45684        2.19362        0.00364968     
0.465072       2.21332        0.00366672     
0.473303       2.23043        0.0036806      
0.481535       2.24876        0.00369569     
0.489766       2.26031        0.00370485     
0.497997       2.26976        0.0037141      
0.506229       2.27958        0.00372186     
0.51446        2.28471        0.00372505     
0.522691       2.30435        0.00374106     
0.530923       2.30916        0.00374556     
0.539154       2.31587        0.00375139     
0.547385       2.32256        0.0037565      
0.555617       2.32457        0.0037579      
0.563848       2.33968        0.00376949     
0.57208        2.33991        0.00376907     
0.580311       2.33948        0.00376952     
0.588542       2.34499        0.00377425     
0.596774       2.34851        0.00377607     
0.605005       2.361          0.00378606     
0.613236       2.3419         0.00377138     
0.621468       2.35284        0.00378129     
0.629699       2.34683        0.00377534     
0.63793        2.34895        0.00377728     
0.646162       2.3449         0.00377387     
0.654393       2.33857        0.00376957     
0.662624       2.33876        0.00376941     
0.670856       2.32315        0.0037566      
0.679087       2.3281         0.00375991     
0.687319       2.32055        0.00375426     
0.69555        2.31502        0.00374964     
0.703781       2.30315        0.00374078     
0.712013       2.29862        0.00373539     
0.720244       2.287          0.00372675     
0.728475       2.27552        0.00371675     
0.736707       2.26905        0.00371242     
0.744938       2.2546         0.00370078     
0.753169       2.24879        0.00369541     
0.761401       2.23208        0.00368149     
0.769632       2.22537        0.00367615     
0.777864       2.21371        0.00366681     
0.786095       2.19958        0.0036547      
0.794326       2.18845        0.00364685     
0.802558       2.17861        0.00363681     
0.810789       2.16281        0.00362444     
0.81902        2.13733        0.00360497     
0.827252       2.12851        0.0035952      
0.835483       2.11524        0.00358472     
0.843714       2.10327        0.0035737      
0.851946       2.08766        0.00356075     
0.860177       2.06323        0.00354018     
0.868408       2.05352        0.00353158     
0.87664        2.03775        0.00351845     
0.884871       2.01401        0.00349782     
0.893103       1.99706        0.00348266     
0.901334       1.98173        0.00346967     
0.909565       1.96283        0.00345197     
0.917797       1.94639        0.00343863     
0.926028       1.92531        0.00341915     
0.934259       1.90843        0.00340417     
0.942491       1.89443        0.00339258     
0.950722       1.87013        0.00337011     
0.958953       1.85526        0.00335713     
0.967185       1.83692        0.00334009     
0.975416       1.8084         0.00331338     
0.983648       1.79599        0.00330226     
0.991879       1.77403        0.00328195     
1.00011        1.75635        0.00326709     
1.00834        1.74327        0.00325353     
1.01657        1.71786        0.00323039     
1.0248         1.69855        0.0032125      
1.03304        1.67639        0.0031917      
1.04127        1.66325        0.00317756     
1.0495         1.64286        0.00315865     
1.05773        1.62148        0.00313767     
1.06596        1.60328        0.00312005     
1.07419        1.57776        0.00309518     
1.08242        1.56246        0.00308088     
1.09066        1.54064        0.00305949     
1.09889        1.52506        0.00304382     
1.10712        1.50345        0.00302242     
1.11535        1.47852        0.00299783     
1.12358        1.4602         0.00297804     
1.13181        1.44705        0.00296465     
1.14004        1.41919        0.00293587     
1.14827        1.39925        0.00291518     
1.15651        1.38216        0.00289739     
1.16474        1.36192        0.00287615     
1.17297        1.34858        0.00286311     
1.1812         1.31872        0.0028305      
1.18943        1.31221        0.00282433     
1.19766        1.28872        0.00279765     
1.20589        1.26712        0.00277465     
1.21413        1.24985        0.00275641     
1.22236        1.23162        0.00273481     
1.23059        1.21451        0.00271656     
1.23882        1.19404        0.00269256     
1.24705        1.17529        0.00267177     
1.25528        1.15959        0.0026546      
1.26351        1.13927        0.00263056     
1.27175        1.12245        0.00261075     
1.27998        1.10851        0.0025951      
1.28821        1.08966        0.00257284     
1.29644        1.07742        0.00255782     
1.30467        1.06065        0.00253796     
1.3129         1.03883        0.00251218     
1.32113        1.02185        0.00249065     
1.32936        1.00298        0.00246811     
1.3376         0.988409       0.00245109     
1.34583        0.974456       0.00243288     
1.35406        0.95955        0.00241444     
1.36229        0.944813       0.00239505     
1.37052        0.926894       0.00237277     
1.37875        0.911131       0.00235244     
1.38698        0.895739       0.00233279     
1.39522        0.877947       0.00230963     
1.40345        0.863187       0.00229018     
1.41168        0.850637       0.00227296     
1.41991        0.836587       0.00225384     
1.42814        0.82077        0.00223235     
1.43637        0.801332       0.00220659     
1.4446         0.792245       0.00219347     
1.45284        0.776141       0.00217164     
1.46107        0.765603       0.00215715     
1.4693         0.748831       0.00213296     
1.47753        0.737163       0.00211588     
1.48576        0.723131       0.00209654     
1.49399        0.709372       0.00207589     
1.50222        0.696106       0.00205612     
1.51045        0.685245       0.00204023     
1.51869        0.673923       0.00202346     
1.52692        0.657929       0.00199926     
1.53515        0.651381       0.0019896      
1.54338        0.635588       0.00196476     
1.55161        0.626233       0.00195028     
1.55984        0.612062       0.0019281      
1.56807        0.599494       0.001908       
1.57631        0.588165       0.00189029     
1.58454        0.573878       0.0018668      
1.59277        0.565721       0.00185363     
1.601          0.560837       0.00184518     
1.60923        0.547698       0.00182375     
1.61746        0.535616       0.00180337     
1.62569        0.528521       0.00179211     
1.63392        0.515419       0.00176971     
1.64216        0.506654       0.00175386     
1.65039        0.492446       0.00172946     
1.65862        0.48543        0.00171745     
1.66685        0.478651       0.001705       
1.67508        0.465828       0.00168258     
1.68331        0.458715       0.00166906     
1.69154        0.445157       0.00164457     
1.69978        0.441482       0.00163728     
1.70801        0.431277       0.00161846     
1.71624        0.419281       0.00159637     
1.72447        0.412034       0.00158168     
1.7327         0.40619        0.00157073     
1.74093        0.397607       0.0015539      
1.74916        0.391047       0.00154108     
1.7574         0.379506       0.00151851     
1.76563        0.373717       0.00150698     
1.77386        0.365547       0.00149006     
1.78209        0.357104       0.00147237     
1.79032        0.350027       0.00145829     
1.79855        0.34408        0.00144583     
1.80678        0.336743       0.00143003     
1.81501        0.32921        0.00141416     
1.82325        0.321982       0.0013985      
1.83148        0.31756        0.00138881     
1.83971        0.310769       0.00137401     
1.84794        0.302234       0.00135492     
1.85617        0.297302       0.0013433      
1.8644         0.288847       0.0013245      
1.87263        0.285074       0.00131566     
1.88087        0.275975       0.00129481     
1.8891         0.271055       0.00128273     
1.89733        0.265928       0.00127053     
1.90556        0.260522       0.00125821     
1.91379        0.254879       0.0012443      
1.92202        0.251016       0.00123464     
1.93025        0.244893       0.00121961     
1.93849        0.239244       0.00120539     
1.94672        0.232143       0.00118774     
1.95495        0.227824       0.00117657     
1.96318        0.222758       0.00116324     
1.97141        0.217406       0.00114933     
1.97964        0.212978       0.00113735     
1.98787        0.207791       0.00112307     
1.9961         0.204395       0.00111424     
2.00434        0.200076       0.00110228     
2.01257        0.194403       0.00108696     
2.0208         0.189799       0.00107389     
2.02903        0.188717       0.00107066     
2.03726        0.183384       0.00105579     
2.04549        0.17932        0.00104382     
2.05372        0.175214       0.00103191     
2.06196        0.170349       0.00101728     
2.07019        0.16733        0.0010081      
2.07842        0.163308       0.000995947    
2.08665        0.157854       0.000979291    
2.09488        0.157088       0.000977034    
2.10311        0.15283        0.000963741    
2.11134        0.14907        0.000951537    
2.11958        0.146106       0.000941973    
2.12781        0.142054       0.000928849    
2.13604        0.139837       0.000921468    
2.14427        0.136581       0.000910982    
2.1525         0.133514       0.000900638    
2.16073        0.131382       0.000893187    
2.16896        0.128472       0.000883426    
2.17719        0.124153       0.000868186    
2.18543        0.121013       0.00085741     
2.19366        0.117143       0.000843794    
2.20189        0.115424       0.000837332    
2.21012        0.112199       0.000825706    
2.21835        0.109842       0.000816735    
2.22658        0.109028       0.000813799    
2.23481        0.105068       0.000798862    
2.24305        0.104199       0.000795744    
2.25128        0.101138       0.000783804    
2.25951        0.0988354      0.000774751    
2.26774        0.0965515      0.000766049    
2.27597        0.0939881      0.000755541    
2.2842         0.092014       0.000747477    
2.29243        0.0882539      0.000732113    
2.30067        0.0870998      0.000727316    
2.3089         0.0857452      0.00072185     
2.31713        0.0832426      0.000710946    
2.32536        0.080655       0.000699925    
2.33359        0.0803391      0.000698608    
2.34182        0.0773141      0.000685294    
2.35005        0.0753156      0.000676281    
2.35828        0.073961       0.000670398    
2.36652        0.0720294      0.000661488    
2.37475        0.0699702      0.000651806    
2.38298        0.0699338      0.000651976    
2.39121        0.0670059      0.000638091    
