pT (GeV)       dN/dpt         error          
0.006225       0              0              
0.018675       0              0              
0.031125       0              0              
0.043575       0              0              
0.056025       0              0              
0.068475       0              0              
0.080925       0              0              
0.093375       0              0              
0.105825       4.01606e-06    4.01606e-06    
0.118275       0              0              
0.130725       8.03213e-06    5.67957e-06    
0.143175       0              0              
0.155625       4.01606e-06    4.01606e-06    
0.168075       0              0              
0.180525       0              0              
0.192975       0              0              
0.205425       4.01606e-06    4.01606e-06    
0.217875       4.01606e-06    4.01606e-06    
0.230325       4.01606e-06    4.01606e-06    
0.242775       4.01606e-06    4.01606e-06    
0.255225       8.03213e-06    5.67957e-06    
0.267675       0              0              
0.280125       4.01606e-06    4.01606e-06    
0.292575       4.01606e-06    4.01606e-06    
0.305025       1.60643e-05    8.03213e-06    
0.317475       1.20482e-05    6.95603e-06    
0.329925       4.01606e-06    4.01606e-06    
0.342375       0              0              
0.354825       1.60643e-05    8.03213e-06    
0.367275       1.20482e-05    6.95603e-06    
0.379725       8.03213e-06    5.67957e-06    
0.392175       1.60643e-05    8.03213e-06    
0.404625       2.00803e-05    8.98019e-06    
0.417075       1.20482e-05    6.95603e-06    
0.429525       2.40964e-05    9.83731e-06    
0.441975       1.20482e-05    6.95603e-06    
0.454425       1.20482e-05    6.95603e-06    
0.466875       8.03213e-06    5.67957e-06    
0.479325       1.20482e-05    6.95603e-06    
0.491775       0              0              
0.504225       1.20482e-05    6.95603e-06    
0.516675       1.60643e-05    8.03213e-06    
0.529125       2.00803e-05    8.98019e-06    
0.541575       2.00803e-05    8.98019e-06    
0.554025       8.03213e-06    5.67957e-06    
0.566475       2.00803e-05    8.98019e-06    
0.578925       2.00803e-05    8.98019e-06    
0.591375       1.20482e-05    6.95603e-06    
0.603825       2.81124e-05    1.06255e-05    
0.616275       1.20482e-05    6.95603e-06    
0.628725       1.20482e-05    6.95603e-06    
0.641175       4.01606e-06    4.01606e-06    
0.653625       1.60643e-05    8.03213e-06    
0.666075       2.00803e-05    8.98019e-06    
0.678525       8.03213e-06    5.67957e-06    
0.690975       1.20482e-05    6.95603e-06    
0.703425       2.00803e-05    8.98019e-06    
0.715875       0              0              
0.728325       2.00803e-05    8.98019e-06    
0.740775       2.40964e-05    9.83731e-06    
0.753225       2.40964e-05    9.83731e-06    
0.765675       2.40964e-05    9.83731e-06    
0.778125       2.40964e-05    9.83731e-06    
0.790575       1.60643e-05    8.03213e-06    
0.803025       2.00803e-05    8.98019e-06    
0.815475       1.60643e-05    8.03213e-06    
0.827925       2.40964e-05    9.83731e-06    
0.840375       1.20482e-05    6.95603e-06    
0.852825       1.60643e-05    8.03213e-06    
0.865275       1.60643e-05    8.03213e-06    
0.877725       2.81124e-05    1.06255e-05    
0.890175       2.00803e-05    8.98019e-06    
0.902625       3.61446e-05    1.20482e-05    
