y              dN/dy          error          
-2.994         0.0308333      0.00506806     
-2.982         0.0175         0.00381843     
-2.97          0.0225         0.00432956     
-2.958         0.0183333      0.00390827     
-2.946         0.0175         0.00381843     
-2.934         0.0183333      0.00390827     
-2.922         0.0241667      0.00448701     
-2.91          0.0325         0.00520318     
-2.898         0.0341667      0.00533487     
-2.886         0.0325         0.00520318     
-2.874         0.0341667      0.00533487     
-2.862         0.0408333      0.00583193     
-2.85          0.0325         0.00520318     
-2.838         0.0383333      0.00565067     
-2.826         0.0358333      0.00546338     
-2.814         0.0383333      0.00565067     
-2.802         0.045          0.0061221      
-2.79          0.0491667      0.0063991      
-2.778         0.0591667      0.00701933     
-2.766         0.0691667      0.00758891     
-2.754         0.0625         0.00721421     
-2.742         0.0741667      0.00785819     
-2.73          0.065          0.00735697     
-2.718         0.08           0.00816109     
-2.706         0.0875         0.00853468     
-2.694         0.105          0.0093483      
-2.682         0.0916667      0.00873531     
-2.67          0.104167       0.00931117     
-2.658         0.085          0.008412       
-2.646         0.1175         0.00988836     
-2.634         0.1175         0.00988836     
-2.622         0.140833       0.0108242      
-2.61          0.134167       0.0105654      
-2.598         0.145833       0.0110144      
-2.586         0.140833       0.0108242      
-2.574         0.15           0.0112323      
-2.562         0.165          0.0117145      
-2.55          0.180833       0.0122625      
-2.538         0.1875         0.012486       
-2.526         0.224167       0.0136494      
-2.514         0.206667       0.0132127      
-2.502         0.2275         0.0138006      
-2.49          0.255          0.0145551      
-2.478         0.2525         0.0145794      
-2.466         0.278333       0.0152499      
-2.454         0.268333       0.0149761      
-2.442         0.31           0.0160861      
-2.43          0.300833       0.0158048      
-2.418         0.3525         0.0172243      
-2.406         0.355833       0.0172236      
-2.394         0.359167       0.0172632      
-2.382         0.354167       0.0171836      
-2.37          0.415833       0.0185688      
-2.358         0.41           0.0184388      
-2.346         0.441667       0.019134       
-2.334         0.45           0.0193844      
-2.322         0.466667       0.0197356      
-2.31          0.495833       0.020301       
-2.298         0.5375         0.0211287      
-2.286         0.534167       0.0210966      
-2.274         0.575          0.0219096      
-2.262         0.6            0.0223735      
-2.25          0.62           0.0227375      
-2.238         0.67           0.023593       
-2.226         0.695          0.0240811      
-2.214         0.715833       0.024376       
-2.202         0.7525         0.0251227      
-2.19          0.803333       0.0259636      
-2.178         0.846667       0.0266365      
-2.166         0.799167       0.0257635      
-2.154         0.844167       0.0265982      
-2.142         0.929167       0.0279208      
-2.13          1.0025         0.028898       
-2.118         1.06583        0.0297286      
-2.106         1.09167        0.0301023      
-2.094         1.15583        0.030932       
-2.082         1.19           0.0314866      
-2.07          1.19417        0.031628       
-2.058         1.26417        0.032468       
-2.046         1.35833        0.0336593      
-2.034         1.36333        0.0336367      
-2.022         1.45           0.0347585      
-2.01          1.4575         0.0349049      
-1.998         1.565          0.035947       
-1.986         1.65917        0.0370377      
-1.974         1.6875         0.0374909      
-1.962         1.8225         0.038955       
-1.95          1.91583        0.0398798      
-1.938         1.89583        0.0395572      
-1.926         1.95333        0.0403378      
-1.914         2.01667        0.0410069      
-1.902         2.1525         0.0425107      
-1.89          2.145          0.0421289      
-1.878         2.21667        0.0428926      
-1.866         2.39           0.0445485      
-1.854         2.43917        0.0452259      
-1.842         2.55917        0.0461483      
-1.83          2.72           0.0473279      
-1.818         2.71333        0.0473903      
-1.806         2.86583        0.0490094      
-1.794         2.92833        0.0494031      
-1.782         3.02333        0.0502799      
-1.77          3.18           0.0514135      
-1.758         3.32083        0.0526798      
-1.746         3.3675         0.0530444      
-1.734         3.54083        0.0542147      
-1.722         3.66833        0.0554168      
-1.71          3.77583        0.055925       
-1.698         3.79333        0.0562042      
-1.686         3.99           0.0577519      
-1.674         4.1625         0.0586631      
-1.662         4.23667        0.059299       
-1.65          4.32583        0.0599745      
-1.638         4.61917        0.0618904      
-1.626         4.65417        0.062133       
-1.614         4.79167        0.063396       
-1.602         4.95           0.0642436      
-1.59          5.0325         0.0648201      
-1.578         5.3425         0.0668438      
-1.566         5.52167        0.0680942      
-1.554         5.745          0.069035       
-1.542         5.87417        0.0699513      
-1.53          6.0725         0.0712199      
-1.518         6.165          0.0714958      
-1.506         6.27833        0.0721903      
-1.494         6.585          0.0737472      
-1.482         6.76583        0.0751753      
-1.47          6.965          0.0761464      
-1.458         7.21333        0.0773377      
-1.446         7.27583        0.0779992      
-1.434         7.6375         0.079622       
-1.422         7.80667        0.0808827      
-1.41          7.995          0.081529       
-1.398         8.31833        0.0833654      
-1.386         8.55667        0.0846389      
-1.374         8.67333        0.0848399      
-1.362         8.9875         0.0862568      
-1.35          9.22917        0.0876568      
-1.338         9.55833        0.089118       
-1.326         9.75833        0.0903653      
-1.314         10.0158        0.0914184      
-1.302         10.21          0.0923648      
-1.29          10.3633        0.0929814      
-1.278         10.8325        0.0946095      
-1.266         11.2225        0.0965212      
-1.254         11.4717        0.0976498      
-1.242         11.7308        0.0987052      
-1.23          11.9692        0.0999103      
-1.218         12.3775        0.10154        
-1.206         12.6517        0.10227        
-1.194         12.9283        0.103874       
-1.182         13.1058        0.104695       
-1.17          13.7592        0.107203       
-1.158         13.8767        0.107397       
-1.146         14.0917        0.108764       
-1.134         14.7108        0.110889       
-1.122         14.9525        0.111473       
-1.11          15.2858        0.112954       
-1.098         15.6658        0.114483       
-1.086         16.1525        0.115897       
-1.074         16.6708        0.117583       
-1.062         16.9242        0.118868       
-1.05          17.3908        0.120122       
-1.038         17.675         0.12174        
-1.026         17.7542        0.121981       
-1.014         18.5008        0.124014       
-1.002         18.87          0.125562       
-0.99          19.055         0.126276       
-0.978         19.4317        0.12732        
-0.966         19.8825        0.128794       
-0.954         20.635         0.130949       
-0.942         21.1767        0.133304       
-0.93          21.1817        0.132564       
-0.918         21.6883        0.134986       
-0.906         22.1433        0.13607        
-0.894         22.5325        0.137184       
-0.882         23.1017        0.138757       
-0.87          23.6958        0.140742       
-0.858         23.7742        0.140253       
-0.846         24.3358        0.142374       
-0.834         24.9925        0.144815       
-0.822         25.2758        0.14552        
-0.81          26.1817        0.147331       
-0.798         26.6625        0.149361       
-0.786         26.67          0.148665       
-0.774         27.4167        0.151374       
-0.762         27.7917        0.152416       
-0.75          28.2067        0.152788       
-0.738         28.95          0.154959       
-0.726         29.0475        0.155312       
-0.714         29.8775        0.157579       
-0.702         30.1817        0.159284       
-0.69          30.3133        0.158763       
-0.678         31.3725        0.161891       
-0.666         31.6208        0.162192       
-0.654         32.25          0.164615       
-0.642         32.635         0.164236       
-0.63          33.3092        0.166622       
-0.618         33.6408        0.167392       
-0.606         34.3092        0.169314       
-0.594         34.8625        0.170244       
-0.582         35.1617        0.172037       
-0.57          35.4675        0.17194        
-0.558         36.025         0.173149       
-0.546         36.6358        0.17498        
-0.534         36.9075        0.175848       
-0.522         37.7233        0.177072       
-0.51          38.2108        0.178832       
-0.498         38.2692        0.17894        
-0.486         38.9192        0.180111       
-0.474         39.6383        0.181906       
-0.462         39.9967        0.182556       
-0.45          40.6492        0.184496       
-0.438         40.8083        0.184624       
-0.426         41.1758        0.18472        
-0.414         41.7042        0.187228       
-0.402         42.1108        0.187134       
-0.39          42.7033        0.188346       
-0.378         42.8917        0.189067       
-0.366         43.4367        0.190535       
-0.354         43.8242        0.190827       
-0.342         43.9892        0.191375       
-0.33          44.7108        0.19258        
-0.318         44.7858        0.193338       
-0.306         45.5567        0.194691       
-0.294         45.595         0.195015       
-0.282         46.0608        0.196233       
-0.27          46.5092        0.196951       
-0.258         46.7508        0.196879       
-0.246         46.5275        0.197006       
-0.234         47.0242        0.198381       
-0.222         47.3458        0.199406       
-0.21          47.57          0.199142       
-0.198         47.6742        0.199682       
-0.186         47.8183        0.198997       
-0.174         48.1483        0.199951       
-0.162         48.2733        0.199837       
-0.15          48.9258        0.202326       
-0.138         48.96          0.202444       
-0.126         48.9692        0.202606       
-0.114         49.3892        0.203039       
-0.102         49.6617        0.204039       
-0.09          49.4425        0.202639       
-0.078         49.6367        0.203306       
-0.066         49.8358        0.202676       
-0.054         49.8192        0.203493       
-0.042         49.975         0.204597       
-0.03          49.6483        0.202785       
-0.018         49.9575        0.204723       
-0.006         49.7942        0.204161       
0.006          49.865         0.204414       
0.018          50.0092        0.203587       
0.03           50.1425        0.203866       
0.042          49.8158        0.20375        
0.054          49.6833        0.202853       
0.066          49.5842        0.202902       
0.078          49.7342        0.203619       
0.09           49.43          0.203208       
0.102          49.3583        0.202125       
0.114          49.305         0.202681       
0.126          49.7233        0.20395        
0.138          49.1292        0.202167       
0.15           48.3692        0.201339       
0.162          48.5017        0.200845       
0.174          48.2717        0.200888       
0.186          47.755         0.199117       
0.198          48.1375        0.199985       
0.21           47.6308        0.199496       
0.222          47.4125        0.198111       
0.234          47.3158        0.198433       
0.246          46.8608        0.19792        
0.258          46.365         0.196166       
0.27           46.5275        0.197115       
0.282          45.8083        0.196026       
0.294          45.5683        0.19435        
0.306          45.1442        0.194144       
0.318          45.23          0.194582       
0.33           44.7625        0.192834       
0.342          43.9633        0.191225       
0.354          43.8908        0.190874       
0.366          43.5258        0.19002        
0.378          43.0908        0.189823       
0.39           42.4542        0.187782       
0.402          42.125         0.187634       
0.414          41.7725        0.186239       
0.426          41.86          0.186637       
0.438          40.7608        0.184264       
0.45           40.3833        0.183062       
0.462          39.9967        0.182377       
0.474          39.5958        0.181825       
0.486          38.9925        0.180381       
0.498          38.6575        0.179355       
0.51           37.9958        0.177421       
0.522          37.3142        0.176438       
0.534          37.0325        0.176382       
0.546          36.6667        0.174739       
0.558          36.4575        0.173909       
0.57           35.4258        0.171354       
0.582          35.2183        0.170908       
0.594          34.6225        0.170155       
0.606          34.0825        0.168696       
0.618          33.3092        0.166597       
0.63           33.125         0.166002       
0.642          33.0633        0.166347       
0.654          32.075         0.16454        
0.666          31.5108        0.161609       
0.678          31.0892        0.160739       
0.69           30.7583        0.160435       
0.702          30.2125        0.158922       
0.714          29.565         0.156555       
0.726          29.4375        0.157071       
0.738          28.5858        0.154372       
0.75           28.245         0.153275       
0.762          27.6642        0.151719       
0.774          27.265         0.151272       
0.786          26.7883        0.149464       
0.798          26.6183        0.148921       
0.81           26.0092        0.146525       
0.822          25.3325        0.14491        
0.834          24.7758        0.143783       
0.846          24.3858        0.142736       
0.858          24.2083        0.141778       
0.87           23.4167        0.139613       
0.882          22.9808        0.13896        
0.894          22.42          0.136789       
0.906          22.1142        0.135921       
0.918          21.6725        0.134582       
0.93           21.2825        0.133127       
0.942          20.8875        0.1323         
0.954          20.5192        0.131187       
0.966          20.1           0.129509       
0.978          19.5925        0.127697       
0.99           19.055         0.126248       
1.002          18.7375        0.125137       
1.014          18.2708        0.123458       
1.026          17.8142        0.121619       
1.038          17.45          0.120212       
1.05           17.2083        0.120133       
1.062          16.985         0.118907       
1.074          16.3192        0.11631        
1.086          16.1933        0.116124       
1.098          15.4975        0.113158       
1.11           15.2875        0.112644       
1.122          14.7508        0.11061        
1.134          14.6192        0.110182       
1.146          14.4592        0.109337       
1.158          14.0183        0.107866       
1.17           13.4692        0.105905       
1.182          13.5108        0.106055       
1.194          12.9867        0.104208       
1.206          12.6425        0.102346       
1.218          12.3342        0.101525       
1.23           12.1217        0.100396       
1.242          11.6992        0.0986302      
1.254          11.315         0.0970485      
1.266          11.3483        0.0970167      
1.278          10.8           0.0949361      
1.29           10.6117        0.0938327      
1.302          10.1833        0.0921233      
1.314          10.0592        0.0914848      
1.326          9.8225         0.0906756      
1.338          9.525          0.0891537      
1.35           9.37833        0.0886064      
1.362          9.16083        0.087451       
1.374          8.73333        0.0855448      
1.386          8.57           0.0843541      
1.398          8.21917        0.0827576      
1.41           8.04           0.0820622      
1.422          7.8025         0.0806417      
1.434          7.715          0.0802296      
1.446          7.31167        0.0785204      
1.458          7.0375         0.0766934      
1.47           6.94917        0.0758457      
1.482          6.79167        0.0752951      
1.494          6.52           0.073692       
1.506          6.365          0.0728997      
1.518          6.23           0.0720107      
1.53           6.03583        0.0710265      
1.542          5.74833        0.0692432      
1.554          5.64917        0.0684933      
1.566          5.47167        0.06791        
1.578          5.34833        0.0668963      
1.59           5.15667        0.0655593      
1.602          5.02917        0.0647905      
1.614          4.83           0.0635638      
1.626          4.62333        0.0621839      
1.638          4.6575         0.062164       
1.65           4.4125         0.0608087      
1.662          4.21833        0.0593589      
1.674          4.21167        0.0595039      
1.686          3.99333        0.0576894      
1.698          3.87583        0.0570376      
1.71           3.73333        0.0559224      
1.722          3.60917        0.0548069      
1.734          3.51917        0.0542288      
1.746          3.42833        0.0536371      
1.758          3.26833        0.0521631      
1.77           3.15667        0.0513333      
1.782          2.98           0.0498342      
1.794          2.9975         0.0500531      
1.806          2.88417        0.0488851      
1.818          2.70167        0.047265       
1.83           2.63417        0.046942       
1.842          2.6525         0.0471531      
1.854          2.455          0.045179       
1.866          2.42333        0.0447327      
1.878          2.32333        0.0439878      
1.89           2.27917        0.0435908      
1.902          2.08333        0.0417792      
1.914          1.9925         0.0408746      
1.926          1.97           0.0404329      
1.938          1.9025         0.0399209      
1.95           1.84917        0.0392267      
1.962          1.70583        0.0377227      
1.974          1.735          0.0380303      
1.986          1.56583        0.0360912      
1.998          1.51083        0.0355136      
2.01           1.48917        0.0351888      
2.022          1.4575         0.0347853      
2.034          1.35167        0.0335173      
2.046          1.32583        0.0332885      
2.058          1.3075         0.0329393      
2.07           1.19417        0.0315841      
2.082          1.1425         0.0307794      
2.094          1.12417        0.0306732      
2.106          1.0875         0.0301614      
2.118          1.0025         0.028874       
2.13           1.0425         0.0294081      
2.142          0.938333       0.0279798      
2.154          0.915833       0.0276         
2.166          0.881667       0.027065       
2.178          0.855          0.0266078      
2.19           0.813333       0.0259872      
2.202          0.778333       0.0254854      
2.214          0.6925         0.0240385      
2.226          0.695833       0.0240664      
2.238          0.624167       0.022843       
2.25           0.6425         0.0230799      
2.262          0.581667       0.0220972      
2.274          0.619167       0.0226919      
2.286          0.558333       0.0215303      
2.298          0.565833       0.021737       
2.31           0.493333       0.0202502      
2.322          0.485833       0.0200625      
2.334          0.489167       0.0201653      
2.346          0.423333       0.0188824      
2.358          0.4125         0.0184946      
2.37           0.396667       0.0181762      
2.382          0.374167       0.0176578      
2.394          0.351667       0.0170828      
2.406          0.34           0.0167982      
2.418          0.323333       0.0164253      
2.43           0.330833       0.0165711      
2.442          0.2825         0.0154528      
2.454          0.276667       0.0152046      
2.466          0.280833       0.0153176      
2.478          0.264167       0.0148604      
2.49           0.223333       0.0136749      
2.502          0.218333       0.0134711      
2.514          0.2425         0.0142925      
2.526          0.205833       0.0130807      
2.538          0.185833       0.0124305      
2.55           0.206667       0.0131071      
2.562          0.145833       0.0110144      
2.574          0.145833       0.0110144      
2.586          0.1575         0.0114457      
2.598          0.153333       0.0112935      
2.61           0.1325         0.0104996      
2.622          0.1125         0.00967597     
2.634          0.105          0.0093483      
2.646          0.121667       0.0100619      
2.658          0.101667       0.0091989      
2.67           0.110833       0.00967616     
2.682          0.0833333      0.00832921     
2.694          0.0925         0.00877488     
2.706          0.0966667      0.00897011     
2.718          0.0675         0.007497       
2.73           0.0775         0.00803268     
2.742          0.0658333      0.00740394     
2.754          0.0725         0.00776947     
2.766          0.0533333      0.00666457     
2.778          0.0508333      0.00650659     
2.79           0.055          0.00676783     
2.802          0.055          0.00676783     
2.814          0.0516667      0.00655967     
2.826          0.0375         0.00558894     
2.838          0.0375         0.00558894     
2.85           0.0391667      0.00571173     
2.862          0.0308333      0.00506806     
2.874          0.0375         0.00558894     
2.886          0.0358333      0.00546338     
2.898          0.0266667      0.00471331     
2.91           0.0316667      0.00513606     
2.922          0.0241667      0.00448701     
2.934          0.0258333      0.00463911     
2.946          0.0208333      0.00416617     
2.958          0.0225         0.00432956     
2.97           0.0225         0.00432956     
2.982          0.0191667      0.00399609     
2.994          0.0125         0.00322726     
